FullPathforEvent,Notes,_key
event:/InGame_Ch22/Char_Jump_ch22,,Char_Jump_ch22
event:/InGame_Ch23/Char_Jump_ch23,,Char_Jump_ch23
event:/InGame_Ch24/Char_Jump_ch24,,Char_Jump_ch24
event:/InGame_Ch24/Char_Jump_ch24_Woman,,Char_Jump_ch24_Woman
event:/InGame_Ch25/Char_Jump_ch25,,Char_Jump_ch25
event:/InGame_Ch26/Char_Jump_ch26,,Char_Jump_ch26
event:/InGame_Ch27/Char_Jump_ch27,,Char_Jump_ch27
event:/InGame_Ch27/Char_Jump_ch27,,Char_Jump_ch27_1
event:/InGame_Ch27/Char_Jump_ch27,,Char_Jump_ch27_2
event:/InGame_Ch28/Char_Jump_ch28,,Char_Jump_ch28
event:/InGame_Ch29/Char_Jump_ch29,,Char_Jump_ch29
event:/InGame_Ch30/Char_Jump_ch30,,Char_Jump_ch30
event:/InGame_Ch31/Char_Jump_ch31,,Char_Jump_ch31
event:/InGame_Ch32/Char_Jump_ch32,,Char_Jump_ch32
event:/InGame_Ch33/Char_Jump_ch33,,Char_Jump_ch33
event:/InGame_Ch34/Char_Jump_ch34,,Char_Jump_ch34
event:/InGame_Ch35/Char_Jump_ch35,,Char_Jump_ch35
event:/InGame_Ch36/Char_Jump_ch36,,Char_Jump_ch36
event:/InGame_Ch37/Char_Jump_ch37,,Char_Jump_ch37
event:/InGame_Ch38/Char_Jump_ch38,,Char_Jump_ch38
event:/InGame_Ch39/Char_Jump_ch39,,Char_Jump_ch39
event:/InGame_Ch40/Char_Jump_ch40,,Char_Jump_ch40
event:/InGame_Ch40/Char_Jump_ch40_lance,,Char_Jump_ch40_lance
event:/InGame_Ch41/Char_Jump_ch41,,Char_Jump_ch41
event:/InGame_Ch42/Char_Jump_ch42,,Char_Jump_ch42
event:/InGame_Ch43/Char_Jump_ch43,,Char_Jump_ch43
event:/InGame_Ch44/Char_Jump_ch44,,Char_Jump_ch44
event:/InGame_Ch45/Char_Jump_ch45,,Char_Jump_ch45
event:/InGame_Ch46/Char_Jump_ch46_00,,Char_Jump_ch46
event:/InGame_Ch46/Char_Jump_ch46_01,,Char_Jump_ch46_1
event:/InGame_Ch46/Char_Jump_ch46_02,,Char_Jump_ch46_2
event:/InGame_Ch46/Char_Jump_ch46_Violinist_Sound_00,,Char_Jump_ch46_Violinist_Sound
event:/InGame_Ch46/Char_Jump_ch46_Violinist_Sound_01,,Char_Jump_ch46_Violinist_Sound_1
event:/InGame_Ch46/Char_Jump_ch46_Violinist_Sound_02,,Char_Jump_ch46_Violinist_Sound_2
event:/InGame_Ch46/Char_Jump_ch46_mid_00,,Char_Jump_ch46_mid
event:/InGame_Ch46/Char_Jump_ch46_mid_01,,Char_Jump_ch46_mid_1
event:/InGame_Ch46/Char_Jump_ch46_mid_02,,Char_Jump_ch46_mid_2
event:/InGame_Ch47/Char_Jump_ch47,,Char_Jump_ch47
event:/InGame_Ch48/Char_Jump_ch48,,Char_Jump_ch48
event:/InGame_Ch49/Char_Jump_ch49,,Char_Jump_ch49
event:/InGame_Ch50/Char_Jump_ch50,,Char_Jump_ch50
event:/InGame_Ch51/Char_Jump_ch51,,Char_Jump_ch51
event:/InGame_Ch52/Char_Jump_ch52,,Char_Jump_ch52
event:/InGame_Ch53/Char_Jump_ch53,,Char_Jump_ch53
event:/InGame_Ch54/Char_Jump_ch54,,Char_Jump_ch54
event:/InGame_Ch55/Char_Jump_ch55,,Char_Jump_ch55
event:/InGame_Ch56/Char_Jump_ch56,,Char_Jump_ch56
event:/InGame_Ch57/Char_Jump_ch57,,Char_Jump_ch57
event:/InGame_Ch58/Char_Jump_ch58,,Char_Jump_ch58
event:/InGame_Ch59/Char_Jump_ch59,,Char_Jump_ch59
event:/InGame_Ch60/Char_Jump_ch60,,Char_Jump_ch60
event:/InGame_Ch61/Char_Jump_ch61,,Char_Jump_ch61
event:/InGame_Ch62/Char_Jump_ch62,,Char_Jump_ch62
event:/InGame_Ch63/Char_Jump_ch63,,Char_Jump_ch63
event:/InGame_Ch64/Char_Jump_ch64,,Char_Jump_ch64
event:/InGame_Ch65/Char_Jump_ch65,,Char_Jump_ch65
event:/InGame_Ch66/Char_Jump_ch66,,Char_Jump_ch66
event:/InGame_Ch67/Char_Jump_ch67,,Char_Jump_ch67
event:/InGame_Ch68/Char_Jump_ch68,,Char_Jump_ch68
event:/InGame_Ch69/Char_Jump_ch69,,Char_Jump_ch69
event:/InGame_Ch70/Char_Jump_ch70,,Char_Jump_ch70
event:/InGame_Ch71/Char_Jump_ch71,,Char_Jump_ch71
event:/InGame_Ch72/Char_Jump_ch72,,Char_Jump_ch72
event:/InGame_Ch73_Gulabjamun/Jump,,Char_Jump_ch73
event:/InGame_Ch74_Kajukatli/Jump,,Char_Jump_ch74
event:/InGame_Ch75_MallowBunny/Jump,,Char_Jump_ch75
event:/InGame_Ch76_Cucumber/Jump,,Char_Jump_ch77
event:/InGame_Ch78_Sikhye/Jump,,Char_Jump_ch78
event:/InGame_Ch79_CinnamonPunch/Jump,,Char_Jump_ch79
event:/InGame_Ch80_Bori/Jump,,Char_Jump_ch80
event:/InGame_Ch81_BariPrincess/Jump,,Char_Jump_ch81
event:/InGame_Ch82_PotatoSalad/Jump,,Char_Jump_ch82
event:/InGame_Ch83_Pakimchi/Jump,,Char_Jump_ch83
event:/InGame_Ch84_whitekimchi/Jump,,Char_Jump_ch84
event:/InGame_Ch85_ChungmuKimbap/Jump,,Char_Jump_ch85
event:/InGame_Ch86_Manggaetteok/Jump,,Char_Jump_ch86
event:/InGame_Ch87_PlumBlossom/Jump,,Char_Jump_ch87
event:/InGame_Ch88_Garaetteok/Jump,,Char_Jump_ch88
event:/InGame_Ch89_Dubai/Jump,,Char_Jump_ch89
event:/InGame_Ch90_Dandelion/Jump,,Char_Jump_ch90
event:/InGame_Ch91_Kaymak/Jump,,Char_Jump_ch91
event:/InGame_Ch92_PineMonk/Jump,,Char_Jump_ch92
event:/InGame_Ch93_LotusRootPhantom/Jump,,Char_Jump_ch93
event:/InGame_Common/Char_Land_Gigantic,,Char_Land_Gigantic
event:/InGame_Ch01/Char_Slide_ch01,,Char_Slide_ch01
event:/InGame_Ch02/Char_Slide_ch02,,Char_Slide_ch02
event:/InGame_Ch03/Char_Slide_ch03,,Char_Slide_ch03
event:/InGame_Ch04/Char_Slide_ch04,,Char_Slide_ch04
event:/InGame_Ch05/Char_Slide_ch05,,Char_Slide_ch05
event:/InGame_Ch06/Char_Slide_ch06,,Char_Slide_ch06
event:/InGame_Ch07/Char_Slide_ch07,,Char_Slide_ch07
event:/InGame_Ch08/Char_Slide_ch08,,Char_Slide_ch08
event:/InGame_Ch09/Char_Slide_ch09,,Char_Slide_ch09
event:/InGame_Ch10/Char_Slide_ch10,,Char_Slide_ch10
event:/InGame_Ch11/Char_Slide_ch11,,Char_Slide_ch11
event:/InGame_Ch12/Char_Slide_ch12,,Char_Slide_ch12
event:/InGame_Ch13/Char_Slide_ch13,,Char_Slide_ch13
event:/InGame_Ch14/Char_Slide_ch14,,Char_Slide_ch14
event:/InGame_Ch15/Char_Slide_ch15,,Char_Slide_ch15
event:/InGame_Ch16/Char_Slide_ch16,,Char_Slide_ch16
event:/InGame_Ch18/Char_Slide_ch18,,Char_Slide_ch18
event:/InGame_Ch19/Char_Slide_ch19,,Char_Slide_ch19
event:/InGame_Ch20/Char_Slide_ch20,,Char_Slide_ch20
event:/InGame_Ch21/Char_Slide_ch21,,Char_Slide_ch21
event:/InGame_Ch22/Char_Slide_ch22,,Char_Slide_ch22
event:/InGame_Ch23/Char_Slide_ch23,,Char_Slide_ch23
event:/InGame_Ch24/Char_Slide_ch24,,Char_Slide_ch24
event:/InGame_Ch24/Char_Slide_ch24_Woman,,Char_Slide_ch24_Woman
event:/InGame_Ch25/Char_Slide_ch25,,Char_Slide_ch25
event:/InGame_Ch26/Char_Slide_ch26,,Char_Slide_ch26
event:/InGame_Ch27/Char_Slide_ch27,,Char_Slide_ch27
event:/InGame_Ch27/Char_Slide_ch27,,Char_Slide_ch27_1
event:/InGame_Ch27/Char_Slide_ch27,,Char_Slide_ch27_2
event:/InGame_Ch28/Char_Slide_ch28,,Char_Slide_ch28
event:/InGame_Ch29/Char_Slide_ch29,,Char_Slide_ch29
event:/InGame_Ch30/Char_Slide_ch30,,Char_Slide_ch30
event:/InGame_Ch31/Char_Slide_ch31,,Char_Slide_ch31
event:/InGame_Ch32/Char_Slide_ch32,,Char_Slide_ch32
event:/InGame_Ch33/Char_Slide_ch33,,Char_Slide_ch33
event:/InGame_Ch34/Char_Slide_ch34,,Char_Slide_ch34
event:/InGame_Ch35/Char_Slide_ch35,,Char_Slide_ch35
event:/InGame_Ch36/Char_Slide_ch36,,Char_Slide_ch36
event:/InGame_Ch37/Char_Slide_ch37,,Char_Slide_ch37
event:/InGame_Ch38/Char_Slide_ch38,,Char_Slide_ch38
event:/InGame_Ch39/Char_Slide_ch39,,Char_Slide_ch39
event:/InGame_Ch40/Char_Slide_ch40,,Char_Slide_ch40
event:/InGame_Ch40/Char_Slide_ch40_lance,,Char_Slide_ch40_lance
event:/InGame_Ch41/Char_Slide_ch41,,Char_Slide_ch41
event:/InGame_Ch42/Char_Slide_ch42,,Char_Slide_ch42
event:/InGame_Ch43/Char_Slide_ch43,,Char_Slide_ch43
event:/InGame_Ch44/Char_Slide_ch44,,Char_Slide_ch44
event:/InGame_Ch45/Char_Slide_ch45,,Char_Slide_ch45
event:/InGame_Ch46/Char_Slide_ch46_00,,Char_Slide_ch46
event:/InGame_Ch46/Char_Slide_ch46_01,,Char_Slide_ch46_1
event:/InGame_Ch46/Char_Slide_ch46_02,,Char_Slide_ch46_2
event:/InGame_Ch46/Char_Slide_ch46_Violinist_Sound_00,,Char_Slide_ch46_Violinist_Sound
event:/InGame_Ch46/Char_Slide_ch46_Violinist_Sound_01,,Char_Slide_ch46_Violinist_Sound_1
event:/InGame_Ch46/Char_Slide_ch46_Violinist_Sound_02,,Char_Slide_ch46_Violinist_Sound_2
event:/InGame_Ch46/Char_Slide_ch46_mid_00,,Char_Slide_ch46_mid
event:/InGame_Ch46/Char_Slide_ch46_mid_01,,Char_Slide_ch46_mid_1
event:/InGame_Ch46/Char_Slide_ch46_mid_02,,Char_Slide_ch46_mid_2
event:/InGame_Ch47/Char_Slide_ch47,,Char_Slide_ch47
event:/InGame_Ch48/Char_Slide_ch48,,Char_Slide_ch48
event:/InGame_Ch49/Char_Slide_ch49,,Char_Slide_ch49
event:/InGame_Ch50/Char_Slide_ch50,,Char_Slide_ch50
event:/InGame_Ch51/Char_Slide_ch51,,Char_Slide_ch51
event:/InGame_Ch52/Char_Slide_ch52,,Char_Slide_ch52
event:/InGame_Ch53/Char_Slide_ch53,,Char_Slide_ch53
event:/InGame_Ch54/Char_Slide_ch54,,Char_Slide_ch54
event:/InGame_Ch55/Char_Slide_ch55,,Char_Slide_ch55
event:/InGame_Ch56/Char_Slide_ch56,,Char_Slide_ch56
event:/InGame_Ch57/Char_Slide_ch57,,Char_Slide_ch57
event:/InGame_Ch58/Char_Slide_ch58,,Char_Slide_ch58
event:/InGame_Ch59/Char_Slide_ch59,,Char_Slide_ch59
event:/InGame_Ch60/Char_Slide_ch60,,Char_Slide_ch60
event:/InGame_Ch61/Char_Slide_ch61,,Char_Slide_ch61
event:/InGame_Ch62/Char_Slide_ch62,,Char_Slide_ch62
event:/InGame_Ch63/Char_Slide_ch63,,Char_Slide_ch63
event:/InGame_Ch64/Char_Slide_ch64,,Char_Slide_ch64
event:/InGame_Ch65/Char_Slide_ch65,,Char_Slide_ch65
event:/InGame_Ch66/Char_Slide_ch66,,Char_Slide_ch66
event:/InGame_Ch67/Char_Slide_ch67,,Char_Slide_ch67
event:/InGame_Ch68/Char_Slide_ch68,,Char_Slide_ch68
event:/InGame_Ch69/Char_Slide_ch69,,Char_Slide_ch69
event:/InGame_Ch70/Char_Slide_ch70,,Char_Slide_ch70
event:/InGame_Ch71/Char_Slide_ch71,,Char_Slide_ch71
event:/InGame_Ch72/Char_Slide_ch72,,Char_Slide_ch72
event:/InGame_Ch73_Gulabjamun/Slide,,Char_Slide_ch73
event:/InGame_Ch74_Kajukatli/Slide,,Char_Slide_ch74
event:/InGame_Ch75_MallowBunny/Slide,,Char_Slide_ch75
event:/InGame_Ch76_Cucumber/Slide,,Char_Slide_ch77
event:/InGame_Ch78_Sikhye/Slide,,Char_Slide_ch78
event:/InGame_Ch79_CinnamonPunch/Slide,,Char_Slide_ch79
event:/InGame_Ch80_Bori/Slide,,Char_Slide_ch80
event:/InGame_Ch81_BariPrincess/Slide,,Char_Slide_ch81
event:/InGame_Ch82_PotatoSalad/Slide,,Char_Slide_ch82
event:/InGame_Ch83_Pakimchi/Slide,,Char_Slide_ch83
event:/InGame_Ch84_whitekimchi/Slide,,Char_Slide_ch84
event:/InGame_Ch85_ChungmuKimbap/Slide,,Char_Slide_ch85
event:/InGame_Ch86_Manggaetteok/Slide,,Char_Slide_ch86
event:/InGame_Ch87_PlumBlossom/Slide,,Char_Slide_ch87
event:/InGame_Ch88_Garaetteok/Slide,,Char_Slide_ch88
event:/InGame_Ch89_Dubai/Slide,,Char_Slide_ch89
event:/InGame_Ch90_Dandelion/Slide,,Char_Slide_ch90
event:/InGame_Ch91_Kaymak/Slide,,Char_Slide_ch91
event:/InGame_Ch92_PineMonk/Slide,,Char_Slide_ch92
event:/InGame_Ch93_LotusRootPhantom/Slide,,Char_Slide_ch93
event:/InGame_Ch20/CheerLeader_CallFriends, ,CheerLeader_CallFriends
event:/InGame_Ch20/CheerLeader_Friends, ,CheerLeader_Friends
event:/InGame_Common/CheeseCakeFireworkExplosion, ,CheeseCakeFireworkExplosion
event:/InGame_Common/CheeseCakeFireworkFire, ,CheeseCakeFireworkFire
event:/InGame_Ch51/CherryBlossomMakeExplosion,,CherryBlossomMakeExplosion
event:/InGame_Ch51/CherryBlossom_TransformEnd,,CherryBlossom_TransformEnd
event:/InGame_Ch51/CherryBlossom_TransformFlight,,CherryBlossom_TransformFlight
event:/InGame_Ch51/CherryBlossom_TransformStart,,CherryBlossom_TransformStart
event:/InGame_Pet49/ChocoKing_RedCarpet, ,ChocoKing_RedCarpet
event:/InGame_Ch48/Choucream_TransformEnd,,Choucream_TransformEnd
event:/InGame_Ch48/Choucream_TransformJump,,Choucream_TransformJump
event:/InGame_Ch48/Choucream_TransformSlide,,Choucream_TransformSlide
event:/InGame_Ch48/Choucream_TransformStart,,Choucream_TransformStart
event:/InGame_Ch85_ChungmuKimbap/BlackTortoise_Cannon,,ChungmuKimbap_BlackTortoiseCannon
event:/InGame_Ch85_ChungmuKimbap/Cannon,,ChungmuKimbap_Cannon
event:/InGame_Ch85_ChungmuKimbap/Fire_Arrow,,ChungmuKimbap_FireArrow
event:/InGame_Ch85_ChungmuKimbap/SoundEff_GetChungmuKimbapJelly,,ChungmuKimbap_GetChungmuKimbapJelly
event:/InGame_Ch85_ChungmuKimbap/Ghost_Start,,ChungmuKimbap_GhostStart
event:/InGame_Ch85_ChungmuKimbap/Obstacle,,ChungmuKimbap_Obstacle
event:/InGame_Ch85_ChungmuKimbap/Soldier,,ChungmuKimbap_Soldier
event:/InGame_Ch85_ChungmuKimbap/ThunderBolt,,ChungmuKimbap_ThunderBolt
event:/InGame_Ch85_ChungmuKimbap/Transform_End,,ChungmuKimbap_TransformEnd
event:/InGame_Ch85_ChungmuKimbap/Transform_Start,,ChungmuKimbap_TransformStart
event:/InGame_Ch85_ChungmuKimbap/Waves,,ChungmuKimbap_Waves
event:/InGame_Ch78_Sikhye/Baduk_Defeat,,CinnamonPunch_Baduk_Defeat
event:/InGame_Ch78_Sikhye/Baduk_Win,,CinnamonPunch_Baduk_Win
event:/InGame_Ch78_Sikhye/Destruction,,CinnamonPunch_Destruction
event:/InGame_Ch79_CinnamonPunch/SoundEff_GetAStrokeOfGeniusBlackBadukStoneJelly,,CinnamonPunch_GetAStrokeOfGeniusBlackBadukStoneJelly
event:/InGame_Ch78_Sikhye/SoundEff_GetAuroraBadukStoneJelly,,CinnamonPunch_GetBlackAuroraBadukStoneJelly
event:/InGame_Ch79_CinnamonPunch/SoundEff_GetBlackBadukStoneJelly,,CinnamonPunch_GetBlackBadukStoneJelly
event:/InGame_Ch79_CinnamonPunch/Hit_the_BlackBadukStoneJelly,,CinnamonPunch_Hit_The_BadukStoneJelly
event:/InGame_Ch78_Sikhye/Make_Coin,,CinnamonPunch_MakeCoin
event:/InGame_Ch79_CinnamonPunch/Run_Fast_Start,,CinnamonPunch_Run_Fast_Start
event:/InGame_Ch60/CinnamonSound_Magic1,,CinnamonSound_Magic1
event:/InGame_Ch60/CinnamonSound_Magic2,,CinnamonSound_Magic2
event:/InGame_Ch60/CinnamonSound_Magic3,,CinnamonSound_Magic3
event:/InGame_Ch60/CinnamonSound_Magic4,,CinnamonSound_Magic4
event:/InGame_Ch60/Cinnamon_JellyChange,,Cinnamon_JellyChange
event:/InGame_Ch45/Cocoa_TransformEnd,,Cocoa_TransformEnd
event:/InGame_Ch45/Cocoa_TransformFlight,,Cocoa_TransformFlight
event:/InGame_Ch45/Cocoa_TransformStart,,Cocoa_TransformStart
event:/InGame_Common/ColorStarJellyBomb,,ColorStarJellyBomb
event:/InGame_Ch48/Coucream_shotBigMaigicJelly,,Coucream_shotBigMaigicJelly
event:/InGame_Ch48/Coucream_shotSmallMaigicJelly,,Coucream_shotSmallMaigicJelly
event:/InGame_Ch33/CrusaderFlightEnd, ,CrusaderFlightEnd
event:/InGame_Ch33/CrusaderFlightRun, ,CrusaderFlightRun
event:/InGame_Ch33/CrusaderFlightStart, ,CrusaderFlightStart
event:/InGame_Ch76_Cucumber/Big_Fishing,,Cucumber_BigFishing
event:/InGame_Ch76_Cucumber/Big_Fishing_Fail,,Cucumber_BigFishing_Fail
event:/InGame_Ch76_Cucumber/Big_Fishing_Reel,,Cucumber_BigFishing_Reel
event:/InGame_Ch76_Cucumber/Big_Fishing_Success,,Cucumber_BigFishing_Success
event:/InGame_Ch76_Cucumber/Fishing,,Cucumber_Fishing
event:/InGame_Ch76_Cucumber/Fishing_End,,Cucumber_Fishing_End
event:/InGame_Ch90_Dandelion/Transform_End,,DandelionCookie_TransformEnd
event:/InGame_Ch90_Dandelion/TransformFlight,,DandelionCookie_TransformFlight
event:/InGame_Ch90_Dandelion/Transform_Start,,DandelionCookie_TransformStart
event:/InGame_Ch90_Dandelion/pompomflower,,DandelionCookie_pompomflower
event:/InGame_Ch90_Dandelion/pompomflower_Jelly1,,DandelionCookie_pompomflower_Jelly1
event:/InGame_Ch90_Dandelion/pompomflower_Jelly2,,DandelionCookie_pompomflower_Jelly2
event:/InGame_Ch90_Dandelion/pompomflower_Jelly3,,DandelionCookie_pompomflower_Jelly3
event:/InGame_Ch90_Dandelion/pompomflower_Jelly4,,DandelionCookie_pompomflower_Jelly4
event:/InGame_Ch90_Dandelion/pompomflower_Jelly5,,DandelionCookie_pompomflower_Jelly5
event:/InGame_Ch90_Dandelion/pompomflower_Jelly6,,DandelionCookie_pompomflower_Jelly6
event:/InGame_Pet101_Dandelion/Jelly1,,DandelionPet_Jelly1
event:/InGame_Pet101_Dandelion/Jelly2,,DandelionPet_Jelly2
event:/InGame_Pet101_Dandelion/Jump,,DandelionPet_Jump
event:/InGame_Pet94_DasaraBread/Shot,,DasaraBread_Shot
event:/InGame_Pet94_DasaraBread/Coin,,DasaraBread_coin
event:/InGame_Ch64/Dinosaur_TransformEnd,,Dinosaur_TransformEnd
event:/InGame_Ch64/Dinosaur_TransformJump,,Dinosaur_TransformJump
event:/InGame_Ch64/Dinosaur_TransformLanding, ,Dinosaur_TransformLanding
event:/InGame_Ch64/Dinosaur_TransformSlide,,Dinosaur_TransformSlide
event:/InGame_Ch64/Dinosaur_TransformStart,,Dinosaur_TransformStart
event:/InGame_Ch89_Dubai/SoundEff_DubaiCookieJelly,,DubaiCookie_DubaiCookieJelly
event:/InGame_Ch89_Dubai/SoundEff_Spread,,DubaiCookie_Spread
event:/InGame_Ch89_Dubai/Transform_End,,DubaiCookie_TransformEnd
event:/InGame_Ch89_Dubai/Transform_Start,,DubaiCookie_TransformStart
event:/InGame_Ch89_Dubai/Transform_BigJumplanding,,DubaiCookie_Transform_BigJumplanding
event:/InGame_Ch89_Dubai/Transform_Jump,,DubaiCookie_Transform_Jump
event:/InGame_Ch89_Dubai/Transform_Jumplanding,,DubaiCookie_Transform_Jumplanding
event:/InGame_Pet100_DubaiPet/CocoaPowder,,DubaiPet_CocoaPowder
event:/InGame_Pet100_DubaiPet/SoundEff_GetSnailDubaiJelly,,DubaiPet_GetSnailDubaiJelly
event:/InGame_Pet100_DubaiPet/Jump,,DubaiPet_Jump
event:/InGame_Pet100_DubaiPet/Make_SnailDubaiJelly,,DubaiPet_Make_SnailDubaiJelly
event:/InGame_Pet69/DumplingPanda_Splash,,DumplingPanda_Splash
event:/OutGame_EnchantMagic/EnchantMagic_Best, ,EnchantMagic_Best
event:/OutGame_EnchantMagic/EnchantMagic_Loading, ,EnchantMagic_Loading
event:/OutGame_EnchantMagic/EnchantMagic_Normal, ,EnchantMagic_Normal
event:/InGame_Ch38/EnterExplorerHole, ,EnterExplorerHole
event:/InGame_Common/Platform_EventRun_Popup_Wide_Knives,,EventRun_Platform_PopOut
event:/InGame_Common/Platform_EventRun_Swing_Giant_Axe,,EventRun_Platform_PopOut_slidewing
event:/InGame_Common/Platform_EventRun_Popup_Grass,,EventRun_Platform_PopUpObstacle
event:/InGame_Common/Platform_EventRun_Popup_Knives_After_Passing,,EventRun_Platform_PopUpObstacle_Knives
event:/OutGame_Common/Loading_EventRun,,EventRun_ambience_Loading_EventRun
event:/OutGame_EvolutionTreasure/EvolutionTreasure_BigSuccess, ,EvolutionTreasure_BigSuccess
event:/OutGame_EvolutionTreasure/EvolutionTreasure_Fail, ,EvolutionTreasure_Fail
event:/OutGame_EvolutionTreasure/EvolutionTreasure_Loading, ,EvolutionTreasure_Loading
event:/OutGame_EvolutionTreasure/EvolutionTreasure_Start, ,EvolutionTreasure_Start
event:/OutGame_EvolutionTreasure/EvolutionTreasure_Success, ,EvolutionTreasure_Success
event:/InGame_Ch38/ExitExplorerHole, ,ExitExplorerHole
event:/InGame_Common/ExtraNormalScore,,ExtraNormalScore
