LeagueName,leagueRewardQty,leagueTier,nextResult,rank,rankRewardQty,_key
Expert 5,62,15,ascend,1,7,225
Master 1,70,16,descend,15,0,226
Master 1,70,16,descend,14,0,227
Master 1,70,16,same,13,0,228
Master 1,70,16,same,12,0,229
Sprout 2,21,2,same,8,0,23
Master 1,70,16,same,11,1,230
Master 1,70,16,same,10,1,231
Master 1,70,16,same,9,1,232
Master 1,70,16,same,8,2,233
Master 1,70,16,same,7,2,234
Master 1,70,16,ascend,6,2,235
Master 1,70,16,ascend,5,3,236
Master 1,70,16,ascend,4,4,237
Master 1,70,16,ascend,3,5,238
Master 1,70,16,ascend,2,6,239
Sprout 2,21,2,ascend,7,0,24
Master 1,70,16,ascend,1,7,240
Master 2,78,17,descend,15,0,241
Master 2,78,17,descend,14,0,242
Master 2,78,17,same,13,0,243
Master 2,78,17,same,12,0,244
Master 2,78,17,same,11,1,245
Master 2,78,17,same,10,1,246
Master 2,78,17,same,9,1,247
Master 2,78,17,same,8,2,248
Master 2,78,17,same,7,2,249
Sprout 2,21,2,ascend,6,0,25
Master 2,78,17,ascend,6,2,250
Master 2,78,17,ascend,5,3,251
Master 2,78,17,ascend,4,4,252
Master 2,78,17,ascend,3,5,253
Master 2,78,17,ascend,2,6,254
Master 2,78,17,ascend,1,7,255
Master 3,86,18,descend,15,0,256
Master 3,86,18,descend,14,0,257
Master 3,86,18,same,13,0,258
Master 3,86,18,same,12,0,259
Sprout 2,21,2,ascend,5,0,26
Master 3,86,18,same,11,1,260
Master 3,86,18,same,10,1,261
Master 3,86,18,same,9,1,262
Master 3,86,18,same,8,2,263
Master 3,86,18,same,7,2,264
Master 3,86,18,ascend,6,2,265
Master 3,86,18,ascend,5,3,266
Master 3,86,18,ascend,4,4,267
Master 3,86,18,ascend,3,5,268
Master 3,86,18,ascend,2,6,269
Sprout 2,21,2,ascend,4,0,27
Master 3,86,18,ascend,1,7,270
Master 4,94,19,descend,15,0,271
Master 4,94,19,descend,14,0,272
Master 4,94,19,same,13,0,273
Master 4,94,19,same,12,0,274
Master 4,94,19,same,11,1,275
Master 4,94,19,same,10,1,276
Master 4,94,19,same,9,1,277
Master 4,94,19,same,8,2,278
Master 4,94,19,same,7,2,279
Sprout 2,21,2,ascend,3,0,28
Master 4,94,19,ascend,6,2,280
Master 4,94,19,ascend,5,3,281
Master 4,94,19,ascend,4,4,282
Master 4,94,19,ascend,3,5,283
Master 4,94,19,ascend,2,6,284
Master 4,94,19,ascend,1,7,285
Master 5,102,20,descend,15,0,286
Master 5,102,20,descend,14,0,287
Master 5,102,20,same,13,0,288
Master 5,102,20,same,12,0,289
Sprout 2,21,2,ascend,2,0,29
Master 5,102,20,same,11,1,290
Master 5,102,20,same,10,1,291
Master 5,102,20,same,9,1,292
Master 5,102,20,same,8,2,293
Master 5,102,20,same,7,2,294
Master 5,102,20,ascend,6,2,295
Master 5,102,20,ascend,5,3,296
Master 5,102,20,ascend,4,4,297
Master 5,102,20,ascend,3,5,298
Master 5,102,20,ascend,2,6,299
Sprout 1,20,1,same,13,0,3
Sprout 2,21,2,ascend,1,0,30
Master 5,102,20,ascend,1,7,300
Hero 1,110,21,descend,15,0,301
Hero 1,110,21,descend,14,0,302
Hero 1,110,21,same,13,0,303
Hero 1,110,21,same,12,0,304
Hero 1,110,21,same,11,1,305
Hero 1,110,21,same,10,1,306
Hero 1,110,21,same,9,1,307
Hero 1,110,21,same,8,2,308
Hero 1,110,21,same,7,2,309
Sprout 3,22,3,same,15,0,31
Hero 1,110,21,ascend,6,3,310
Hero 1,110,21,ascend,5,3,311
Hero 1,110,21,ascend,4,4,312
Hero 1,110,21,ascend,3,5,313
Hero 1,110,21,ascend,2,6,314
Hero 1,110,21,ascend,1,7,315
Hero 2,118,22,descend,15,0,316
Hero 2,118,22,descend,14,0,317
Hero 2,118,22,same,13,0,318
Hero 2,118,22,same,12,0,319
Sprout 3,22,3,same,14,0,32
Hero 2,118,22,same,11,1,320
Hero 2,118,22,same,10,1,321
Hero 2,118,22,same,9,1,322
Hero 2,118,22,same,8,2,323
Hero 2,118,22,same,7,2,324
Hero 2,118,22,ascend,6,3,325
Hero 2,118,22,ascend,5,3,326
Hero 2,118,22,ascend,4,4,327
Hero 2,118,22,ascend,3,5,328
Hero 2,118,22,ascend,2,6,329
Sprout 3,22,3,same,13,0,33
Hero 2,118,22,ascend,1,7,330
Hero 3,126,23,descend,15,0,331
Hero 3,126,23,descend,14,0,332
Hero 3,126,23,same,13,0,333
Hero 3,126,23,same,12,0,334
Hero 3,126,23,same,11,1,335
Hero 3,126,23,same,10,1,336
Hero 3,126,23,same,9,1,337
Hero 3,126,23,same,8,2,338
Hero 3,126,23,same,7,2,339
Sprout 3,22,3,same,12,0,34
Hero 3,126,23,ascend,6,3,340
Hero 3,126,23,ascend,5,3,341
Hero 3,126,23,ascend,4,4,342
Hero 3,126,23,ascend,3,5,343
Hero 3,126,23,ascend,2,6,344
Hero 3,126,23,ascend,1,7,345
Hero 4,134,24,descend,15,0,346
Hero 4,134,24,descend,14,0,347
Hero 4,134,24,same,13,0,348
Hero 4,134,24,same,12,0,349
Sprout 3,22,3,same,11,0,35
Hero 4,134,24,same,11,1,350
Hero 4,134,24,same,10,1,351
Hero 4,134,24,same,9,1,352
Hero 4,134,24,same,8,2,353
Hero 4,134,24,same,7,2,354
Hero 4,134,24,ascend,6,3,355
Hero 4,134,24,ascend,5,3,356
Hero 4,134,24,ascend,4,4,357
Hero 4,134,24,ascend,3,5,358
Hero 4,134,24,ascend,2,6,359
Sprout 3,22,3,same,10,0,36
Hero 4,134,24,ascend,1,7,360
Hero 5,142,25,descend,15,0,361
Hero 5,142,25,descend,14,0,362
Hero 5,142,25,same,13,0,363
Hero 5,142,25,same,12,0,364
Hero 5,142,25,same,11,1,365
Hero 5,142,25,same,10,1,366
Hero 5,142,25,same,9,1,367
Hero 5,142,25,same,8,2,368
Hero 5,142,25,same,7,2,369
Sprout 3,22,3,same,9,0,37
Hero 5,142,25,ascend,6,3,370
Hero 5,142,25,ascend,5,3,371
Hero 5,142,25,ascend,4,4,372
Hero 5,142,25,ascend,3,5,373
Hero 5,142,25,ascend,2,6,374
Hero 5,142,25,ascend,1,7,375
Champ 1,150,26,descend,15,0,376
Champ 1,150,26,descend,14,0,377
Champ 1,150,26,same,13,0,378
Champ 1,150,26,same,12,0,379
Sprout 3,22,3,same,8,0,38
Champ 1,150,26,same,11,0,380
Champ 1,150,26,same,10,1,381
Champ 1,150,26,same,9,1,382
Champ 1,150,26,same,8,1,383
Champ 1,150,26,same,7,2,384
Champ 1,150,26,same,6,2,385
Champ 1,150,26,ascend,5,3,386
Champ 1,150,26,ascend,4,3,387
Champ 1,150,26,ascend,3,4,388
Champ 1,150,26,ascend,2,5,389
Sprout 3,22,3,ascend,7,0,39
Champ 1,150,26,ascend,1,6,390
Champ 2,157,27,descend,15,0,391
Champ 2,157,27,descend,14,0,392
Champ 2,157,27,same,13,0,393
Champ 2,157,27,same,12,0,394
Champ 2,157,27,same,11,0,395
Champ 2,157,27,same,10,1,396
Champ 2,157,27,same,9,1,397
Champ 2,157,27,same,8,1,398
Champ 2,157,27,same,7,2,399
Sprout 1,20,1,same,12,0,4
Sprout 3,22,3,ascend,6,0,40
Champ 2,157,27,same,6,2,400
Champ 2,157,27,ascend,5,3,401
Champ 2,157,27,ascend,4,3,402
Champ 2,157,27,ascend,3,4,403
Champ 2,157,27,ascend,2,5,404
Champ 2,157,27,ascend,1,6,405
Champ 3,164,28,descend,15,0,406
Champ 3,164,28,descend,14,0,407
Champ 3,164,28,same,13,0,408
Champ 3,164,28,same,12,0,409
Sprout 3,22,3,ascend,5,0,41
Champ 3,164,28,same,11,0,410
Champ 3,164,28,same,10,1,411
Champ 3,164,28,same,9,1,412
Champ 3,164,28,same,8,1,413
Champ 3,164,28,same,7,2,414
Champ 3,164,28,same,6,2,415
Champ 3,164,28,ascend,5,3,416
Champ 3,164,28,ascend,4,3,417
Champ 3,164,28,ascend,3,4,418
Champ 3,164,28,ascend,2,5,419
Sprout 3,22,3,ascend,4,0,42
Champ 3,164,28,ascend,1,6,420
Champ 4,171,29,descend,15,0,421
Champ 4,171,29,descend,14,0,422
Champ 4,171,29,same,13,0,423
Champ 4,171,29,same,12,0,424
Champ 4,171,29,same,11,0,425
Champ 4,171,29,same,10,1,426
Champ 4,171,29,same,9,1,427
Champ 4,171,29,same,8,1,428
Champ 4,171,29,same,7,2,429
Sprout 3,22,3,ascend,3,0,43
Champ 4,171,29,same,6,2,430
Champ 4,171,29,ascend,5,3,431
Champ 4,171,29,ascend,4,3,432
Champ 4,171,29,ascend,3,4,433
Champ 4,171,29,ascend,2,5,434
Champ 4,171,29,ascend,1,6,435
Champ 5,178,30,descend,15,0,436
Champ 5,178,30,descend,14,0,437
Champ 5,178,30,same,13,0,438
Champ 5,178,30,same,12,0,439
Sprout 3,22,3,ascend,2,0,44
Champ 5,178,30,same,11,0,440
Champ 5,178,30,same,10,1,441
Champ 5,178,30,same,9,1,442
Champ 5,178,30,same,8,1,443
Champ 5,178,30,same,7,2,444
Champ 5,178,30,same,6,2,445
Champ 5,178,30,ascend,5,3,446
Champ 5,178,30,ascend,4,3,447
Champ 5,178,30,ascend,3,4,448
Champ 5,178,30,ascend,2,5,449
Sprout 3,22,3,ascend,1,0,45
Champ 5,178,30,ascend,1,6,450
Legend 1,185,31,descend,15,0,451
Legend 1,185,31,descend,14,0,452
Legend 1,185,31,same,13,0,453
Legend 1,185,31,same,12,0,454
Legend 1,185,31,same,11,0,455
Legend 1,185,31,same,10,0,456
Legend 1,185,31,same,9,1,457
Legend 1,185,31,same,8,1,458
Legend 1,185,31,same,7,1,459
Sprout 4,23,4,same,15,0,46
Legend 1,185,31,same,6,2,460
Legend 1,185,31,same,5,2,461
Legend 1,185,31,ascend,4,3,462
Legend 1,185,31,ascend,3,3,463
Legend 1,185,31,ascend,2,4,464
Legend 1,185,31,ascend,1,5,465
Legend 2,191,32,descend,15,0,466
Legend 2,191,32,descend,14,0,467
Legend 2,191,32,same,13,0,468
Legend 2,191,32,same,12,0,469
Sprout 4,23,4,same,14,0,47
Legend 2,191,32,same,11,0,470
Legend 2,191,32,same,10,0,471
Legend 2,191,32,same,9,1,472
Legend 2,191,32,same,8,1,473
Legend 2,191,32,same,7,1,474
Legend 2,191,32,same,6,2,475
Legend 2,191,32,same,5,2,476
Legend 2,191,32,ascend,4,3,477
Legend 2,191,32,ascend,3,3,478
Legend 2,191,32,ascend,2,4,479
Sprout 4,23,4,same,13,0,48
Legend 2,191,32,ascend,1,5,480
Legend 3,197,33,descend,15,0,481
Legend 3,197,33,descend,14,0,482
Legend 3,197,33,same,13,0,483
Legend 3,197,33,same,12,0,484
Legend 3,197,33,same,11,0,485
Legend 3,197,33,same,10,0,486
Legend 3,197,33,same,9,1,487
Legend 3,197,33,same,8,1,488
Legend 3,197,33,same,7,1,489
Sprout 4,23,4,same,12,0,49
Legend 3,197,33,same,6,2,490
Legend 3,197,33,same,5,2,491
Legend 3,197,33,ascend,4,3,492
Legend 3,197,33,ascend,3,3,493
Legend 3,197,33,ascend,2,4,494
Legend 3,197,33,ascend,1,5,495
Legend 4,203,34,descend,15,0,496
Legend 4,203,34,descend,14,0,497
Legend 4,203,34,same,13,0,498
Legend 4,203,34,same,12,0,499
Sprout 1,20,1,same,11,0,5
Sprout 4,23,4,same,11,0,50
Legend 4,203,34,same,11,0,500
Legend 4,203,34,same,10,0,501
Legend 4,203,34,same,9,1,502
Legend 4,203,34,same,8,1,503
Legend 4,203,34,same,7,1,504
Legend 4,203,34,same,6,2,505
Legend 4,203,34,same,5,2,506
Legend 4,203,34,ascend,4,3,507
Legend 4,203,34,ascend,3,3,508
Legend 4,203,34,ascend,2,4,509
Sprout 4,23,4,same,10,0,51
Legend 4,203,34,ascend,1,5,510
Legend 5,209,35,descend,15,0,511
Legend 5,209,35,descend,14,0,512
Legend 5,209,35,same,13,0,513
Legend 5,209,35,same,12,0,514
Legend 5,209,35,same,11,0,515
Legend 5,209,35,same,10,0,516
Legend 5,209,35,same,9,1,517
Legend 5,209,35,same,8,1,518
Legend 5,209,35,same,7,1,519
Sprout 4,23,4,same,9,0,52
Legend 5,209,35,same,6,2,520
Legend 5,209,35,same,5,2,521
Legend 5,209,35,same,4,3,522
Legend 5,209,35,ascend,3,3,523
Legend 5,209,35,ascend,2,4,524
Legend 5,209,35,ascend,1,5,525
Myth,215,36,descend,5,0,526
Myth,215,36,descend,4,0,527
Myth,215,36,same,3,0,528
Myth,215,36,same,2,1,529
Sprout 4,23,4,same,8,0,53
Myth,215,36,same,1,2,530
Sprout 4,23,4,ascend,7,0,54
Sprout 4,23,4,ascend,6,0,55
Sprout 4,23,4,ascend,5,0,56
Sprout 4,23,4,ascend,4,0,57
Sprout 4,23,4,ascend,3,0,58
Sprout 4,23,4,ascend,2,0,59
Sprout 1,20,1,same,10,0,6
Sprout 4,23,4,ascend,1,0,60
Sprout 5,24,5,same,15,0,61
Sprout 5,24,5,same,14,0,62
Sprout 5,24,5,same,13,0,63
Sprout 5,24,5,same,12,0,64
Sprout 5,24,5,same,11,0,65
Sprout 5,24,5,same,10,0,66
Sprout 5,24,5,same,9,0,67
Sprout 5,24,5,same,8,0,68
Sprout 5,24,5,ascend,7,0,69
Sprout 1,20,1,same,9,0,7
Sprout 5,24,5,ascend,6,0,70
Sprout 5,24,5,ascend,5,0,71
Sprout 5,24,5,ascend,4,0,72
Sprout 5,24,5,ascend,3,0,73
Sprout 5,24,5,ascend,2,0,74
Sprout 5,24,5,ascend,1,0,75
Rookie 1,25,6,same,15,0,76
Rookie 1,25,6,same,14,0,77
Rookie 1,25,6,same,13,0,78
Rookie 1,25,6,same,12,0,79
Sprout 1,20,1,same,8,0,8
Rookie 1,25,6,same,11,0,80
Rookie 1,25,6,same,10,0,81
Rookie 1,25,6,same,9,0,82
Rookie 1,25,6,same,8,0,83
Rookie 1,25,6,ascend,7,0,84
Rookie 1,25,6,ascend,6,0,85
Rookie 1,25,6,ascend,5,0,86
Rookie 1,25,6,ascend,4,0,87
Rookie 1,25,6,ascend,3,0,88
Rookie 1,25,6,ascend,2,0,89
Sprout 1,20,1,ascend,7,0,9
Rookie 1,25,6,ascend,1,0,90
Rookie 2,26,7,same,15,0,91
Rookie 1,26,7,same,14,0,92
Rookie 2,26,7,same,13,0,93
Rookie 1,26,7,same,12,0,94
Rookie 2,26,7,same,11,0,95
Rookie 1,26,7,same,10,0,96
Rookie 2,26,7,same,9,0,97
Rookie 1,26,7,same,8,0,98
Rookie 2,26,7,ascend,7,0,99
