resource_key,value,_key
ch44,0,FoolHoldRangeWithColBoxOn
ch88,50,GARAE_JELLY_AMOUNT
ch88,2,GARAE_OBSTACLE_JELLY_AMOUNT
ch88,70,GARAE_OBSTACLE_JELLY_LIMIT_AMOUNT
ch88,120,GARAE_TRANSFORM_MAGNET_SIZE
ch88,1800,GARAE_TRANSFORM_SPEED
ch92,120,GEUMGANG_GHOST_GENERATE_COOLTIME
ch49,4268,Guardian4JellyEP4
ch57,250,JujubeAttackColBoxOffsetX
ch57,-20,JujubeAttackColBoxOffsetY
ch57,550,JujubeAttackColBoxX
ch57,150,JujubeAttackColBoxY
ch57,0,JujubeDrawAttackColBox
ch57,180,JujubeObstacleSmallInterval
ch40,11,JungleWarriorHeartCount
ch91,"100,250",KAYMAK_CLONE_COOLTIME
ch91,300,KAYMAK_CLONE_CRASH_DELAY
ch91,"315,80,180",KAYMAK_CLONE_DEFAULT_POSITION
ch91,"180,0,240,240,3,2",KAYMAK_CLONE_FAR_OBSTACLE_TEST_AREA
ch91,"0,0,180,240,2,1",KAYMAK_CLONE_NEAR_OBSTACLE_TEST_AREA
ch91,1200,KAYMAK_TRANSFORM_SPEED
ch74,0.3,KajuKatli_CreationDelay
ch74,2.0,KajuKatli_DisappearenceDelay
ch74,1000,KajuKatli_DustEffectScale
ch74,1300,KajuKatli_JavelinAniScale
ch74,250,KajuKatli_JavelinColBoxHeight
ch74,10,KajuKatli_JavelinCrashMaxDistanceFromCookie
ch74,3.0,KajuKatli_JavelinSpeedRate
ch74,20,KajuKatli_JavelinSpinOffsetX
ch74,50,KajuKatli_JavelinSpinOffsetY
ch74,3000,KajuKatli_JavelinSpinScale
ch74,3600,KajuKatli_JavelinSpinScaleMax
ch74,300,KajuKatli_JavelinSpinWidth
ch74,20,KajuKatli_JavelinStartOffsetX
ch74,70,KajuKatli_JavelinStartOffsetY
ch43,300,KiwiFuelBoostDuration
ch93_effect,0,LOTUSROOT_SKELETON_JELLY_COUNT_OBSTACLE
ch93_effect,1700,LOTUSROOT_SMALL_WAVE_SPEED
ch93,1500,LOTUSROOT_WAVE_SPEED
ch54,14,LimeBigBoomDist
ch54,75,LimeBoomJellyCountBig
ch54,50,LimeBoomJellyCountNormal
ch54,30,LimeNormalBoomDist
ch54,1200,LimeTransformSpeedRate
ch86,100,MANGGAE_TRANSFORM_MAGNET_RANGE
ch86,750,MANGGAE_TRANSFORM_SCALE_FACTOR
ch31,0,MagicalGirlCenterJelly
ch31,0,MagicalGirlCenterJellyPerCount
ch25,4339,MagicianJelly
ch75,30,MallowBunny_CoinPortalExplosionCoinJellyRadius
ch75,30,MallowBunny_CoinPortalExplosionGoldJellyRadius
ch75,30,MallowBunny_CoinPortalExplosionKingCoinRadius
ch75,100,MallowBunny_CoinPortalExplosionPosY
ch75,3,MallowBunny_CoinPortalKingCoinInterval
ch75,0.1,MallowBunny_CoinPortalRatio
ch75,10,MallowBunny_JellyPortalCoinJellyCount
ch75,30,MallowBunny_JellyPortalExplosionCoinJellyRadius
ch75,20,MallowBunny_JellyPortalExplosionJellyRadius
ch75,100,MallowBunny_JellyPortalExplosionPosY
ch75,"10,-100",MallowBunny_LargePortalColAreaOffset
ch75,"20,200",MallowBunny_LargePortalColAreaSize
ch75,"-130,-150",MallowBunny_LargePortalCrashAreaOffset
ch75,"200,300",MallowBunny_LargePortalCrashAreaSize
ch75,30,MallowBunny_LargePortalExplosionCoinJellyRadius
ch75,30,MallowBunny_LargePortalExplosionGoldCoinRadius
ch75,30,MallowBunny_LargePortalExplosionJellyRadius
ch75,-50,MallowBunny_LargePortalExplosionLowerEffectPosY
ch75,150,MallowBunny_LargePortalExplosionPosY
ch75,900,MallowBunny_LargePortalJellyMaxCount
ch75,"0.2,0.05",MallowBunny_LargePortalRatio
ch75,7,MallowBunny_LargePortalRecovery
ch75,20,MallowBunny_MarshmallowBearJellyYRange
ch75,500,MallowBunny_PortalBuffLowerEffectFadeDuration
ch75,10,MallowBunny_PortalBuffLowerEffectInitCount
ch75,50,MallowBunny_PortalBuffLowerEffectInterval
ch75,120,MallowBunny_PortalBuffLowerEffectMoveSpeed
ch75,"-50,-50",MallowBunny_PortalExplosionColAreaOffset
ch75,"100,100",MallowBunny_PortalExplosionColAreaSize
ch75,80,MallowBunny_PortalMagnetSize
ch75,"500,200",MallowBunny_SlowMotion
ch75,150,MallowBunny_SmallPortalCoinJellyMaxCount
ch75,"10,-50",MallowBunny_SmallPortalColAreaOffset
ch75,"20,80",MallowBunny_SmallPortalColAreaSize
ch75,"-125,-150",MallowBunny_SmallPortalCrashAreaOffset
ch75,"190,300",MallowBunny_SmallPortalCrashAreaSize
ch75,130,MallowBunny_SmallPortalJellyMaxCount
ch75,2,MallowBunny_SmallPortalRecovery
ch75,7,MallowBunny_SpecialBgFadeRate
ch75,80,MallowBunny_UpperPortalJudge
ch53,94000,OrangeBallBoostXDiff
ch53,39000,OrangeBallBoostYdiff
ch53,32000,OrangeBallXDiff
ch53,30000,OrangeBallYdiff
ch53,90,OrangeSmashJumpAniDelay
ch53,90,OrangeSmashRunAniDelay
ch53,90,OrangeSmashSlideAniDelay
ch53,145,OrangeSpikeAniDelay
ch56,200,PeachBamBooLeafJellyDist
ch56,1500,PeachEndGenObstacleBufferTime
ch56,40,PeachObstacleGenPhaseWeight1
ch56,30,PeachObstacleGenPhaseWeight2
ch56,20,PeachObstacleGenPhaseWeight3
ch56,2,PeachObstacleGenPlatformCount1
ch56,1,PeachObstacleGenPlatformCount2
ch56,1,PeachObstacleGenPlatformCount3
ch56,1500,PeachTransformSpeedRate
ch92,3,PineMonkCookieSutraCoinForGold
ch92,1300,PineMonkCookieTransformSpeed
ch82,1.2,PotatoSalad_CarpetFadeOutTime
ch82,700,PotatoSalad_CarpetGravity
ch82,0.4,PotatoSalad_GoldCoinExplosionWeight
ch82,0.1,PotatoSalad_KingCoinExplosionWeight
ch82,"0,50",PotatoSalad_MakeCoinAngle
ch82,40,PotatoSalad_MakeCoinLineDistance
ch82,"20,40",PotatoSalad_MakeCoinOffset
ch82,"4,5",PotatoSalad_MayoMakeCoinLine
ch82,"3,4",PotatoSalad_PotatoMakeCoinLine
ch82,0.5,PotatoSalad_SilverCoinExplosionWeight
ch67,120,RollCakeHammerEffectOffsetX
ch67,-60,RollCakeHammerEffectOffsetY
ch67,4363,RollCakeMaterialFlyingJellyEnd
ch67,4359,RollCakeMaterialFlyingJellyStart
ch67,4358,RollCakeMaterialJellyEnd
ch67,4354,RollCakeMaterialJellyStart
ch65,4348,SeaFairyJelly
ch30,50,SnowSugarJellyCoolTime
ch30,6000,SnowSugarLifeCoolTime
ch30,5,SnowSugarLifeValue
ch30,1000,SnowSugarSpeedRate
ch30,1000,SnowSugarSummon1Distance
ch30,30,SnowSugarSummon1Jelly
ch30,500,SnowSugarSummon1Velocity
ch39,1800,SodaSpeedRate
ch39_effect,720,Soda_WaveStart_Daration
ch72,170,StrawberryShortcakeRunMagnetSize
ch72,2,StrawberryShortcakeRunOffImmortal
ch72,150,StrawberryShortcakeTransformMagnetSize
ch72,1.3,StrawberryShortcakeTransformOffImmortal
ch23,2000,SuperDevilRate
ch19,3500,SuperHeroRate
ch46,90,ViolinistColBoxHeight
ch46,90,ViolinistColBoxWidth
ch44,1700,WerewolfColBoxRate
ch44,1350,WerewolfWorldSpeedRate
ch44,30,Werewolf_Effect_Claw_Offset_Y
ch62,350,WhiteChocolateIncompleteAuraEffectDuration
ch62,150,WhiteChocolateIncompleteRateMin
ch62,400,WhiteChocolateMaxAuraEffectDuration
ch62,320,WhiteChocolateSliceEffectDuration
ch62,10,WhiteChocolatemIncompleteJellyDiscount
ch62,ch62_effect2_gage1.png,WhiteChocolatemSubgaugeComplete
ch62,ch62_effect2_gage0.png,WhiteChocolatemSubgaugeIncomplete
