CollisionHeight,CollisionOriginX,CollisionOriginY,CollisionWidth,Id_1,Id_2,Id_3,Id_4,Id_5,Id_6,JellyAni,JellyAniinfoFile,JellyChar,JellyGetSound,JellyName,JellyScore,JellySpriteFrame,JellyTypeGroup,MagnetTypeId,StarEffectId,SubKey_1,SubKey_2,SubKey_3,SubKey_4,SubKey_5,SubKey_6,ToolDesc,TouchTypeId,UnlockedDescription,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,_key
50,-15,-25,30,1515,,,,,,ch28_jelly0,ch28_jelly_aniinfo.plist,,SoundEff_GetItemJelly,CherryBomb,0,,,1,5,4103,,,,,,,1,,18,,,,,,4220
,,,,1503,1519,,,,,item13_alphabet0,item13_alphabet_aniinfo.plist,,SoundEff_GetItemJelly,AlphabetGiant,840,,,0,3,404,,,,,,,0,,3000,1,,,,,4222
,,,,,,,,,,,,,SoundEff_GetBearJelly,SnowFlower,2000,jellybean_ch30.png,,1,1,,,,,,,,0,눈설탕맛 쿠키 소환수가 만드는 눈꽃젤리,,,,,,,4223
,,,,1512,1510,1501,1518,1521,1522,item14_pet380,item14_pet38_aniinfo.plist,,SoundEff_GetItemJelly,MovingSnowEnergy,720,,,1,3,2001,,,,4223,,,0,눈설탕맛 펫이 만드는 눈꽃생명물약,40,700,10,1,200,7,4224
,,,,1512,1510,1518,,,,ch24_jelly5,ch24_jelly_aniinfo.plist,,SoundEff_GetBearJelly,MovingPinkBearJelly,1550,,2,1,5,2001,,,,,,,0,마법소녀가 만드는 날개달링 핑크곰젤리,40,400,2,,,,4225
,,,,1512,1510,1518,,,,ch24_jelly5,ch24_jelly_aniinfo.plist,,SoundEff_GetBearJelly,MovingPinkBearJellyFixed,1550,,2,1,5,2000,,,,,,,0,마법소녀가 만드는 날개달링 핑크곰젤리,40,700,2,,,,4226
,,,,,,,,,,,,K,SoundEff_GetJelly,CandleJelly,1000,jellybean_pet41.png,,0,3,,,,,,,,0,양초 펫이 만드는 새로운 젤리,,,,,,,4227
,,,,1512,1510,,,,,jelly_32_fly0,jelly_32_fly_aniinfo.plist,Y,SoundEff_GetBearJelly,MovingBearBean_일정,610,jelly_32.png,1,1,2,2000,,,,,,일,0,마법소녀가 만드는 날개달링 핑크곰젤리,10,100,,,,,4228
,,,,1512,1510,,,,,jelly_40_fly0,jelly_40_fly_aniinfo.plist,J,SoundEff_GetBearJelly,MovingPinkBearBean_일정,910,jelly_40.png,2,1,5,2000,,,,,,일,0,마법소녀가 만드는 날개달링 핑크곰젤리,10,100,,,,,4229
,,,,1512,1510,,,,,jelly_32_fly0,jelly_32_fly_aniinfo.plist,:,SoundEff_GetBearJelly,MovingBearBean_반대,610,jelly_32.png,1,1,2,2000,,,,,,반,0,마법소녀가 만드는 날개달링 핑크곰젤리,-10,100,,,,,4230
,,,,1512,1510,,,,,jelly_40_fly0,jelly_40_fly_aniinfo.plist,Z,SoundEff_GetBearJelly,MovingPinkBearBean_반대,910,jelly_40.png,2,1,5,2000,,,,,,반,0,마법소녀가 만드는 날개달링 핑크곰젤리,-10,100,,,,,4231
,,,,1512,1510,,,,,jelly_32_fly0,jelly_32_fly_aniinfo.plist,^,SoundEff_GetBearJelly,MovingBearBean_랜덤,610,jelly_32.png,1,1,2,2001,,,,,,랜,0,마법소녀가 만드는 날개달링 핑크곰젤리,10,100,,,,,4232
,,,,1512,1510,,,,,jelly_40_fly0,jelly_40_fly_aniinfo.plist,~,SoundEff_GetBearJelly,MovingPinkBearBean_랜덤,910,jelly_40.png,2,1,5,2001,,,,,,랜,0,마법소녀가 만드는 날개달링 핑크곰젤리,10,100,,,,,4233
,,,,1503,1501,,,,,pet42_jelly0,pet42_jelly_aniinfo.plist,,SoundEff_GetItemJelly,FireFlyJelly,720,,,0,3,403,,,,,,,0,,2500,12,,,,,4234
,,,,1501,1524,1525,1526,,,pet45_jelly0,pet45_jelly_aniinfo.plist,,SoundEff_GetItemJelly,OakCaskJelly,100,,,0,2,,,,,,,,0,,20,8000,250,1050,,,4235
,,,,1510,1512,1527,,,,ch35_jelly0,ch35_jelly_aniinfo.plist,,SoundEff_GetItemJelly,MovingWine,15000,,,2,5,,2001,,,,,,0,,500,50,2,,,,4236
45,-15,-5,45,1528,1510,1512,,,,ch36_jelly0,ch36_jelly_aniinfo.plist,,SoundEff_GetItemJelly,BallonJelly,500,,,1,5,150,,3001,,,,,0,,400,100,2,,,,4237
,,,,1512,1510,1506,,,,,,,SoundEff_GetAlphabetJelly,물방울젤리B,12000,ch36_jelly_b.png,,1,1,2001,,0,,,,,0,,10,100,1,,,,4238
,,,,1512,1510,1506,,,,,,,SoundEff_GetAlphabetJelly,물방울젤리O,12000,ch36_jelly_o.png,,1,1,2001,,1,,,,,0,,10,100,1,,,,4239
,,,,1512,1510,1506,,,,,,,SoundEff_GetAlphabetJelly,물방울젤리N,12000,ch36_jelly_n.png,,1,1,2001,,2,,,,,0,,10,100,1,,,,4240
,,,,1512,1510,1506,,,,,,,SoundEff_GetAlphabetJelly,물방울젤리U,12000,ch36_jelly_u.png,,1,1,2001,,3,,,,,0,,10,100,1,,,,4241
,,,,1512,1510,1506,,,,,,,SoundEff_GetAlphabetJelly,물방울젤리S,12000,ch36_jelly_s.png,,1,1,2001,,4,,,,,0,,10,100,1,,,,4242
,,,,1512,1510,1506,,,,,,,SoundEff_GetAlphabetJelly,물방울젤리T,12000,ch36_jelly_t.png,,1,1,2001,,5,,,,,0,,10,100,1,,,,4243
,,,,1512,1510,1506,,,,,,,SoundEff_GetAlphabetJelly,물방울젤리I,12000,ch36_jelly_i.png,,1,1,2001,,6,,,,,0,,10,100,1,,,,4244
,,,,1512,1510,1506,,,,,,,SoundEff_GetAlphabetJelly,물방울젤리M,12000,ch36_jelly_m.png,,1,1,2001,,7,,,,,0,,10,100,1,,,,4245
,,,,1512,1510,1506,,,,,,,SoundEff_GetAlphabetJelly,물방울젤리E,12000,ch36_jelly_e.png,,1,1,2001,,8,,,,,0,,10,100,1,,,,4246
,,,,1512,1510,,,,,,,,SoundEff_GetAlphabetJelly,빈 물방울젤리,10000,ch36_jelly_xx.png,,1,1,2001,,,,,,,0,,10,100,,,,,4247
,,,,1512,1510,,,,,ch37_jelly0,ch37_jelly_aniinfo.plist,,SoundEff_GetBearJelly,CheeseCakeMagicJelly,5000,,,1,2,2001,,,,,,,0,치즈케이크 능력 발동에 필요한 젤리,10,500,,,,,4248
50,-15,-25,30,1512,,,,,,jelly_big0,jelly_big_aniinfo.plist,&,SoundEff_GetBigBearJelly,KingBearBean1_날개없이위아래로,5000,,,1,2,501,,,,,,머리,0,그림패턴용 왕곰젤리. 위아래로만 움직이며 머리가 까딱거리는 효과 의도,10,,,,,,4249
,,,,1505,,,,,,pet47_jelly0,pet47_jelly_aniinfo.plist,,SoundEff_GetBigCoinJelly,CheeseCakeCoin,780,,,0,2,,,,,,,,0,,20,,,,,,4250
,,,,1501,1531,,,,,pet50_jelly10,pet50_jelly1_aniinfo.plist,,SoundEff_ObstacleSoda,SodaLifeJelly,1000,,,0,1,,,,,,,,0,,10,4000,,,,,4251
,,,,1533,1528,,,,,,,,SoundEff_GetAlphabetJelly,SodaJelly,500,pet50_jelly2.png,,0,1,,30,,,,,,0,,500,100,,,,,4252
50,-15,-25,30,1518,1501,,,,,,,,SoundEff_GetBearJelly,JavelinHeart,30000,ch40_jelly_2.png,,1,7,,,,,,,,0,,1,10,,,,,4253
50,-15,-25,30,1518,,,,,,,,,SoundEff_GetBearJelly,JavelinBear,30000,ch40_jelly_1.png,,1,7,,,,,,,,0,,1,,,,,,4254
50,-15,-25,30,1518,,,,,,,,,SoundEff_GetBearJelly,JavelinNormal,30000,ch40_jelly_3.png,,1,,,,,,,,,0,,1,,,,,,4255
,,,,1511,,,,,,goldcandy0,goldcandy_aniinfo.plist, ,SoundEff_GetBigCoinJelly,HollweenCandy,1000,,,0,2,104,,,,,, ,0,,1,,,,,,4501
,,,,1514,1523,,,,,,,V,SoundEff_GetJelly,IceBallMaker,0,ch21_jelly3.png,,1,0,2000,6,,,,,V,1,아이스볼 장애물을 맵툴에서 원하는 위치에  배치할 수 있도록 하기 위한 맵툴용 젤리,6026,6035,,,,,4601
,,,,1520,1512,1510,1518,,,,,,SoundEff_GetAlphabetJelly,AlphabetCard,3000,event_jelly_0.png,,1,1,,2000,,,,,,0,알파벳 카드 이벤트용 젤리.,12,50,850,1500,,,4701
