comment,episode_seq,medal_count,min_percentage,min_ranking,min_score,rating_seq,type,_key
새싹 1,1,35,,,1,1,ABSOLUTE_SCORE,2
영웅 4,1,89,7,,,19,RELATIVE,20
영웅 5,1,92,6,,,20,RELATIVE,21
초인 1,1,95,5,,,21,RELATIVE,22
초인 2,1,98,4,,,22,RELATIVE,23
초인 3,1,101,3,,,23,RELATIVE,24
초인 4,1,104,2,,,24,RELATIVE,25
초인 5,1,107,1.5,,,25,RELATIVE,26
제왕 1,1,110,1,,,26,RELATIVE,27
제왕 2,1,114,0.8,,,27,RELATIVE,28
제왕 3,1,118,0.6,,,28,RELATIVE,29
새싹 2,1,39,,,"1,000,000",2,ABSOLUTE_SCORE,3
제왕 4,1,122,0.4,,,29,RELATIVE,30
제왕 5,1,126,0.2,,,30,RELATIVE,31
전설 1,1,130,0.1,,,31,RELATIVE,32
전설 2,1,134,0.05,,,32,RELATIVE,33
전설 3,1,138,,200,,33,ABSOLUTE_RANKING,34
전설 4,1,142,,100,,34,ABSOLUTE_RANKING,35
전설 5,1,146,,50,,35,ABSOLUTE_RANKING,36
신,1,150,,12,,36,ABSOLUTE_RANKING,37
-,2,0,,,0,0,ABSOLUTE_SCORE,38
새싹 1,2,35,,,1,1,ABSOLUTE_SCORE,39
새싹 3,1,43,,,"2,000,000",3,ABSOLUTE_SCORE,4
새싹 2,2,39,,,"1,000,000",2,ABSOLUTE_SCORE,40
새싹 3,2,43,,,"2,000,000",3,ABSOLUTE_SCORE,41
새싹 4,2,47,,,"3,000,000",4,ABSOLUTE_SCORE,42
새싹 5,2,51,,,"5,000,000",5,ABSOLUTE_SCORE,43
중수 1,2,55,,,"8,000,000",6,ABSOLUTE_SCORE,44
중수 2,2,58,,,"10,000,000",7,ABSOLUTE_SCORE,45
중수 3,2,61,,,"15,000,000",8,ABSOLUTE_SCORE,46
중수 4,2,64,,,"20,000,000",9,ABSOLUTE_SCORE,47
중수 5,2,67,,,"25,000,000",10,ABSOLUTE_SCORE,48
고수 1,2,70,,,"30,000,000",11,ABSOLUTE_SCORE,49
새싹 4,1,47,,,"3,000,000",4,ABSOLUTE_SCORE,5
고수 2,2,72,,,"35,000,000",12,ABSOLUTE_SCORE,50
고수 3,2,74,,,"40,000,000",13,ABSOLUTE_SCORE,51
고수 4,2,76,,,"50,000,000",14,ABSOLUTE_SCORE,52
고수 5,2,77,,,"60,000,000",15,ABSOLUTE_SCORE,53
영웅 1,2,80,10,,,16,RELATIVE,54
영웅 2,2,83,9,,,17,RELATIVE,55
영웅 3,2,86,8,,,18,RELATIVE,56
영웅 4,2,89,7,,,19,RELATIVE,57
영웅 5,2,92,6,,,20,RELATIVE,58
초인 1,2,95,5,,,21,RELATIVE,59
새싹 5,1,51,,,"4,000,000",5,ABSOLUTE_SCORE,6
초인 2,2,98,4,,,22,RELATIVE,60
초인 3,2,101,3,,,23,RELATIVE,61
초인 4,2,104,2,,,24,RELATIVE,62
초인 5,2,107,1.5,,,25,RELATIVE,63
제왕 1,2,110,1,,,26,RELATIVE,64
제왕 2,2,114,0.8,,,27,RELATIVE,65
제왕 3,2,118,0.6,,,28,RELATIVE,66
제왕 4,2,122,0.4,,,29,RELATIVE,67
제왕 5,2,126,0.2,,,30,RELATIVE,68
전설 1,2,130,0.1,,,31,RELATIVE,69
중수 1,1,55,,,"5,000,000",6,ABSOLUTE_SCORE,7
전설 2,2,134,0.05,,,32,RELATIVE,70
전설 3,2,138,,200,,33,ABSOLUTE_RANKING,71
전설 4,2,142,,100,,34,ABSOLUTE_RANKING,72
전설 5,2,146,,50,,35,ABSOLUTE_RANKING,73
신,2,150,,12,,36,ABSOLUTE_RANKING,74
-,3,0,,,0,0,ABSOLUTE_SCORE,75
새싹 1,3,35,,,1,1,ABSOLUTE_SCORE,76
새싹 2,3,39,,,"2,000,000",2,ABSOLUTE_SCORE,77
새싹 3,3,43,,,"4,000,000",3,ABSOLUTE_SCORE,78
새싹 4,3,47,,,"7,000,000",4,ABSOLUTE_SCORE,79
중수 2,1,58,,,"7,000,000",7,ABSOLUTE_SCORE,8
새싹 5,3,51,,,"10,000,000",5,ABSOLUTE_SCORE,80
중수 1,3,55,,,"15,000,000",6,ABSOLUTE_SCORE,81
중수 2,3,58,,,"20,000,000",7,ABSOLUTE_SCORE,82
중수 3,3,61,,,"25,000,000",8,ABSOLUTE_SCORE,83
중수 4,3,64,,,"30,000,000",9,ABSOLUTE_SCORE,84
중수 5,3,67,,,"35,000,000",10,ABSOLUTE_SCORE,85
고수 1,3,70,,,"40,000,000",11,ABSOLUTE_SCORE,86
고수 2,3,72,,,"45,000,000",12,ABSOLUTE_SCORE,87
고수 3,3,74,,,"50,000,000",13,ABSOLUTE_SCORE,88
고수 4,3,76,,,"55,000,000",14,ABSOLUTE_SCORE,89
중수 3,1,61,,,"10,000,000",8,ABSOLUTE_SCORE,9
고수 5,3,77,,,"60,000,000",15,ABSOLUTE_SCORE,90
영웅 1,3,80,10,,,16,RELATIVE,91
영웅 2,3,83,9,,,17,RELATIVE,92
영웅 3,3,86,8,,,18,RELATIVE,93
영웅 4,3,89,7,,,19,RELATIVE,94
영웅 5,3,92,6,,,20,RELATIVE,95
초인 1,3,95,5,,,21,RELATIVE,96
초인 2,3,98,4,,,22,RELATIVE,97
초인 3,3,101,3,,,23,RELATIVE,98
초인 4,3,104,2,,,24,RELATIVE,99
