group_seq,prob_group,_key
1101100,A,112
1302000,B,1120
1302000,B,1121
1302000,B,1122
1302100,B,1123
1302100,B,1124
1302100,B,1125
1302100,B,1126
1302100,B,1127
1302100,B,1128
1302100,B,1129
1101100,A,113
1302100,B,1130
1302100,B,1131
1302100,B,1132
1302100,B,1133
1302200,B,1134
1302200,B,1135
1302200,B,1136
1302200,B,1137
1302200,B,1138
1302200,B,1139
1101100,A,114
1302200,B,1140
1302200,B,1141
1302200,B,1142
1302200,B,1143
1302200,B,1144
1302300,B,1145
1302300,B,1146
1302300,B,1147
1302300,B,1148
1302300,B,1149
1101100,A,115
1302300,B,1150
1302300,B,1151
1302300,B,1152
1302300,B,1153
1302300,B,1154
1302300,B,1155
1302400,B,1156
1302400,B,1157
1302400,B,1158
1302400,B,1159
1101100,A,116
1302400,B,1160
1302400,B,1161
1302400,B,1162
1302400,B,1163
1302400,B,1164
1302400,B,1165
1302400,B,1166
1302500,B,1167
1302500,B,1168
1302500,B,1169
1101100,A,117
1302500,B,1170
1302500,B,1171
1302500,B,1172
1302500,B,1173
1302500,B,1174
1302500,B,1175
1302500,B,1176
1302500,B,1177
1302600,B,1178
1302600,B,1179
1101100,A,118
1302600,B,1180
1302600,B,1181
1302600,B,1182
1302600,B,1183
1302600,B,1184
1302600,B,1185
1302600,B,1186
1302600,B,1187
1302600,B,1188
1302700,B,1189
1101100,A,119
1302700,B,1190
1302700,B,1191
1302700,B,1192
1302700,B,1193
1302700,B,1194
1302700,B,1195
1302700,B,1196
1302700,B,1197
1302700,B,1198
1302700,B,1199
1100200,B,12
1101100,A,120
1302800,B,1200
1302800,B,1201
1302800,B,1202
1302800,B,1203
1302800,B,1204
1302800,B,1205
1302800,B,1206
1302800,B,1207
1302800,B,1208
1302800,B,1209
1101100,A,121
1302800,B,1210
1302900,C,1211
1302900,C,1212
1302900,C,1213
1302900,C,1214
1302900,C,1215
1302900,C,1216
1302900,C,1217
1302900,C,1218
1302900,C,1219
1101200,S,122
1302900,C,1220
1302900,C,1221
1303000,C,1222
1303000,C,1223
1303000,C,1224
1303000,C,1225
1303000,C,1226
1303000,C,1227
1303000,C,1228
1303000,C,1229
1101200,S,123
1303000,C,1230
1303000,C,1231
1303000,C,1232
1303100,C,1233
1303100,C,1234
1303100,C,1235
1303100,C,1236
1303100,C,1237
1303100,C,1238
1303100,C,1239
1101200,S,124
1303100,C,1240
1303100,C,1241
1303100,C,1242
1303100,C,1243
1303200,C,1244
1303200,C,1245
1303200,C,1246
1303200,C,1247
1303200,C,1248
1303200,C,1249
1101200,S,125
1303200,C,1250
1303200,C,1251
1303200,C,1252
1303200,C,1253
1303200,C,1254
1303300,C,1255
1303300,C,1256
1303300,C,1257
1303300,C,1258
1303300,C,1259
1101200,S,126
1303300,C,1260
1303300,C,1261
1303300,C,1262
1303300,C,1263
1303300,C,1264
1303300,C,1265
1303400,C,1266
1303400,C,1267
1303400,C,1268
1303400,C,1269
1101200,S,127
1303400,C,1270
1303400,C,1271
1303400,C,1272
1303400,C,1273
1303400,C,1274
1303400,C,1275
1303400,C,1276
1303500,C,1277
1303500,C,1278
1303500,C,1279
1101200,S,128
1303500,C,1280
1303500,C,1281
1303500,C,1282
1303500,C,1283
1303500,C,1284
1303500,C,1285
1303500,C,1286
1303500,C,1287
1303600,C,1288
1303600,C,1289
1101200,S,129
1303600,C,1290
1303600,C,1291
1303600,C,1292
1303600,C,1293
1303600,C,1294
1303600,C,1295
1303600,C,1296
1303600,C,1297
1303600,C,1298
1303700,C,1299
1100200,B,13
1101200,S,130
1303700,C,1300
1303700,C,1301
1303700,C,1302
1303700,C,1303
1303700,C,1304
1303700,C,1305
1303700,C,1306
1303700,C,1307
1303700,C,1308
1303700,C,1309
1101200,S,131
1303800,C,1310
1303800,C,1311
1303800,C,1312
1303800,C,1313
1303800,C,1314
1303800,C,1315
1303800,C,1316
1303800,C,1317
1303800,C,1318
1303800,C,1319
1101200,S,132
1303800,C,1320
1303900,C,1321
1303900,C,1322
1303900,C,1323
1303900,C,1324
1303900,C,1325
1303900,C,1326
1303900,C,1327
1303900,C,1328
1303900,C,1329
1101300,A,133
1303900,C,1330
1303900,C,1331
1304000,C,1332
1304000,C,1333
1304000,C,1334
1304000,C,1335
1304000,C,1336
1304000,C,1337
1304000,C,1338
1304000,C,1339
1101300,A,134
1304000,C,1340
1304000,C,1341
1304000,C,1342
1304100,C,1343
1304100,C,1344
1304100,C,1345
1304100,C,1346
1304100,C,1347
1304100,C,1348
1304100,C,1349
1101300,A,135
1304100,C,1350
1304100,C,1351
1304100,C,1352
1304100,C,1353
1304200,S,1354
1304200,S,1355
1304200,S,1356
1304200,S,1357
1304200,S,1358
1304200,S,1359
1101300,A,136
1304200,S,1360
1304200,S,1361
1304200,S,1362
1304200,S,1363
1304200,S,1364
1304300,S,1365
1304300,S,1366
1304300,S,1367
1304300,S,1368
1304300,S,1369
1101300,A,137
1304300,S,1370
1304300,S,1371
1304300,S,1372
1304300,S,1373
1304300,S,1374
1304300,S,1375
1304400,S,1376
1304400,S,1377
1304400,S,1378
1304400,S,1379
1101300,A,138
1304400,S,1380
1304400,S,1381
1304400,S,1382
1304400,S,1383
1304400,S,1384
1304400,S,1385
1304400,S,1386
1304500,A,1387
1304500,A,1388
1304500,A,1389
1101300,A,139
1304500,A,1390
1304500,A,1391
1304500,A,1392
1304500,A,1393
1304500,A,1394
1304500,A,1395
1304500,A,1396
1304500,A,1397
1304600,A,1398
1304600,A,1399
1100200,B,14
1101300,A,140
1304600,A,1400
1304600,A,1401
1304600,A,1402
1304600,A,1403
1304600,A,1404
1304600,A,1405
1304600,A,1406
1304600,A,1407
1304600,A,1408
1304700,A,1409
1101300,A,141
1304700,A,1410
1304700,A,1411
1304700,A,1412
1304700,A,1413
1304700,A,1414
1304700,A,1415
1304700,A,1416
1304700,A,1417
1304700,A,1418
1304700,A,1419
1101300,A,142
1304800,A,1420
1304800,A,1421
1304800,A,1422
1304800,A,1423
1304800,A,1424
1304800,A,1425
1304800,A,1426
1304800,A,1427
1304800,A,1428
1304800,A,1429
1101300,A,143
1304800,A,1430
1304900,A,1431
1304900,A,1432
1304900,A,1433
1304900,A,1434
1304900,A,1435
1304900,A,1436
1304900,A,1437
1304900,A,1438
1304900,A,1439
1101400,B,144
1304900,A,1440
1304900,A,1441
1305000,A,1442
1305000,A,1443
1305000,A,1444
1305000,A,1445
1305000,A,1446
1305000,A,1447
1305000,A,1448
1305000,A,1449
1101400,B,145
1305000,A,1450
1305000,A,1451
1305000,A,1452
1305100,S,1453
1305100,S,1454
1305100,S,1455
1305100,S,1456
1305100,S,1457
1305100,S,1458
1305100,S,1459
1101400,B,146
1305100,S,1460
1305100,S,1461
1305100,S,1462
1305100,S,1463
1305200,S,1464
1305200,S,1465
1305200,S,1466
1305200,S,1467
1305200,S,1468
1305200,S,1469
1101400,B,147
1305200,S,1470
1305200,S,1471
1305200,S,1472
1305200,S,1473
1305200,S,1474
1305300,S,1475
1305300,S,1476
1305300,S,1477
1305300,S,1478
1305300,S,1479
1101400,B,148
1305300,S,1480
1305300,S,1481
1305300,S,1482
1305300,S,1483
1305300,S,1484
1305300,S,1485
1305400,S,1486
1305400,S,1487
1305400,S,1488
1305400,S,1489
1101400,B,149
1305400,S,1490
1305400,S,1491
1305400,S,1492
1305400,S,1493
1305400,S,1494
1305400,S,1495
1305400,S,1496
1305500,S,1497
1305500,S,1498
1305500,S,1499
1100200,B,15
1101400,B,150
1305500,S,1500
1305500,S,1501
1305500,S,1502
1305500,S,1503
1305500,S,1504
1305500,S,1505
1305500,S,1506
1305500,S,1507
1305600,S,1508
1305600,S,1509
1101400,B,151
1305600,S,1510
1305600,S,1511
1305600,S,1512
1305600,S,1513
1305600,S,1514
1305600,S,1515
1305600,S,1516
1305600,S,1517
1305600,S,1518
1305700,S,1519
1101400,B,152
1305700,S,1520
1305700,S,1521
1305700,S,1522
1305700,S,1523
1305700,S,1524
1305700,S,1525
1305700,S,1526
1305700,S,1527
1305700,S,1528
1305700,S,1529
1101400,B,153
1305800,S,1530
1305800,S,1531
1305800,S,1532
1305800,S,1533
1305800,S,1534
1305800,S,1535
1305800,S,1536
1305800,S,1537
1305800,S,1538
1305800,S,1539
1101400,B,154
1305800,S,1540
1305900,S,1541
1305900,S,1542
1305900,S,1543
1305900,S,1544
1305900,S,1545
1305900,S,1546
1305900,S,1547
1305900,S,1548
1305900,S,1549
1101500,A,155
1305900,S,1550
1305900,S,1551
1306000,S,1552
1306000,S,1553
1306000,S,1554
1306000,S,1555
1306000,S,1556
1306000,S,1557
1306000,S,1558
1306000,S,1559
1101500,A,156
1306000,S,1560
1306000,S,1561
1306000,S,1562
1306100,S,1563
1306100,S,1564
1306100,S,1565
1306100,S,1566
1306100,S,1567
1306100,S,1568
1306100,S,1569
1101500,A,157
1306100,S,1570
1306100,S,1571
1306100,S,1572
1306100,S,1573
1306200,S,1574
1306200,S,1575
1306200,S,1576
1306200,S,1577
1306200,S,1578
1306200,S,1579
1101500,A,158
1306200,S,1580
1306200,S,1581
1306200,S,1582
1306200,S,1583
1306200,S,1584
1306300,S,1585
1306300,S,1586
1306300,S,1587
1306300,S,1588
1306300,S,1589
1101500,A,159
1306300,S,1590
1306300,S,1591
1306300,S,1592
1306300,S,1593
1306300,S,1594
1306300,S,1595
1306400,S,1596
1306400,S,1597
1306400,S,1598
1306400,S,1599
1100200,B,16
1101500,A,160
1306400,S,1600
1306400,S,1601
1306400,S,1602
1306400,S,1603
1306400,S,1604
1306400,S,1605
1306400,S,1606
1306500,S,1607
1306500,S,1608
1306500,S,1609
1101500,A,161
1306500,S,1610
1306500,S,1611
1306500,S,1612
1306500,S,1613
1306500,S,1614
1306500,S,1615
1306500,S,1616
1306500,S,1617
1306600,S,1618
1306600,S,1619
1101500,A,162
1306600,S,1620
1306600,S,1621
1306600,S,1622
1306600,S,1623
1306600,S,1624
1306600,S,1625
1306600,S,1626
1306600,S,1627
1306600,S,1628
1306700,S,1629
1101500,A,163
1306700,S,1630
1306700,S,1631
1306700,S,1632
1306700,S,1633
1306700,S,1634
1306700,S,1635
1306700,S,1636
1306700,S,1637
1306700,S,1638
1306700,S,1639
1101500,A,164
1306800,S,1640
1306800,S,1641
1306800,S,1642
1306800,S,1643
1306800,S,1644
1306800,S,1645
1306800,S,1646
1306800,S,1647
1306800,S,1648
1306800,S,1649
1101500,A,165
1306800,S,1650
1306900,S,1651
1306900,S,1652
1306900,S,1653
1306900,S,1654
1306900,S,1655
1306900,S,1656
1306900,S,1657
1306900,S,1658
1306900,S,1659
1101600,S,166
1306900,S,1660
1306900,S,1661
1307000,S,1662
1307000,S,1663
1307000,S,1664
1307000,S,1665
1307000,S,1666
1307000,S,1667
1307000,S,1668
1307000,S,1669
1101600,S,167
1307000,S,1670
1307000,S,1671
1307000,S,1672
1307100,S,1673
1307100,S,1674
1307100,S,1675
1307100,S,1676
1307100,S,1677
1307100,S,1678
1307100,S,1679
1101600,S,168
1307100,S,1680
1307100,S,1681
1307100,S,1682
1307100,S,1683
1307200,S,1684
1307200,S,1685
1307200,S,1686
1307200,S,1687
1307200,S,1688
1307200,S,1689
1101600,S,169
1307200,S,1690
1307200,S,1691
1307200,S,1692
1307200,S,1693
1307200,S,1694
1307300,S,1695
1307300,S,1696
1307300,S,1697
1307300,S,1698
1307300,S,1699
1100200,B,17
1101600,S,170
1307300,S,1700
1307300,S,1701
1307300,S,1702
1307300,S,1703
1307300,S,1704
1307300,S,1705
1307400,S,1706
1307400,S,1707
1307400,S,1708
1307400,S,1709
1101600,S,171
1307400,S,1710
1307400,S,1711
1307400,S,1712
1307400,S,1713
1307400,S,1714
1307400,S,1715
1307400,S,1716
1307500,S,1717
1307500,S,1718
1307500,S,1719
1101600,S,172
1307500,S,1720
1307500,S,1721
1307500,S,1722
1307500,S,1723
1307500,S,1724
1307500,S,1725
1307500,S,1726
1307500,S,1727
1307600,S,1728
1307600,S,1729
1101600,S,173
1307600,S,1730
1307600,S,1731
1307600,S,1732
1307600,S,1733
1307600,S,1734
1307600,S,1735
1307600,S,1736
1307600,S,1737
1307600,S,1738
1307700,S,1739
1101600,S,174
1307700,S,1740
1307700,S,1741
1307700,S,1742
1307700,S,1743
1307700,S,1744
1307700,S,1745
1307700,S,1746
1307700,S,1747
1307700,S,1748
1307700,S,1749
1101600,S,175
1307800,S,1750
1307800,S,1751
1307800,S,1752
1307800,S,1753
1307800,S,1754
1307800,S,1755
1307800,S,1756
1307800,S,1757
1307800,S,1758
1307800,S,1759
1101600,S,176
1307800,S,1760
1307900,S,1761
1307900,S,1762
1307900,S,1763
1307900,S,1764
1307900,S,1765
1307900,S,1766
1307900,S,1767
1307900,S,1768
1307900,S,1769
1101700,A,177
1307900,S,1770
1307900,S,1771
1308000,S,1772
1308000,S,1773
1308000,S,1774
1308000,S,1775
1308000,S,1776
1308000,S,1777
1308000,S,1778
1308000,S,1779
1101700,A,178
1308000,S,1780
1308000,S,1781
1308000,S,1782
1308100,S,1783
1308100,S,1784
1308100,S,1785
1308100,S,1786
1308100,S,1787
1308100,S,1788
1308100,S,1789
1101700,A,179
1308100,S,1790
1308100,S,1791
1308100,S,1792
1308100,S,1793
1308200,S,1794
1308200,S,1795
1308200,S,1796
1308200,S,1797
1308200,S,1798
1308200,S,1799
1100200,B,18
1101700,A,180
1308200,S,1800
1308200,S,1801
1308200,S,1802
1308200,S,1803
1308200,S,1804
1308300,S,1805
1308300,S,1806
1308300,S,1807
1308300,S,1808
1308300,S,1809
1101700,A,181
1308300,S,1810
1308300,S,1811
1308300,S,1812
1308300,S,1813
1308300,S,1814
1308300,S,1815
1308400,S,1816
1308400,S,1817
1308400,S,1818
1308400,S,1819
1101700,A,182
1308400,S,1820
1308400,S,1821
1308400,S,1822
1308400,S,1823
1308400,S,1824
1308400,S,1825
1308400,S,1826
1308500,S,1827
1308500,S,1828
1308500,S,1829
1101700,A,183
1308500,S,1830
1308500,S,1831
1308500,S,1832
1308500,S,1833
1308500,S,1834
1308500,S,1835
1308500,S,1836
1308500,S,1837
1308600,A,1838
1308600,A,1839
1101700,A,184
1308600,A,1840
1308600,A,1841
1308600,A,1842
1308600,A,1843
1308600,A,1844
1308600,A,1845
1308600,A,1846
1308600,A,1847
1308600,A,1848
1308700,A,1849
1101700,A,185
1308700,A,1850
1308700,A,1851
1308700,A,1852
1308700,A,1853
1308700,A,1854
1308700,A,1855
1308700,A,1856
1308700,A,1857
1308700,A,1858
1308700,A,1859
1101700,A,186
1308800,A,1860
1308800,A,1861
1308800,A,1862
1308800,A,1863
1308800,A,1864
1308800,A,1865
1308800,A,1866
1308800,A,1867
1308800,A,1868
1308800,A,1869
1101700,A,187
1308800,A,1870
1308900,A,1871
1308900,A,1872
1308900,A,1873
1308900,A,1874
1308900,A,1875
1308900,A,1876
1308900,A,1877
1308900,A,1878
1308900,A,1879
1101800,S,188
1308900,A,1880
1308900,A,1881
1309000,A,1882
1309000,A,1883
1309000,A,1884
1309000,A,1885
1309000,A,1886
1309000,A,1887
1309000,A,1888
1309000,A,1889
1101800,S,189
1309000,A,1890
1309000,A,1891
1309000,A,1892
1500100,B,1893
1500100,B,1894
1500100,B,1895
1500100,B,1896
1500100,B,1897
1500100,B,1898
1500100,B,1899
1100200,B,19
1101800,S,190
1500100,B,1900
1500100,B,1901
1500100,B,1902
1500100,B,1903
1500200,B,1904
1500200,B,1905
1500200,B,1906
1500200,B,1907
1500200,B,1908
1500200,B,1909
1101800,S,191
1500200,B,1910
1500200,B,1911
1500200,B,1912
1500200,B,1913
1500200,B,1914
1500300,B,1915
1500300,B,1916
1500300,B,1917
1500300,B,1918
1500300,B,1919
1101800,S,192
1500300,B,1920
1500300,B,1921
1500300,B,1922
1500300,B,1923
1500300,B,1924
1500300,B,1925
1500400,S,1926
1500400,S,1927
1500400,S,1928
1500400,S,1929
1101800,S,193
1500400,S,1930
1500400,S,1931
1500400,S,1932
1500400,S,1933
1500400,S,1934
1500400,S,1935
1500400,S,1936
1500500,S,1937
1500500,S,1938
1500500,S,1939
1101800,S,194
1500500,S,1940
1500500,S,1941
1500500,S,1942
1500500,S,1943
1500500,S,1944
1500500,S,1945
1500500,S,1946
1500500,S,1947
1500600,A,1948
1500600,A,1949
1101800,S,195
1500600,A,1950
1500600,A,1951
1500600,A,1952
1500600,A,1953
1500600,A,1954
1500600,A,1955
1500600,A,1956
1500600,A,1957
1500600,A,1958
1500700,A,1959
1101800,S,196
1500700,A,1960
1500700,A,1961
1500700,A,1962
1500700,A,1963
1500700,A,1964
1500700,A,1965
1500700,A,1966
1500700,A,1967
1500700,A,1968
1500700,A,1969
1101800,S,197
1500800,A,1970
1500800,A,1971
1500800,A,1972
1500800,A,1973
1500800,A,1974
1500800,A,1975
1500800,A,1976
1500800,A,1977
1500800,A,1978
1500800,A,1979
1101800,S,198
1500800,A,1980
1500900,A,1981
1500900,A,1982
1500900,A,1983
1500900,A,1984
1500900,A,1985
1500900,A,1986
1500900,A,1987
1500900,A,1988
1500900,A,1989
1101900,S,199
1500900,A,1990
1500900,A,1991
1501000,E,1992
1501000,E,1993
1501000,E,1994
1501000,E,1995
1501000,E,1996
1501000,E,1997
1501000,E,1998
1501000,E,1999
1100100,C,2
1100200,B,20
1101900,S,200
1501000,E,2000
1501000,E,2001
1501000,E,2002
1501100,A,2003
1501100,A,2004
1501100,A,2005
1501100,A,2006
1501100,A,2007
1501100,A,2008
1501100,A,2009
1101900,S,201
1501100,A,2010
1501100,A,2011
1501100,A,2012
1501100,A,2013
1501200,S,2014
1501200,S,2015
1501200,S,2016
1501200,S,2017
1501200,S,2018
1501200,S,2019
1101900,S,202
1501200,S,2020
1501200,S,2021
1501200,S,2022
1501200,S,2023
1501200,S,2024
1501300,S,2025
1501300,S,2026
1501300,S,2027
1501300,S,2028
1501300,S,2029
1101900,S,203
1501300,S,2030
1501300,S,2031
1501300,S,2032
1501300,S,2033
1501300,S,2034
1501300,S,2035
1501400,A,2036
1501400,A,2037
1501400,A,2038
1501400,A,2039
1101900,S,204
1501400,A,2040
1501400,A,2041
1501400,A,2042
1501400,A,2043
1501400,A,2044
1501400,A,2045
1501400,A,2046
1501500,E,2047
1501500,E,2048
1501500,E,2049
1101900,S,205
1501500,E,2050
1501500,E,2051
1501500,E,2052
1501500,E,2053
1501500,E,2054
1501500,E,2055
1501500,E,2056
1501500,E,2057
1101900,S,206
1101900,S,207
1101900,S,208
1101900,S,209
1100200,B,21
1102000,S,210
1102000,S,211
1102000,S,212
1102000,S,213
1102000,S,214
1102000,S,215
1102000,S,216
1102000,S,217
1102000,S,218
1102000,S,219
1100200,B,22
1102000,S,220
1102100,S,221
1102100,S,222
1102100,S,223
1102100,S,224
1102100,S,225
1102100,S,226
1102100,S,227
1102100,S,228
1102100,S,229
1100300,C,23
1102100,S,230
1102100,S,231
1102200,S,232
1102200,S,233
1102200,S,234
1102200,S,235
1102200,S,236
1102200,S,237
1102200,S,238
1102200,S,239
1100300,C,24
1102200,S,240
1102200,S,241
1102200,S,242
1102300,S,243
1102300,S,244
1102300,S,245
1102300,S,246
1102300,S,247
1102300,S,248
1102300,S,249
1100300,C,25
1102300,S,250
1102300,S,251
1102300,S,252
1102300,S,253
1102400,S,254
1102400,S,255
1102400,S,256
1102400,S,257
1102400,S,258
1102400,S,259
1100300,C,26
1102400,S,260
1102400,S,261
1102400,S,262
1102400,S,263
1102400,S,264
1102500,S,265
1102500,S,266
1102500,S,267
1102500,S,268
1102500,S,269
1100300,C,27
1102500,S,270
1102500,S,271
1102500,S,272
1102500,S,273
1102500,S,274
1102500,S,275
1102600,S,276
1102600,S,277
1102600,S,278
1102600,S,279
1100300,C,28
1102600,S,280
1102600,S,281
1102600,S,282
1102600,S,283
1102600,S,284
1102600,S,285
1102600,S,286
1102700,S,287
1102700,S,288
1102700,S,289
1100300,C,29
1102700,S,290
1102700,S,291
1102700,S,292
1102700,S,293
1102700,S,294
1102700,S,295
1102700,S,296
1102700,S,297
1102800,S,298
1102800,S,299
1100100,C,3
1100300,C,30
1102800,S,300
1102800,S,301
1102800,S,302
1102800,S,303
1102800,S,304
1102800,S,305
1102800,S,306
1102800,S,307
1102800,S,308
1102900,S,309
1100300,C,31
1102900,S,310
1102900,S,311
1102900,S,312
1102900,S,313
1102900,S,314
1102900,S,315
1102900,S,316
1102900,S,317
1102900,S,318
1102900,S,319
1100300,C,32
1103000,S,320
1103000,S,321
1103000,S,322
1103000,S,323
1103000,S,324
1103000,S,325
1103000,S,326
1103000,S,327
1103000,S,328
1103000,S,329
1100300,C,33
1103000,S,330
1103100,S,331
1103100,S,332
1103100,S,333
1103100,S,334
1103100,S,335
1103100,S,336
1103100,S,337
1103100,S,338
1103100,S,339
1100400,A,34
1103100,S,340
1103100,S,341
1103200,S,342
1103200,S,343
1103200,S,344
1103200,S,345
1103200,S,346
1103200,S,347
1103200,S,348
1103200,S,349
1100400,A,35
1103200,S,350
1103200,S,351
1103200,S,352
1103300,S,353
1103300,S,354
1103300,S,355
1103300,S,356
1103300,S,357
1103300,S,358
1103300,S,359
1100400,A,36
1103300,S,360
1103300,S,361
1103300,S,362
1103300,S,363
1103400,S,364
1103400,S,365
1103400,S,366
1103400,S,367
1103400,S,368
1103400,S,369
1100400,A,37
1103400,S,370
1103400,S,371
1103400,S,372
1103400,S,373
1103400,S,374
1103500,S,375
1103500,S,376
1103500,S,377
1103500,S,378
1103500,S,379
1100400,A,38
1103500,S,380
1103500,S,381
1103500,S,382
1103500,S,383
1103500,S,384
1103500,S,385
1103600,S,386
1103600,S,387
1103600,S,388
1103600,S,389
1100400,A,39
1103600,S,390
1103600,S,391
1103600,S,392
1103600,S,393
1103600,S,394
1103600,S,395
1103600,S,396
1103700,S,397
1103700,S,398
1103700,S,399
1100100,C,4
1100400,A,40
1103700,S,400
1103700,S,401
1103700,S,402
1103700,S,403
1103700,S,404
1103700,S,405
1103700,S,406
1103700,S,407
1200100,C,408
1200100,C,409
1100400,A,41
1200100,C,410
1200100,C,411
1200100,C,412
1200100,C,413
1200100,C,414
1200100,C,415
1200100,C,416
1200100,C,417
1200100,C,418
1200200,C,419
1100400,A,42
1200200,C,420
1200200,C,421
1200200,C,422
1200200,C,423
1200200,C,424
1200200,C,425
1200200,C,426
1200200,C,427
1200200,C,428
1200200,C,429
1100400,A,43
1200300,C,430
1200300,C,431
1200300,C,432
1200300,C,433
1200300,C,434
1200300,C,435
1200300,C,436
1200300,C,437
1200300,C,438
1200300,C,439
1100400,A,44
1200300,C,440
1200400,C,441
1200400,C,442
1200400,C,443
1200400,C,444
1200400,C,445
1200400,C,446
1200400,C,447
1200400,C,448
1200400,C,449
1100500,B,45
1200400,C,450
1200400,C,451
1200500,B,452
1200500,B,453
1200500,B,454
1200500,B,455
1200500,B,456
1200500,B,457
1200500,B,458
1200500,B,459
1100500,B,46
1200500,B,460
1200500,B,461
1200500,B,462
1200600,B,463
1200600,B,464
1200600,B,465
1200600,B,466
1200600,B,467
1200600,B,468
1200600,B,469
1100500,B,47
1200600,B,470
1200600,B,471
1200600,B,472
1200600,B,473
1200700,C,474
1200700,C,475
1200700,C,476
1200700,C,477
1200700,C,478
1200700,C,479
1100500,B,48
1200700,C,480
1200700,C,481
1200700,C,482
1200700,C,483
1200700,C,484
1200800,C,485
1200800,C,486
1200800,C,487
1200800,C,488
1200800,C,489
1100500,B,49
1200800,C,490
1200800,C,491
1200800,C,492
1200800,C,493
1200800,C,494
1200800,C,495
1200900,B,496
1200900,B,497
1200900,B,498
1200900,B,499
1100100,C,5
1100500,B,50
1200900,B,500
1200900,B,501
1200900,B,502
1200900,B,503
1200900,B,504
1200900,B,505
1200900,B,506
1201000,B,507
1201000,B,508
1201000,B,509
1100500,B,51
1201000,B,510
1201000,B,511
1201000,B,512
1201000,B,513
1201000,B,514
1201000,B,515
1201000,B,516
1201000,B,517
1201100,A,518
1201100,A,519
1100500,B,52
1201100,A,520
1201100,A,521
1201100,A,522
1201100,A,523
1201100,A,524
1201100,A,525
1201100,A,526
1201100,A,527
1201100,A,528
1201200,S,529
1100500,B,53
1201200,S,530
1201200,S,531
1201200,S,532
1201200,S,533
1201200,S,534
1201200,S,535
1201200,S,536
1201200,S,537
1201200,S,538
1201200,S,539
1100500,B,54
1201300,S,540
1201300,S,541
1201300,S,542
1201300,S,543
1201300,S,544
1201300,S,545
1201300,S,546
1201300,S,547
1201300,S,548
1201300,S,549
1100500,B,55
1201300,S,550
1201400,B,551
1201400,B,552
1201400,B,553
1201400,B,554
1201400,B,555
1201400,B,556
1201400,B,557
1201400,B,558
1201400,B,559
1100600,B,56
1201400,B,560
1201400,B,561
1201500,A,562
1201500,A,563
1201500,A,564
1201500,A,565
1201500,A,566
1201500,A,567
1201500,A,568
1201500,A,569
1100600,B,57
1201500,A,570
1201500,A,571
1201500,A,572
1201600,S,573
1201600,S,574
1201600,S,575
1201600,S,576
1201600,S,577
1201600,S,578
1201600,S,579
1100600,B,58
1201600,S,580
1201600,S,581
1201600,S,582
1201600,S,583
1201700,A,584
1201700,A,585
1201700,A,586
1201700,A,587
1201700,A,588
1201700,A,589
1100600,B,59
1201700,A,590
1201700,A,591
1201700,A,592
1201700,A,593
1201700,A,594
1201800,A,595
1201800,A,596
1201800,A,597
1201800,A,598
1201800,A,599
1100100,C,6
