reward_message,reward_qty,reward_seq,reward_type,staff_event_seq,win_count,_key
"Beat 25 Devsquirrels
2 Golden Doughs",2,80003,S,3,25,143
"Beat 25 Devsquirrels
1 Supreme Treasure Ticket",1,853,S,3,25,144
"Beat 27 Devsquirrels
18 Crystals",18,,G,3,27,145
"Beat 27 Devsquirrels
50,000 Coins",50000,,C,3,27,146
"Beat 27 Devsquirrels
1,000 units Magic Powder",1000,,P,3,27,147
"Beat 27 Devsquirrels
1 Supreme Treasure Ticket",1,853,S,3,27,148
"Beat 30 Devsquirrels
22 Crystals",22,,G,3,30,149
"Beat 14 Devsquirrels
10 Boost Sets",10,2210,S,1,14,15
"Beat 30 Devsquirrels
50,000 Coins",50000,,C,3,30,150
"Beat 30 Devsquirrels
2,000 units Magic Powder",2000,,P,3,30,151
"Beat 30 Devsquirrels
2 Supreme Treasure Tickets",2,853,S,3,30,152
"Beat 32 Devsquirrels
25 Crystals",25,,G,3,32,153
"Beat 32 Devsquirrels
50,000 Coins",50000,,C,3,32,154
"Beat 32 Devsquirrels
3,000 units Magic Powder",3000,,P,3,32,155
"Beat 32 Devsquirrels
2 Supreme Treasure Tickets",2,853,S,3,32,156
"Beat 35 Devsquirrels
28 Crystals",28,,G,3,35,157
"Beat 35 Devsquirrels
50,000 Coins",50000,,C,3,35,158
"Beat 35 Devsquirrels
4,000 units Magic Powder",4000,,P,3,35,159
"Beat 14 Devsquirrels
2 Silver Doughs",2,80002,S,1,14,16
"Beat 35 Devsquirrels
3 Supreme Treasure Tickets",3,853,S,3,35,160
"Beat 37 Devsquirrels
32 Crystals",32,,G,3,37,161
"Beat 37 Devsquirrels
50,000 Coins",50000,,C,3,37,162
"Beat 37 Devsquirrels
1 Rainbow Dough",1,80004,S,3,37,163
"Beat 37 Devsquirrels
3 Supreme Treasure Tickets",3,853,S,3,37,164
"Beat 40 Devsquirrels
40 Crystals",40,,G,3,40,165
"Beat 40 Devsquirrels
50,000 Coins",50000,,C,3,40,166
"Beat 40 Devsquirrels
2 Rainbow Doughs",2,80004,S,3,40,167
"Beat 40 Devsquirrels
5 Supreme Treasure Tickets",5,853,S,3,40,168
"Beat 3 Devsquirrels
2 Crystals",2,,G,4,3,169
"Beat 16 Devsquirrels
10 Crystals",10,,G,1,16,17
"Beat 3 Devsquirrels
10,000 Coins",10000,,C,4,3,170
"Beat 3 Devsquirrels
3 Boost Sets",3,2203,S,4,3,171
"Beat 3 Devsquirrels
1 Brown Dough",1,80001,S,4,3,172
"Beat 6 Devsquirrels
2 Crystals",2,,G,4,6,173
"Beat 6 Devsquirrels
20,000 Coins",20000,,C,4,6,174
"Beat 6 Devsquirrels
5 Boost Sets",5,2205,S,4,6,175
"Beat 6 Devsquirrels
2 Brown Doughs",2,80001,S,4,6,176
"Beat 10 Devsquirrels
6 Crystals",6,,G,4,10,177
"Beat 10 Devsquirrels
30,000 Coins",30000,,C,4,10,178
"Beat 10 Devsquirrels
7 Boost Sets",7,2207,S,4,10,179
"Beat 16 Devsquirrels
50,000 Coins",50000,,C,1,16,18
"Beat 10 Devsquirrels
3 Brown Doughs",3,80001,S,4,10,180
"Beat 14 Devsquirrels
8 Crystals",8,,G,4,14,181
"Beat 14 Devsquirrels
40,000 Coins",40000,,C,4,14,182
"Beat 14 Devsquirrels
10 Boost Sets",10,2210,S,4,14,183
"Beat 14 Devsquirrels
2 Silver Doughs",2,80002,S,4,14,184
"Beat 16 Devsquirrels
10 Crystals",10,,G,4,16,185
"Beat 16 Devsquirrels
50,000 Coins",50000,,C,4,16,186
"Beat 16 Devsquirrels
10 Boost Sets",10,2210,S,4,16,187
"Beat 16 Devsquirrels
3 Silver Doughs",3,80002,S,4,16,188
"Beat 20 Devsquirrels
12 Crystals",12,,G,4,20,189
"Beat 16 Devsquirrels
10 Boost Sets",10,2210,S,1,16,19
"Beat 20 Devsquirrels
50,000 Coins",50000,,C,4,20,190
"Beat 20 Devsquirrels
10 Boost Sets",10,2210,S,4,20,191
"Beat 20 Devsquirrels
1 Supreme Treasure Ticket",1,853,S,4,20,192
"Beat 22 Devsquirrels
14 Crystals",14,,G,4,22,193
"Beat 22 Devsquirrels
50,000 Coins",50000,,C,4,22,194
"Beat 22 Devsquirrels
1 Golden Dough",1,80003,S,4,22,195
"Beat 22 Devsquirrels
1 Supreme Treasure Ticket",1,853,S,4,22,196
"Beat 25 Devsquirrels
16 Crystals",16,,G,4,25,197
"Beat 25 Devsquirrels
50,000 Coins",50000,,C,4,25,198
"Beat 25 Devsquirrels
2 Golden Doughs",2,80003,S,4,25,199
"Beat 3 Devsquirrels
10,000 Coins",10000,,C,1,3,2
"Beat 16 Devsquirrels
3 Silver Doughs",3,80002,S,1,16,20
"Beat 25 Devsquirrels
1 Supreme Treasure Ticket",1,853,S,4,25,200
"Beat 27 Devsquirrels
18 Crystals",18,,G,4,27,201
"Beat 27 Devsquirrels
50,000 Coins",50000,,C,4,27,202
"Beat 27 Devsquirrels
1,000 units Magic Powder",1000,,P,4,27,203
"Beat 27 Devsquirrels
1 Supreme Treasure Ticket",1,853,S,4,27,204
"Beat 30 Devsquirrels
22 Crystals",22,,G,4,30,205
"Beat 30 Devsquirrels
50,000 Coins",50000,,C,4,30,206
"Beat 30 Devsquirrels
2,000 units Magic Powder",2000,,P,4,30,207
"Beat 30 Devsquirrels
2 Supreme Treasure Tickets",2,853,S,4,30,208
"Beat 32 Devsquirrels
25 Crystals",25,,G,4,32,209
"Beat 20 Devsquirrels
12 Crystals",12,,G,1,20,21
"Beat 32 Devsquirrels
50,000 Coins",50000,,C,4,32,210
"Beat 32 Devsquirrels
3,000 units Magic Powder",3000,,P,4,32,211
"Beat 32 Devsquirrels
2 Supreme Treasure Tickets",2,853,S,4,32,212
"Beat 35 Devsquirrels
28 Crystals",28,,G,4,35,213
"Beat 35 Devsquirrels
50,000 Coins",50000,,C,4,35,214
"Beat 35 Devsquirrels
4,000 units Magic Powder",4000,,P,4,35,215
"Beat 35 Devsquirrels
3 Supreme Treasure Tickets",3,853,S,4,35,216
"Beat 37 Devsquirrels
32 Crystals",32,,G,4,37,217
"Beat 37 Devsquirrels
50,000 Coins",50000,,C,4,37,218
"Beat 37 Devsquirrels
1 Rainbow Dough",1,80004,S,4,37,219
"Beat 20 Devsquirrels
50,000 Coins",50000,,C,1,20,22
"Beat 37 Devsquirrels
3 Supreme Treasure Tickets",3,853,S,4,37,220
"Beat 40 Devsquirrels
40 Crystals",40,,G,4,40,221
"Beat 40 Devsquirrels
50,000 Coins",50000,,C,4,40,222
"Beat 40 Devsquirrels
2 Rainbow Doughs",2,80004,S,4,40,223
"Beat 40 Devsquirrels
5 Supreme Treasure Tickets",5,853,S,4,40,224
"Beat 20 Devsquirrels
10 Boost Sets",10,2210,S,1,20,23
"Beat 20 Devsquirrels
1 Supreme Treasure Ticket",1,853,S,1,20,24
"Beat 22 Devsquirrels
14 Crystals",14,,G,1,22,25
"Beat 22 Devsquirrels
50,000 Coins",50000,,C,1,22,26
"Beat 22 Devsquirrels
1 Golden Dough",1,80003,S,1,22,27
"Beat 22 Devsquirrels
1 Supreme Treasure Ticket",1,853,S,1,22,28
"Beat 25 Devsquirrels
16 Crystals",16,,G,1,25,29
"Beat 3 Devsquirrels
3 Boost Sets",3,2203,S,1,3,3
"Beat 25 Devsquirrels
50,000 Coins",50000,,C,1,25,30
"Beat 25 Devsquirrels
2 Golden Doughs",2,80003,S,1,25,31
"Beat 25 Devsquirrels
1 Supreme Treasure Ticket",1,853,S,1,25,32
"Beat 27 Devsquirrels
18 Crystals",18,,G,1,27,33
"Beat 27 Devsquirrels
50,000 Coins",50000,,C,1,27,34
"Beat 27 Devsquirrels
1,000 units Magic Powder",1000,,P,1,27,35
"Beat 27 Devsquirrels
1 Supreme Treasure Ticket",1,853,S,1,27,36
"Beat 30 Devsquirrels
22 Crystals",22,,G,1,30,37
"Beat 30 Devsquirrels
50,000 Coins",50000,,C,1,30,38
"Beat 30 Devsquirrels
2,000 units Magic Powder",2000,,P,1,30,39
"Beat 3 Devsquirrels
1 Brown Dough",1,80001,S,1,3,4
"Beat 30 Devsquirrels
2 Supreme Treasure Tickets",2,853,S,1,30,40
"Beat 32 Devsquirrels
25 Crystals",25,,G,1,32,41
"Beat 32 Devsquirrels
50,000 Coins",50000,,C,1,32,42
"Beat 32 Devsquirrels
3,000 units Magic Powder",3000,,P,1,32,43
"Beat 32 Devsquirrels
2 Supreme Treasure Tickets",2,853,S,1,32,44
"Beat 35 Devsquirrels
28 Crystals",28,,G,1,35,45
"Beat 35 Devsquirrels
50,000 Coins",50000,,C,1,35,46
"Beat 35 Devsquirrels
4,000 units Magic Powder",4000,,P,1,35,47
"Beat 35 Devsquirrels
3 Supreme Treasure Tickets",3,853,S,1,35,48
"Beat 37 Devsquirrels
32 Crystals",32,,G,1,37,49
"Beat 6 Devsquirrels
2 Crystals",2,,G,1,6,5
"Beat 37 Devsquirrels
50,000 Coins",50000,,C,1,37,50
"Beat 37 Devsquirrels
1 Rainbow Dough",1,80004,S,1,37,51
"Beat 37 Devsquirrels
3 Supreme Treasure Tickets",3,853,S,1,37,52
"Beat 40 Devsquirrels
40 Crystals",40,,G,1,40,53
"Beat 40 Devsquirrels
50,000 Coins",50000,,C,1,40,54
"Beat 40 Devsquirrels
2 Rainbow Doughs",2,80004,S,1,40,55
"Beat 40 Devsquirrels
5 Supreme Treasure Tickets",5,853,S,1,40,56
"Beat 3 Devsquirrels
2 Crystals",2,,G,2,3,57
"Beat 3 Devsquirrels
10,000 Coins",10000,,C,2,3,58
"Beat 3 Devsquirrels
3 Boost Sets",3,2203,S,2,3,59
"Beat 6 Devsquirrels
20,000 Coins",20000,,C,1,6,6
"Beat 3 Devsquirrels
1 Brown Dough",1,80001,S,2,3,60
"Beat 6 Devsquirrels
2 Crystals",2,,G,2,6,61
"Beat 6 Devsquirrels
20,000 Coins",20000,,C,2,6,62
"Beat 6 Devsquirrels
5 Boost Sets",5,2205,S,2,6,63
"Beat 6 Devsquirrels
2 Brown Doughs",2,80001,S,2,6,64
"Beat 10 Devsquirrels
6 Crystals",6,,G,2,10,65
"Beat 10 Devsquirrels
30,000 Coins",30000,,C,2,10,66
"Beat 10 Devsquirrels
7 Boost Sets",7,2207,S,2,10,67
"Beat 10 Devsquirrels
3 Brown Doughs",3,80001,S,2,10,68
"Beat 14 Devsquirrels
8 Crystals",8,,G,2,14,69
"Beat 6 Devsquirrels
5 Boost Sets",5,2205,S,1,6,7
"Beat 14 Devsquirrels
40,000 Coins",40000,,C,2,14,70
"Beat 14 Devsquirrels
10 Boost Sets",10,2210,S,2,14,71
"Beat 14 Devsquirrels
2 Silver Doughs",2,80002,S,2,14,72
"Beat 16 Devsquirrels
10 Crystals",10,,G,2,16,73
"Beat 16 Devsquirrels
50,000 Coins",50000,,C,2,16,74
"Beat 16 Devsquirrels
10 Boost Sets",10,2210,S,2,16,75
"Beat 16 Devsquirrels
3 Silver Doughs",3,80002,S,2,16,76
"Beat 20 Devsquirrels
12 Crystals",12,,G,2,20,77
"Beat 20 Devsquirrels
50,000 Coins",50000,,C,2,20,78
"Beat 20 Devsquirrels
10 Boost Sets",10,2210,S,2,20,79
"Beat 6 Devsquirrels
2 Brown Doughs",2,80001,S,1,6,8
"Beat 20 Devsquirrels
1 Supreme Treasure Ticket",1,853,S,2,20,80
"Beat 22 Devsquirrels
14 Crystals",14,,G,2,22,81
"Beat 22 Devsquirrels
50,000 Coins",50000,,C,2,22,82
"Beat 22 Devsquirrels
1 Golden Dough",1,80003,S,2,22,83
"Beat 22 Devsquirrels
1 Supreme Treasure Ticket",1,853,S,2,22,84
"Beat 25 Devsquirrels
16 Crystals",16,,G,2,25,85
"Beat 25 Devsquirrels
50,000 Coins",50000,,C,2,25,86
"Beat 25 Devsquirrels
2 Golden Doughs",2,80003,S,2,25,87
"Beat 25 Devsquirrels
1 Supreme Treasure Ticket",1,853,S,2,25,88
"Beat 27 Devsquirrels
18 Crystals",18,,G,2,27,89
"Beat 10 Devsquirrels
6 Crystals",6,,G,1,10,9
"Beat 27 Devsquirrels
50,000 Coins",50000,,C,2,27,90
"Beat 27 Devsquirrels
1,000 units Magic Powder",1000,,P,2,27,91
"Beat 27 Devsquirrels
1 Supreme Treasure Ticket",1,853,S,2,27,92
"Beat 30 Devsquirrels
22 Crystals",22,,G,2,30,93
"Beat 30 Devsquirrels
50,000 Coins",50000,,C,2,30,94
"Beat 30 Devsquirrels
2,000 units Magic Powder",2000,,P,2,30,95
"Beat 30 Devsquirrels
2 Supreme Treasure Tickets",2,853,S,2,30,96
"Beat 32 Devsquirrels
25 Crystals",25,,G,2,32,97
"Beat 32 Devsquirrels
50,000 Coins",50000,,C,2,32,98
"Beat 32 Devsquirrels
3,000 units Magic Powder",3000,,P,2,32,99
