effect_type,ignore_sync,node_type,plist_file_name_list,resource_usage_tester,texture_name_list,z_order,z_order_offset,_key
GAME,0,CCSpriteBatchNode,ch77_effect_1_aniinfo.plist,ch77_effect,ch77_effect_1,COOKIE,-1,ch77_effect
GAME,0,CCSpriteBatchNode,ch77_effect_2_aniinfo.plist,ch77_effect,ch77_effect_2,ORDINARY_EFFECT,10,ch77_effect_hud
GAME,0,CCSpriteBatchNode,ch78_ch79_effect_aniinfo.plist,ch78_ch79_effect,ch78_ch79_effect,COOKIE,1,ch78_ch79_effect
GAME,0,CCSpriteBatchNode,ch78_ch79_effect_aniinfo.plist,ch78_ch79_effect,ch78_ch79_effect,COOKIE,-1,ch78_ch79_effect_back
HUD,0,CCSpriteBatchNode,ch78_ch79_effect_aniinfo.plist,ch78_ch79_effect,ch78_ch79_effect,BOTTOM,0,ch78_ch79_effect_front
GAME,0,CCSpriteBatchNode,ch80_effect_aniinfo.plist,ch80_effect,ch80_effect,ORDINARY_EFFECT,0,ch80_effect
GAME,0,CCSpriteBatchNode,ch80_effect_aniinfo.plist,ch80_effect,ch80_effect,COOKIE,-1,ch80_effect_back
GAME,0,CCSpriteBatchNode,ch81_effect_aniinfo.plist,ch81_effect,ch81_effect,ORDINARY_EFFECT,0,ch81_effect
GAME,0,CCSpriteBatchNode,ch81_effect_aniinfo.plist,ch81_effect,ch81_effect,JELLY,-1,ch81_effect_ghost
GAME,0,CCSpriteBatchNode,ch82_effect_aniinfo.plist,ch82_effect,ch82_effect,JELLY,-1,ch82_effect
GAME,0,CCSpriteBatchNode,ch83_effect_aniinfo.plist,ch83_effect,ch83_effect,ORDINARY_EFFECT,0,ch83_effect
GAME,0,CCSpriteBatchNode,ch83_effect_aniinfo.plist,ch83_effect,ch83_effect,BOTTOM,0,ch83_effect_back
GAME,0,CCSpriteBatchNode,ch84_effect_aniinfo.plist,ch84_effect,ch84_effect,ORDINARY_EFFECT,0,ch84_effect
GAME,0,CCSpriteBatchNode,ch85_effect03_aniinfo.plist,ch85_effect,ch85_effect03,ORDINARY_EFFECT,0,ch85_effect
GAME,0,CCSpriteBatchNode,ch85_effect02_aniinfo.plist,ch85_effect,ch85_effect02,JELLY,-3,ch85_effect_back
GAME,0,CCSpriteBatchNode,ch85_effect02_aniinfo.plist,ch85_effect,ch85_effect02,JELLY,-1,ch85_effect_front
GAME,0,CCSpriteBatchNode,ch85_effect03_aniinfo.plist,ch85_effect,ch85_effect03,JELLY,1,ch85_effect_jellycho
GAME,0,CCSpriteBatchNode,ch85_effect01_aniinfo.plist,ch85_effect,ch85_effect01,JELLY,-2,ch85_effect_ship
GAME,0,CCSpriteBatchNode,ch86_effect_aniinfo.plist,ch86_effect,ch86_effect,ORDINARY_EFFECT,0,ch86_effect
GAME,0,CCSpriteBatchNode,ch87_effect01_aniinfo.plist,ch87_effect,ch87_effect01,JELLY,-1,ch87_effect_back
GAME,0,CCSpriteBatchNode,ch87_effect03_aniinfo.plist,ch87_effect,ch87_effect03,JELLY,-1,ch87_effect_dragonL_back
GAME,0,CCSpriteBatchNode,ch87_effect03_aniinfo.plist,ch87_effect,ch87_effect03,COOKIE,1,ch87_effect_dragonL_front
GAME,0,CCSpriteBatchNode,ch87_effect02_aniinfo.plist,ch87_effect,ch87_effect02,JELLY,-1,ch87_effect_dragon_back
GAME,0,CCSpriteBatchNode,ch87_effect02_aniinfo.plist,ch87_effect,ch87_effect02,COOKIE,1,ch87_effect_dragon_front
GAME,0,CCSpriteBatchNode,ch87_effect01_aniinfo.plist,ch87_effect,ch87_effect01,COOKIE,1,ch87_effect_front
GAME,0,CCSpriteBatchNode,ch88_effect_aniinfo.plist,ch88_effect,ch88_effect,JELLY,-1,ch88_effect_back
GAME,0,CCSpriteBatchNode,ch88_effect_aniinfo.plist,ch88_effect,ch88_effect,COOKIE,1,ch88_effect_front
GAME,0,CCSpriteBatchNode,ch89_effect_aniinfo.plist,ch89_effect,ch89_effect,COOKIE,1,ch89_effect
GAME,0,CCSpriteBatchNode,ch89_effect_aniinfo.plist,ch89_effect,ch89_effect,JELLY,-1,ch89_effect_back
GAME,0,CCSpriteBatchNode,ch90_effect_aniinfo.plist,ch90_effect,ch90_effect,COOKIE,-1,ch90_effect_back
GAME,0,CCSpriteBatchNode,ch90_effect_aniinfo.plist,ch90_effect,ch90_effect,COOKIE,1,ch90_effect_front
HUD,0,CCSpriteBatchNode,ch90_effect_aniinfo.plist,ch90_effect,ch90_effect,BOTTOM,0,ch90_effect_hud
GAME,0,CCSpriteBatchNode,ch91_effect_aniinfo.plist,ch91_effect,ch91_effect,ORDINARY_EFFECT,0,ch91_effect
GAME,0,CCSpriteBatchNode,ch91_effect_aniinfo.plist,ch91_effect,ch91_effect,COOKIE,-1,ch91_effect_back
GAME,0,CCSpriteBatchNode,ch92_effect01_aniinfo.plist,ch92_effect,ch92_effect01,JELLY,-1,ch92_effect
GAME,0,CCSpriteBatchNode,ch92_effect01_aniinfo.plist,ch92_effect,ch92_effect01,PLATFORM,-1,ch92_effect_back
GAME,0,CCSpriteBatchNode,ch92_effect01_aniinfo.plist,ch92_effect,ch92_effect01,ORDINARY_EFFECT,0,ch92_effect_front
GAME,0,CCSpriteBatchNode,ch92_effect01_aniinfo.plist,ch92_effect,ch92_effect01,ORDINARY_EFFECT,-1,ch92_effect_laser
GAME,0,CCSpriteBatchNode,ch93_effect_aniinfo.plist,ch93_effect,ch93_effect,COOKIE,-1,ch93_effect
GAME,0,CCSpriteBatchNode,ch93_effect_aniinfo.plist,ch93_effect,ch93_effect,ORDINARY_EFFECT,0,ch93_effect_front
GAME,0,CCNode,,,,JELLY,50,common_behind_cookie
GAME,1,CCSpriteBatchNode,effect_colorStarExp_aniinfo.plist,,effect,COOKIE,1,common_between_effect
GAME,1,CCNode,,,,BOTTOM,1,common_bottom
GAME,1,CCSpriteBatchNode,"effect01_shield_aniinfo.plist,effect05_magnet_aniinfo.plist,effect06_coin_aniinfo.plist,effect07_sjelly_aniinfo.plist,effect_double_jump_aniinfo.plist,effect08_magnet_aniinfo.plist,effect11_obstacle_aniinfo.plist,effect09_bomb_aniinfo.plist,effect10_revival1_aniinfo.plist,effect10_revival2_aniinfo.plist,effect13_warning_aniinfo.plist,effect15_bigbottle1_aniinfo.plist,effect19_attack_aniinfo.plist,effect20_full_aniinfo.plist,jelly_big_effect_aniinfo.plist,eating_fox_bear_aniinfo.plist",,effect,JELLY,1,common_effect
HUD,1,CCSpriteBatchNode,"ov_game_eff_bonus_all_aniinfo.plist,ov_game_eff_bonus_aniinfo.plist,play_restart_aniinfo.plist,play_restart2_aniinfo.plist,effect10_revival1_aniinfo.plist,effect10_revival2_aniinfo.plist,effect09_bomb_aniinfo.plist,effect11_obstacle_aniinfo.plist,effect14_bump_aniinfo.plist",,effect,BOTTOM,0,common_effect_hud
GAME,1,CCSpriteBatchNode,,,effect_txt,JELLY,2,common_effect_txt
GAME,0,CCSpriteBatchNode,"pet24_effect1_missile_aniinfo.plist,pet24_effect2_boom_aniinfo.plist,red_fire_jellycho_effect1_missile_aniinfo.plist,red_fire_jellycho_effect2_boom_aniinfo.plist,pet62_effect2_aniinfo.plist,ch21_effect1_aniinfo.plist",,effect_3_pet24,JELLY,1,common_jellycho_effect
HUD,1,CCNode,,,,BOTTOM,0,common_node_hud
GAME,0,CCNode,,,,ORDINARY_EFFECT,0,common_ordinary_effect
GAME,1,CCParticleBatchNode,,,particleTexture.png,JELLY,10,common_particle_texture
GAME,0,CCSpriteBatchNode,"ch18_effect1_aniinfo.plist,pet23_effect_on_aniinfo.plist",,effect_2_ch18,JELLY,1,common_platform_effect
HUD,1,CCSpriteBatchNode,,,playing,BOTTOM,0,common_playing_hud
RESULT,1,CCSpriteBatchNode,,,result_effect,BOTTOM,0,common_result_effect
GAME,0,CCSpriteBatchNode,"ch26_effect2_aniinfo.plist,fireprotector_effect_aniinfo.plist",,effect_ch26,ORDINARY_EFFECT,0,common_shield
GAME,1,CCSpriteBatchNode,tme_aniinfo.plist,,tme,PLATFORM,1,common_tme
GAME,1,CCSpriteBatchNode,epN03_tme_aniinfo.plist,epN03_tme,epN03_tme,JELLY,50,epN03_tme
GAME,1,CCSpriteBatchNode,epN03_tm08_bg_fx_aniinfo.plist,epN03_tm08_bg_fx,epN03_tm08_bg_fx,BOTTOM,0,epN03_tme_back_normal
GAME,1,CCSpriteBatchNode,epN03_tme_dragon_aniinfo.plist,epN03_tme,epN03_tme_dragon,TOP_MOST,0,epN03_tme_dragon_front
GAME,1,CCSpriteBatchNode,epN03_tme_dragon_aniinfo.plist,epN03_tme,epN03_tme_dragon,BOTTOM,0,epN03_tme_dragon_under
GAME,1,CCSpriteBatchNode,tme_epN04_aniinfo.plist,tme_epN04,tme_epN04,JELLY,4,epN04_tme
GAME,0,CCSpriteBatchNode,epN04_tm10_spark_aniinfo.plist,tme_epN04,effect_ch26,ORDINARY_EFFECT,0,epN04_tme_front
GAME,1,CCSpriteBatchNode,epN06_tme_aniinfo.plist,epN06_tme,epN06_tme,JELLY,4,epN06_tme
GAME,1,CCSpriteBatchNode,epS02_tme_aniinfo.plist,epS02_tme,epS02_tme,JELLY,4,epS02_tme
GAME,1,CCSpriteBatchNode,epS02_tme_02_aniinfo.plist,epS02_tme,epS02_tme_02,JELLY,4,epS02_tme_02
GAME,1,CCSpriteBatchNode,epS02_tme_front_aniinfo.plist,epS02_tme,epS02_tme_front,ORDINARY_EFFECT,0,epS02_tme_front
GAME,1,CCSpriteBatchNode,epS02_tme_front_aniinfo.plist,epS02_tme,epS02_tme_front,BOTTOM,1,epS02_tme_front_others
GAME,0,CCSpriteBatchNode,pet100_effect_aniinfo.plist,pet100_effect,pet100_effect,PET,-1,pet100_effect
GAME,0,CCSpriteBatchNode,pet101_effect_aniinfo.plist,pet101_effect,pet101_effect,PET,-1,pet101_effect
GAME,0,CCSpriteBatchNode,pet103_effect_aniinfo.plist,pet103_effect,pet103_effect,JELLY,-1,pet103_effect
GAME,0,CCSpriteBatchNode,pet104_effect_aniinfo.plist,pet104_effect,pet104_effect,PET,-1,pet104_effect
GAME,0,CCSpriteBatchNode,pet104_effect_aniinfo.plist,pet104_effect,pet104_effect,COOKIE,-1,pet104_effect_back
GAME,1,CCSpriteBatchNode,effect09_bomb_aniinfo.plist,pet13_effect,effect,JELLY,1,pet13_effect
GAME,0,CCSpriteBatchNode,pet23_effect_on_aniinfo.plist,pet23_effect,effect_2_ch18,JELLY,1,pet23_effect
GAME,0,CCSpriteBatchNode,"pet24_effect1_missile_aniinfo.plist,pet24_effect2_boom_aniinfo.plist",pet24_effect,effect_3_pet24,JELLY,1,pet24_effect
GAME,0,CCSpriteBatchNode,pet35_effect1_aniinfo.plist,pet35_effect,effect_2_ch19,COOKIE,1,pet35_effect
GAME,0,CCSpriteBatchNode,pet36_effect3_aniinfo.plist,pet36_effect,effect_3_pet24,JELLY,1,pet36_effect
GAME,0,CCSpriteBatchNode,pet40_effect1_aniinfo.plist,pet40_effect,effect_3_pet24,JELLY,1,pet40_effect
GAME,0,CCSpriteBatchNode,"ch37_effect1_aniinfo.plist,ch37_effect2_aniinfo.plist,ch37_effect3_aniinfo.plist,ch37_effect4_aniinfo.plist,ch37_effect5_aniinfo.plist,ch37_effect6_aniinfo.plist",effect_pet41,effect_pet41,ORDINARY_EFFECT,0,pet41_effect
GAME,1,CCSpriteBatchNode,pet42_effect1_aniinfo.plist,pet42_effect,effect,JELLY,1,pet42_effect
GAME,0,CCSpriteBatchNode,pet43_effect2_aniinfo.plist,pet43_effect,effect_2_ch19,COOKIE,1,pet43_effect
GAME,0,CCSpriteBatchNode,pet43_effect1_aniinfo.plist,pet44_effect,effect_2_ch19,COOKIE,1,pet44_effect
GAME,1,CCSpriteBatchNode,pet45_effect1_aniinfo.plist,pet45_effect,effect,JELLY,1,pet45_effect
GAME,0,CCSpriteBatchNode,pet49_effect1_aniinfo.plist,pet49_effect,effect_2_ch18,JELLY,1,pet49_effect
GAME,1,CCSpriteBatchNode,"pet50_effect1_aniinfo.plist,pet50_effect2_aniinfo.plist",pet50_effect,effect,JELLY,1,pet50_effect
GAME,0,CCSpriteBatchNode,pet52_effect1_aniinfo.plist,pet52_effect,pet52_effect,BOTTOM,0,pet52_effect
GAME,0,CCSpriteBatchNode,"ch31_effect1_aniinfo.plist,ch31_effect2_aniinfo.plist",pet57_pet58_effect,effect_3_pet24,JELLY,1,pet57_pet58_effect
GAME,0,CCSpriteBatchNode,"pet60_effect01_aniinfo.plist,pet60_effect02_aniinfo.plist,pet60_effect03_aniinfo.plist",pet60_effect,pet60_effect,JELLY,4,pet60_effect
GAME,0,CCSpriteBatchNode,pet62_effect_aniinfo.plist,pet62_effect,pet62_effect,ORDINARY_EFFECT,0,pet62_effect
GAME,1,CCSpriteBatchNode,pet69_effect_aniinfo.plist,pet69_effect,effect,COOKIE,1,pet69_effect
GAME,0,CCSpriteBatchNode,pet71_effect_aniinfo.plist,pet71_effect,pet71_effect,ORDINARY_EFFECT,0,pet71_effect
GAME,0,CCSpriteBatchNode,pet72_effect_aniinfo.plist,pet72_effect,pet72_effect,ORDINARY_EFFECT,0,pet72_effect
GAME,0,CCSpriteBatchNode,pet73_effect_aniinfo.plist,pet73_effect,pet73_effect,ORDINARY_EFFECT,0,pet73_effect
GAME,0,CCSpriteBatchNode,pet76_effect_aniinfo.plist,pet76_effect,pet76_effect,PLATFORM,1,pet76_effect
GAME,0,CCSpriteBatchNode,pet76_effect_aniinfo.plist,pet76_effect,pet76_effect,ORDINARY_EFFECT,0,pet76_effect_over
GAME,0,CCSpriteBatchNode,pet77_effect_aniinfo.plist,pet77_effect,pet77_effect,ORDINARY_EFFECT,0,pet77_effect
GAME,0,CCSpriteBatchNode,pet80_effect_aniinfo.plist,pet80_effect,pet80_effect,ORDINARY_EFFECT,0,pet80_effect
GAME,0,CCSpriteBatchNode,pet81_effect_aniinfo.plist,pet81_effect,pet81_effect,ORDINARY_EFFECT,0,pet81_effect
GAME,0,CCSpriteBatchNode,pet82_effect_aniinfo.plist,pet82_effect,pet82_effect,ORDINARY_EFFECT,0,pet82_effect
GAME,0,CCSpriteBatchNode,pet84_effect_aniinfo.plist,pet84_effect,pet84_effect,JELLY,4,pet84_effect
GAME,0,CCSpriteBatchNode,pet87_effect_aniinfo.plist,pet87_effect,pet87_effect,JELLY,4,pet87_effect
GAME,0,CCSpriteBatchNode,pet89_effect_aniinfo.plist,pet89_effect,pet89_effect,JELLY,4,pet89_effect
GAME,0,CCSpriteBatchNode,pet90_pet91_effect_aniinfo.plist,pet90_pet91_effect,pet90_pet91_effect,JELLY,4,pet90_pet91_effect
GAME,0,CCSpriteBatchNode,pet92_effect_aniinfo.plist,pet92_effect,pet92_effect,ORDINARY_EFFECT,0,pet92_effect
GAME,0,CCSpriteBatchNode,pet95_effect_aniinfo.plist,pet95_effect,pet95_effect,ORDINARY_EFFECT,0,pet95_effect
GAME,0,CCSpriteBatchNode,pet95_effect_aniinfo.plist,pet95_effect,pet95_effect,BOTTOM,0,pet95_effect_back
GAME,0,CCSpriteBatchNode,pet96_effect_aniinfo.plist,pet96_effect,pet96_effect,ORDINARY_EFFECT,0,pet96_effect
GAME,0,CCSpriteBatchNode,pet97_effect_aniinfo.plist,pet97_effect,pet97_effect,PET,-1,pet97_effect
