episode,event_seq,is_complete_reward,mission_description,mission_description_short,mission_order,mission_seq,need_count,page,reward_image_file_name,reward_image_plist_file_name,reward_name,reward_qty,reward_seq,reward_type,stat_category_id,stat_data_id,stat_goal_count,_key
,72,0,,,1,8475,3000,1,reward_icon_life.png,bc_reward_icon.plist,체력강화,2,211,S,,,,154
,72,0,,,2,8476,7500,1,reward_icon_relay.png,bc_reward_icon.plist,이어달리기,1,215,S,,,,155
,72,0,,,3,8477,10000,1,reward_icon_dough01.png,bc_reward_icon.plist,갈색 행운반죽,1,80001,S,,,,156
,72,0,,,4,8478,30000,1,reward_icon_spell_small.png,bc_reward_icon.plist,마법가루,200,0,P,,,,157
,72,0,,,5,8479,50000,1,reward_icon_crystal.png,bc_reward_icon.plist,크리스탈,5,0,G,,,,158
,83,0,,,1,8552,1,1,reward_icon_relay.png,bc_reward_icon.plist,이어달리기,1,215,S,,,,159
,34,0,Reach Stage 4 in Episode 1 (3 times),,1,7942,3,1,reward_icon_crystal.png,bc_reward_icon.plist,크리스탈,2,0,G,,,,16
,83,0,,,2,8553,3,1,reward_icon_coin_small.png,bc_reward_icon.plist,코인,5000,0,C,,,,160
,83,0,,,3,8554,5,1,reward_icon_coin_small.png,bc_reward_icon.plist,코인,7000,0,C,,,,161
,83,0,,,4,8555,7,1,reward_icon_spell_small.png,bc_reward_icon.plist,마법가루,100,0,P,,,,162
,83,0,,,5,8556,10,1,reward_icon_crystal.png,bc_reward_icon.plist,크리스탈,3,0,G,,,,163
,84,0,,,1,8557,1,1,reward_icon_relay.png,bc_reward_icon.plist,이어달리기,1,215,S,,,,164
,84,0,,,2,8558,3,1,reward_icon_coin_small.png,bc_reward_icon.plist,코인,5000,0,C,,,,165
,84,0,,,3,8559,5,1,reward_icon_coin_small.png,bc_reward_icon.plist,코인,7000,0,C,,,,166
,84,0,,,4,8560,7,1,reward_icon_spell_small.png,bc_reward_icon.plist,마법가루,100,0,P,,,,167
,84,0,,,5,8561,10,1,reward_icon_crystal.png,bc_reward_icon.plist,크리스탈,3,0,G,,,,168
,98,0,10,,1,8807,1,1,reward_icon_coin_small.png,bc_reward_icon.plist,코인,3000,0,C,,,,169
,34,0,Reach Lv.3,,2,7943,3,1,reward_icon_crystal.png,bc_reward_icon.plist,크리스탈,2,0,G,,,,17
,98,0,50,,2,8808,1,1,reward_icon_boostset.png,bc_reward_icon.plist,부스트세트,1,2201,S,,,,170
,98,0,100,,3,8809,1,1,reward_icon_trTicketS_small.png,bc_reward_icon.plist,고급보물뽑기권,1,852,S,,,,171
,98,0,150,,4,8810,1,1,reward_icon_dough01.png,bc_reward_icon.plist,갈색 행운반죽,1,80001,S,,,,172
,98,0,200,,5,8811,1,1,reward_icon_crystal.png,bc_reward_icon.plist,크리스탈,10,0,G,,,,173
,98,0,250,,6,8812,1,1,reward_icon_dough02.png,bc_reward_icon.plist,은빛 행운반죽,1,80002,S,,,,174
,98,0,300,,7,8813,1,1,reward_icon_trTicketSS_small.png,bc_reward_icon.plist,최고급보물뽑기권,1,853,S,,,,175
,98,0,350,,8,8814,1,1,reward_icon_spell_small.png,bc_reward_icon.plist,마법가루,1000,0,P,,,,176
,98,0,400,,9,8815,1,1,reward_icon_crystal.png,bc_reward_icon.plist,크리스탈,20,0,G,,,,177
,98,0,450,,10,8816,1,1,reward_icon_dough03.png,bc_reward_icon.plist,금빛 행운반죽,1,80003,S,,,,178
,98,0,500,,11,8817,1,1,reward_icon_trTicketSS_small.png,bc_reward_icon.plist,최고급보물뽑기권,2,853,S,,,,179
,34,0,Use Random Boost 1 time,,3,7944,1,1,reward_icon_crystal.png,bc_reward_icon.plist,크리스탈,2,0,G,,,,18
,98,0,550,,12,8818,1,1,reward_icon_spell_small.png,bc_reward_icon.plist,마법가루,2000,0,P,,,,180
,98,0,600,,13,8819,1,1,reward_icon_crystal.png,bc_reward_icon.plist,크리스탈,30,0,G,,,,181
,98,0,650,,14,8820,1,1,reward_icon_dough03.png,bc_reward_icon.plist,금빛 행운반죽,1,80003,S,,,,182
,98,0,700,,15,8821,1,1,reward_icon_trTicketSS_small.png,bc_reward_icon.plist,최고급보물뽑기권,2,853,S,,,,183
,98,0,750,,16,8822,1,1,reward_icon_dough04.png,bc_reward_icon.plist,무지개빛 행운반죽,1,80004,S,,,,184
,100,0,일반 에피소드 스테이지 4까지 3판,,1,9240,3,1,reward_icon_coin_small.png,bc_reward_icon.plist,코인,3000,0,C,,,,185
,100,0,하루에 친구에게 3번 생명 보내기,,2,9241,3,1,reward_icon_spell_small.png,bc_reward_icon.plist,마법가루,100,0,P,,,,186
,100,0,파티런 솔로모드 2판하기,,3,9242,2,1,reward_icon_crystal.png,bc_reward_icon.plist,크리스탈,2,0,G,,,,187
,100,0,일반 에피소드 1판에 5000코인 획득하기,,4,9243,1,1,reward_icon_spell_small.png,bc_reward_icon.plist,마법가루,50,0,P,,,,188
,100,0,일일 미션 4개 전부 완료하기,,5,9244,4,1,reward_icon_cookie_stone_box_ss.png,bc_reward_icon.plist,영혼석 선택상자 (쿠키2종),3,42001,S,,,,189
,34,0,"Earn 1,000 Coins (single run)",,4,7945,1,1,reward_icon_crystal.png,bc_reward_icon.plist,크리스탈,2,0,G,,,,19
,101,0,일반 에피소드 스테이지 4까지 3판,,1,9245,3,1,reward_icon_coin_small.png,bc_reward_icon.plist,코인,3000,0,C,,,,190
,101,0,하루에 친구에게 3번 생명 보내기,,2,9246,3,1,reward_icon_spell_small.png,bc_reward_icon.plist,마법가루,100,0,P,,,,191
,101,0,열쇠 2개 소모하기,,3,9247,2,1,reward_icon_crystal.png,bc_reward_icon.plist,크리스탈,1,0,G,,,,192
,101,0,일반 에피소드 1판에 5000코인 획득하기,,4,9248,1,1,reward_icon_spell_small.png,bc_reward_icon.plist,마법가루,50,0,P,,,,193
,101,0,일일 미션 4개 전부 완료하기,,5,9249,4,1,reward_icon_cookie_stone_box_ss.png,bc_reward_icon.plist,영혼석 선택상자 (쿠키2종),3,42001,S,,,,194
,102,0,일반 에피소드 스테이지 4까지 3판,,1,9250,3,1,reward_icon_coin_small.png,bc_reward_icon.plist,코인,3000,0,C,,,,195
,102,0,하루에 친구에게 3번 생명 보내기,,2,9251,3,1,reward_icon_spell_small.png,bc_reward_icon.plist,마법가루,100,0,P,,,,196
,102,0,파티런 솔로모드 2판하기,,3,9252,2,1,reward_icon_crystal.png,bc_reward_icon.plist,크리스탈,2,0,G,,,,197
,102,0,일반 에피소드 1판에 5000코인 획득하기,,4,9253,1,1,reward_icon_spell_small.png,bc_reward_icon.plist,마법가루,50,0,P,,,,198
,102,0,일일 미션 4개 전부 완료하기,,5,9254,4,1,reward_icon_cookie_stone_box_ss.png,bc_reward_icon.plist,영혼석 선택상자 (쿠키2종),3,42001,S,,,,199
,28,0,,,2,7903,3,1,reward_icon_coin_small.png,bc_reward_icon.plist,코인,5000,0,C,,,,2
,34,0,Send Lives to friends 1 time,,5,7946,1,1,reward_icon_crystal.png,bc_reward_icon.plist,크리스탈,2,0,G,,,,20
,103,0,일반 에피소드 스테이지 4까지 3판,,1,9255,3,1,reward_icon_coin_small.png,bc_reward_icon.plist,코인,3000,0,C,,,,200
,103,0,하루에 친구에게 3번 생명 보내기,,2,9256,3,1,reward_icon_spell_small.png,bc_reward_icon.plist,마법가루,100,0,P,,,,201
,103,0,열쇠 2개 소모하기,,3,9257,2,1,reward_icon_crystal.png,bc_reward_icon.plist,크리스탈,1,0,G,,,,202
,103,0,일반 에피소드 1판에 5000코인 획득하기,,4,9258,1,1,reward_icon_spell_small.png,bc_reward_icon.plist,마법가루,50,0,P,,,,203
,103,0,일일 미션 4개 전부 완료하기,,5,9259,4,1,reward_icon_cookie_stone_box_ss.png,bc_reward_icon.plist,영혼석 선택상자 (쿠키2종),3,42001,S,,,,204
,104,0,Play 3 times in Normal Episode up to Stage 4,,1,9260,3,1,reward_icon_coin_small.png,bc_reward_icon.plist,코인,3000,0,C,,,,205
,104,0,Send Lives to friends 3 times,,2,9261,3,1,reward_icon_spell_small.png,bc_reward_icon.plist,마법가루,100,0,P,,,,206
,104,0,Play Party Run (Solo) 2 times,,3,9262,2,1,reward_icon_crystal.png,bc_reward_icon.plist,크리스탈,2,0,G,,,,207
,104,0,"Earn 5,000 Coins in Normal Episode (single run)",,4,9263,1,1,reward_icon_spell_small.png,bc_reward_icon.plist,마법가루,50,0,P,,,,208
,104,0,Complete all 4 Daily Missions,,5,9264,4,1,reward_icon_cookie_stone_box_ss.png,bc_reward_icon.plist,영혼석 선택상자 (쿠키2종),3,42001,S,,,,209
,34,1,Complete all the above missions,,6,7947,5,1,,,버터크림 초코쿠키,1,100601,S,,,,21
,105,0,Play 3 times in Normal Episode up to Stage 4,,1,9265,3,1,reward_icon_coin_small.png,bc_reward_icon.plist,Coins,3000,0,C,,,,210
,105,0,Send Lives to friends 3 times,,2,9266,3,1,reward_icon_spell_small.png,bc_reward_icon.plist,Magic Powder,100,0,P,,,,211
,105,0,Use 2 Keys,,3,9267,2,1,reward_icon_crystal.png,bc_reward_icon.plist,Crystals,1,0,G,,,,212
,105,0,"Earn 5,000 Coins in Normal Episode (single run)",,4,9268,1,1,reward_icon_spell_small.png,bc_reward_icon.plist,Magic Powder,50,0,P,,,,213
,105,0,Complete all 4 Daily Missions,,5,9269,4,1,reward_icon_cookie_stone_box_ss.png,bc_reward_icon.plist,Soulstone Choice Chest (3 options),3,42002,S,,,,214
,106,0,Play 3 times in Normal Episode up to Stage 4,,1,9270,3,1,reward_icon_coin_small.png,bc_reward_icon.plist,Coins,3000,0,C,,,,215
,106,0,Send Lives to friends 3 times,,2,9271,3,1,reward_icon_spell_small.png,bc_reward_icon.plist,Magic Powder,100,0,P,,,,216
,106,0,Play Party Run (Solo) 2 times,,3,9272,2,1,reward_icon_crystal.png,bc_reward_icon.plist,Crystals,2,0,G,,,,217
,106,0,"Earn 5,000 Coins in Normal Episode (single run)",,4,9273,1,1,reward_icon_spell_small.png,bc_reward_icon.plist,Magic Powder,50,0,P,,,,218
,106,0,Complete all 4 Daily Missions,,5,9274,4,1,reward_icon_cookie_stone_box_ss.png,bc_reward_icon.plist,Soulstone Choice Chest (3 options),3,42002,S,,,,219
,34,1,Complete all the above missions,,7,7948,5,1,reward_icon_coin_small.png,bc_reward_icon.plist,코인,30000,0,C,,,,22
,107,0,Play 3 times in Normal Episode up to Stage 4,,1,9275,3,1,reward_icon_coin_small.png,bc_reward_icon.plist,Coins,3000,0,C,,,,220
,107,0,Send Lives to friends 3 times,,2,9276,3,1,reward_icon_spell_small.png,bc_reward_icon.plist,Magic Powder,100,0,P,,,,221
,107,0,Use 2 Keys,,3,9277,2,1,reward_icon_crystal.png,bc_reward_icon.plist,Crystals,1,0,G,,,,222
,107,0,"Earn 5,000 Coins in Normal Episode (single run)",,4,9278,1,1,reward_icon_spell_small.png,bc_reward_icon.plist,Magic Powder,50,0,P,,,,223
,107,0,Complete all 4 Daily Missions,,5,9279,4,1,reward_icon_cookie_stone_box_ss.png,bc_reward_icon.plist,Soulstone Choice Chest (3 options),3,42002,S,,,,224
,108,0,Play 3 times in Normal Episode up to Stage 4,,1,9280,3,1,reward_icon_coin_small.png,bc_reward_icon.plist,Coins,3000,0,C,,,,225
,108,0,Send Lives to friends 3 times,,2,9281,3,1,reward_icon_spell_small.png,bc_reward_icon.plist,Magic Powder,100,0,P,,,,226
,108,0,Play Party Run (Solo) 2 times,,3,9282,2,1,reward_icon_crystal.png,bc_reward_icon.plist,Crystals,2,0,G,,,,227
,108,0,"Earn 5,000 Coins in Normal Episode (single run)",,4,9283,1,1,reward_icon_spell_small.png,bc_reward_icon.plist,Magic Powder,50,0,P,,,,228
,108,0,Complete all 4 Daily Missions,,5,9284,4,1,reward_icon_cookie_stone_box_ss.png,bc_reward_icon.plist,Soulstone Choice Chest (3 options),3,42002,S,,,,229
,35,0,Earn 10 million points in Episode 1,,1,7949,1,1,reward_icon_crystal.png,bc_reward_icon.plist,크리스탈,2,0,G,,,,23
,109,0,Play 3 times in Normal Episode up to Stage 4,,1,9285,3,1,reward_icon_coin_small.png,bc_reward_icon.plist,Coins,3000,0,C,,,,230
,109,0,Send Lives to friends 3 times,,2,9286,3,1,reward_icon_spell_small.png,bc_reward_icon.plist,Magic Powder,100,0,P,,,,231
,109,0,Use 2 Keys,,3,9287,2,1,reward_icon_crystal.png,bc_reward_icon.plist,Crystals,1,0,G,,,,232
,109,0,"Earn 5,000 Coins in Normal Episode (single run)",,4,9288,1,1,reward_icon_spell_small.png,bc_reward_icon.plist,Magic Powder,50,0,P,,,,233
,109,0,Complete all 4 Daily Missions,,5,9289,4,1,reward_icon_cookie_stone_box_ss.png,bc_reward_icon.plist,Soulstone Choice Chest (3 options),3,42002,S,,,,234
,110,0,Play 3 times in Normal Episode up to Stage 4,,1,9290,3,1,reward_icon_coin_small.png,bc_reward_icon.plist,Coins,3000,0,C,,,,235
,110,0,Send Lives to friends 3 times,,2,9291,3,1,reward_icon_spell_small.png,bc_reward_icon.plist,Magic Powder,100,0,P,,,,236
,110,0,Play Party Run (Solo) 2 times,,3,9292,2,1,reward_icon_crystal.png,bc_reward_icon.plist,Crystals,2,0,G,,,,237
,110,0,"Earn 5,000 Coins in Normal Episode (single run)",,4,9293,1,1,reward_icon_spell_small.png,bc_reward_icon.plist,Magic Powder,50,0,P,,,,238
,110,0,Complete all 4 Daily Missions,,5,9294,4,1,reward_icon_cookie_stone_box_ss.png,bc_reward_icon.plist,Soulstone Choice Chest (3 options),3,42002,S,,,,239
,35,0,Run in Ep. 1 with Buttercream Choco Cookie,,2,7950,1,1,reward_icon_crystal.png,bc_reward_icon.plist,크리스탈,2,0,G,,,,24
,111,0,Play 3 times in Normal Episode up to Stage 4,,1,9295,3,1,reward_icon_coin_small.png,bc_reward_icon.plist,Coins,3000,0,C,,,,240
,111,0,Send Lives to friends 3 times,,2,9296,3,1,reward_icon_spell_small.png,bc_reward_icon.plist,Magic Powder,100,0,P,,,,241
,111,0,Use 2 Keys,,3,9297,2,1,reward_icon_crystal.png,bc_reward_icon.plist,Crystals,1,0,G,,,,242
,111,0,"Earn 5,000 Coins in Normal Episode (single run)",,4,9298,1,1,reward_icon_spell_small.png,bc_reward_icon.plist,Magic Powder,50,0,P,,,,243
,111,0,Complete all 4 Daily Missions,,5,9299,4,1,reward_icon_cookie_stone_box_ss.png,bc_reward_icon.plist,Soulstone Choice Chest (3 options),3,42002,S,,,,244
,112,0,Play 3 times in Normal Episode up to Stage 4,,1,9300,3,1,reward_icon_coin_small.png,bc_reward_icon.plist,Coins,3000,0,C,,,,245
,112,0,Send Lives to friends 3 times,,2,9301,3,1,reward_icon_spell_small.png,bc_reward_icon.plist,Magic Powder,100,0,P,,,,246
,112,0,Play Party Run (Solo) 2 times,,3,9302,2,1,reward_icon_crystal.png,bc_reward_icon.plist,Crystals,2,0,G,,,,247
,112,0,"Earn 5,000 Coins in Normal Episode (single run)",,4,9303,1,1,reward_icon_spell_small.png,bc_reward_icon.plist,Magic Powder,50,0,P,,,,248
,112,0,Complete all 4 Daily Missions,,5,9304,4,1,reward_icon_cookie_stone_box_ss.png,bc_reward_icon.plist,Soulstone Choice Chest (3 options),3,42002,S,,,,249
,35,0,Use Random Boosts 5 times,,3,7951,5,1,reward_icon_crystal.png,bc_reward_icon.plist,크리스탈,2,0,G,,,,25
,113,0,Play 3 times in Normal Episode up to Stage 4,,1,9305,3,1,reward_icon_coin_small.png,bc_reward_icon.plist,Coins,3000,0,C,,,,250
,113,0,Send Lives to friends 3 times,,2,9306,3,1,reward_icon_spell_small.png,bc_reward_icon.plist,Magic Powder,100,0,P,,,,251
,113,0,Use 2 Keys,,3,9307,2,1,reward_icon_crystal.png,bc_reward_icon.plist,Crystals,1,0,G,,,,252
,113,0,"Earn 5,000 Coins in Normal Episode (single run)",,4,9308,1,1,reward_icon_spell_small.png,bc_reward_icon.plist,Magic Powder,50,0,P,,,,253
,113,0,Complete all 4 Daily Missions,,5,9309,4,1,reward_icon_cookie_stone_box_ss.png,bc_reward_icon.plist,Soulstone Choice Chest (3 options),3,42002,S,,,,254
,114,0,Play 3 times in Normal Episode up to Stage 4,,1,9310,3,1,reward_icon_coin_small.png,bc_reward_icon.plist,Coins,3000,0,C,,,,255
,114,0,Send Lives to friends 3 times,,2,9311,3,1,reward_icon_spell_small.png,bc_reward_icon.plist,Magic Powder,100,0,P,,,,256
,114,0,Play Party Run (Solo) 2 times,,3,9312,2,1,reward_icon_crystal.png,bc_reward_icon.plist,Crystals,2,0,G,,,,257
,114,0,"Earn 5,000 Coins in Normal Episode (single run)",,4,9313,1,1,reward_icon_spell_small.png,bc_reward_icon.plist,Magic Powder,50,0,P,,,,258
,114,0,Complete all 4 Daily Missions,,5,9314,4,1,reward_icon_cookie_stone_box_ss.png,bc_reward_icon.plist,Soulstone Choice Chest (3 options),3,42002,S,,,,259
,35,0,"Earn 3,000 Coins (single run)",,4,7952,1,1,reward_icon_crystal.png,bc_reward_icon.plist,크리스탈,2,0,G,,,,26
,115,0,Play 3 times in Normal Episode up to Stage 4,,1,9315,3,1,reward_icon_coin_small.png,bc_reward_icon.plist,Coins,3000,0,C,,,,260
,115,0,Send Lives to friends 3 times,,2,9316,3,1,reward_icon_spell_small.png,bc_reward_icon.plist,Magic Powder,100,0,P,,,,261
,115,0,Use 2 Keys,,3,9317,2,1,reward_icon_crystal.png,bc_reward_icon.plist,Crystals,1,0,G,,,,262
,115,0,"Earn 5,000 Coins in Normal Episode (single run)",,4,9318,1,1,reward_icon_spell_small.png,bc_reward_icon.plist,Magic Powder,50,0,P,,,,263
,115,0,Complete all 4 Daily Missions,,5,9319,4,1,reward_icon_cookie_stone_box_ss.png,bc_reward_icon.plist,Soulstone Choice Chest (3 options),3,42002,S,,,,264
,116,0,Play 3 times in Normal Episode up to Stage 4,,1,9320,3,1,reward_icon_coin_small.png,bc_reward_icon.plist,Coins,3000,0,C,,,,265
,116,0,Send Lives to friends 3 times,,2,9321,3,1,reward_icon_spell_small.png,bc_reward_icon.plist,Magic Powder,100,0,P,,,,266
,116,0,Play Party Run (Solo) 2 times,,3,9322,2,1,reward_icon_crystal.png,bc_reward_icon.plist,Crystals,2,0,G,,,,267
,116,0,"Earn 5,000 Coins in Normal Episode (single run)",,4,9323,1,1,reward_icon_spell_small.png,bc_reward_icon.plist,Magic Powder,50,0,P,,,,268
,116,0,Complete all 4 Daily Missions,,5,9324,4,1,reward_icon_cookie_stone_box_ss.png,bc_reward_icon.plist,Soulstone Choice Chest (3 options),3,42002,S,,,,269
,35,0,Send Lives to friends 10 times,,5,7953,10,1,reward_icon_crystal.png,bc_reward_icon.plist,크리스탈,2,0,G,,,,27
,117,0,Play 3 times in Normal Episode up to Stage 4,,1,9325,3,1,reward_icon_coin_small.png,bc_reward_icon.plist,Coins,3000,0,C,,,,270
,117,0,Send Lives to friends 3 times,,2,9326,3,1,reward_icon_spell_small.png,bc_reward_icon.plist,Magic Powder,100,0,P,,,,271
,117,0,Use 2 Keys,,3,9327,2,1,reward_icon_crystal.png,bc_reward_icon.plist,Crystals,1,0,G,,,,272
,117,0,"Earn 5,000 Coins in Normal Episode (single run)",,4,9328,1,1,reward_icon_spell_small.png,bc_reward_icon.plist,Magic Powder,50,0,P,,,,273
,117,0,Complete all 4 Daily Missions,,5,9329,4,1,reward_icon_cookie_stone_box_ss.png,bc_reward_icon.plist,Soulstone Choice Chest (3 options),3,42002,S,,,,274
,118,0,Play 3 times in Normal Episode up to Stage 4,,1,9330,3,1,reward_icon_coin_small.png,bc_reward_icon.plist,Coins,3000,0,C,,,,275
