comment,event_group_probability,group_probability,replacement_stuff_seq,set_name,stuff_seq,_key
모으기 보상뽑기_20260331,,10000,60002,EvGacha_20260331,60037,6003700
모으기 보상뽑기_20260429,,10000,60002,EvGacha_20260429,60038,6003800
모으기 보상뽑기_20260516,,10000,60002,EvGacha_20260516,60039,6003900
미스테리박스뽑기,,10000,0,MysteryBoxGasha,600401,60040100
미스테리박스뽑기,,10000,0,MysteryBoxGasha,600402,60040200
미스테리박스뽑기,,10000,0,MysteryBoxGasha,600403,60040300
미스테리박스뽑기,,10000,0,MysteryBoxGasha,600501,60050100
미스테리박스뽑기,,10000,0,MysteryBoxGasha,600502,60050200
미스테리박스뽑기,,10000,0,MysteryBoxGasha,600503,60050300
미스테리박스뽑기,,10000,0,MysteryBoxGasha,600601,60060100
미스테리박스뽑기,,10000,0,MysteryBoxGasha,600602,60060200
미스테리박스뽑기,,10000,0,MysteryBoxGasha,600603,60060300
미스테리박스뽑기,,10000,0,MysteryBoxGasha,650101,65010100
미스테리박스뽑기,,10000,0,MysteryBoxGasha,650102,65010200
미스테리박스뽑기,,10000,0,MysteryBoxGasha,650103,65010300
미스테리박스뽑기,,10000,0,MysteryBoxGasha,650201,65020100
미스테리박스뽑기,,10000,0,MysteryBoxGasha,650202,65020200
미스테리박스뽑기,,10000,0,MysteryBoxGasha,650203,65020300
미스테리박스뽑기,,10000,0,MysteryBoxGasha,650301,65030100
미스테리박스뽑기,,10000,0,MysteryBoxGasha,650302,65030200
미스테리박스뽑기,,10000,0,MysteryBoxGasha,650303,65030300
다람쥐상점 상자열기 뽑기(유료),,145,0,Sqrl_1_Ticket,70001,7000100
다람쥐상점 상자열기 뽑기(유료),,12,0,Sqrl_1_Tr1,70001,7000101
다람쥐상점 상자열기 뽑기(유료),,15,0,Sqrl_1_Tr2,70001,7000102
다람쥐상점 상자열기 뽑기(유료),,8,0,Sqrl_1_Tr3,70001,7000103
다람쥐상점 상자열기 뽑기(유료),,20,0,Sqrl_1_Tr4,70001,7000104
다람쥐상점 상자열기 뽑기(유료),,400,0,Sqrl_1_Powder,70001,7000105
다람쥐상점 상자열기 뽑기(유료),,300,0,Sqrl_1_Mat_S,70001,7000106
다람쥐상점 상자열기 뽑기(유료),,100,0,Sqrl_1_Mat_SS,70001,7000107
다람쥐상점 상자열기 뽑기(무료),,140,0,Sqrl_2_Ticket,70002,7000200
다람쥐상점 상자열기 뽑기(무료),,10,0,Sqrl_2_Tr1,70002,7000201
다람쥐상점 상자열기 뽑기(무료),,10,0,Sqrl_2_Tr2,70002,7000202
다람쥐상점 상자열기 뽑기(무료),,3,0,Sqrl_2_Tr3,70002,7000203
다람쥐상점 상자열기 뽑기(무료),,15,0,Sqrl_2_Tr4,70002,7000204
다람쥐상점 상자열기 뽑기(무료),,400,0,Sqrl_2_Powder,70002,7000205
다람쥐상점 상자열기 뽑기(무료),,322,0,Sqrl_2_Mat_S,70002,7000206
다람쥐상점 상자열기 뽑기(무료),,100,0,Sqrl_2_Mat_SS,70002,7000207
미스테리박스_최고급보뽑,,0,0,MBox_TrTicket_3,700111,70011100
미스테리박스_고급보뽑,,0,0,MBox_TrTicket_2,700111,70011101
미스테리박스_유물,,0,0,MBox_Artifact,700111,70011102
미스테리박스_재료_SS급,,0,0,MBox_Mt_SS,700111,70011103
미스테리박스_재료_S급,,0,0,MBox_Mt_S,700111,70011104
미스테리박스_재료_A급,,0,0,MBox_Mt_A,700111,70011105
미스테리박스_재료_B급,,450,0,MBox_Mt_B,700111,70011106
미스테리박스_재료_C급,,2535,0,MBox_Mt_C,700111,70011107
미스테리박스_코인,,2535,0,MBox_Coin,700111,70011108
미스테리박스_바다요정잠금아이템,,0,0,MBox_Unlock_Item,700111,70011109
미스테리박스_딸기쇼케잠금아이템,,460,0,MBox_Unlock_2,700111,70011110
미스터리박스_멜버잠금아이템,,460,0,MBox_Unlock_3,700111,70011111
미스터리박스_민들레잠금아이템,,460,0,MBox_Unlock_4,700111,70011112
미스테리박스_최고급보뽑,,0,0,MBox_TrTicket_3,700112,70011200
미스테리박스_고급보뽑,,25,0,MBox_TrTicket_2,700112,70011201
미스테리박스_유물,,0,0,MBox_Artifact,700112,70011202
미스테리박스_재료_SS급,,0,0,MBox_Mt_SS,700112,70011203
미스테리박스_재료_S급,,0,0,MBox_Mt_S,700112,70011204
미스테리박스_재료_A급,,90,0,MBox_Mt_A,700112,70011205
미스테리박스_재료_B급,,1000,0,MBox_Mt_B,700112,70011206
미스테리박스_재료_C급,,0,0,MBox_Mt_C,700112,70011207
미스테리박스_코인,,270,0,MBox_Coin,700112,70011208
미스테리박스_바다요정잠금아이템,,0,0,MBox_Unlock_Item,700112,70011209
미스테리박스_딸기쇼케잠금아이템,,110,0,MBox_Unlock_2,700112,70011210
미스터리박스_멜버잠금아이템,,110,0,MBox_Unlock_3,700112,70011211
미스터리박스_민들레잠금아이템,,120,0,MBox_Unlock_4,700112,70011212
미스테리박스_최고급보뽑,,0,0,MBox_TrTicket_3,700113,70011300
미스테리박스_고급보뽑,,25,0,MBox_TrTicket_2,700113,70011301
미스테리박스_유물,,615,0,MBox_Artifact,700113,70011302
미스테리박스_재료_SS급,,0,0,MBox_Mt_SS,700113,70011303
미스테리박스_재료_S급,,45,0,MBox_Mt_S,700113,70011304
미스테리박스_재료_A급,,180,0,MBox_Mt_A,700113,70011305
미스테리박스_재료_B급,,0,0,MBox_Mt_B,700113,70011306
미스테리박스_재료_C급,,0,0,MBox_Mt_C,700113,70011307
미스테리박스_코인,,0,0,MBox_Coin,700113,70011308
미스테리박스_바다요정잠금아이템,,0,0,MBox_Unlock_Item,700113,70011309
미스테리박스_딸기쇼케잠금아이템,,70,0,MBox_Unlock_2,700113,70011310
미스터리박스_멜버잠금아이템,,70,0,MBox_Unlock_3,700113,70011311
미스터리박스_민들레잠금아이템,,70,0,MBox_Unlock_4,700113,70011312
미스테리박스_최고급보뽑,,0,0,MBox_TrTicket_3,700114,70011400
미스테리박스_고급보뽑,,0,0,MBox_TrTicket_2,700114,70011401
미스테리박스_유물,,160,0,MBox_Artifact,700114,70011402
미스테리박스_재료_SS급,,0,0,MBox_Mt_SS,700114,70011403
미스테리박스_재료_S급,,70,0,MBox_Mt_S,700114,70011404
미스테리박스_재료_A급,,0,0,MBox_Mt_A,700114,70011405
미스테리박스_재료_B급,,0,0,MBox_Mt_B,700114,70011406
미스테리박스_재료_C급,,0,0,MBox_Mt_C,700114,70011407
미스테리박스_코인,,0,0,MBox_Coin,700114,70011408
미스테리박스_바다요정잠금아이템,,10,0,MBox_Unlock_Item,700114,70011409
미스테리박스_딸기쇼케잠금아이템,,20,0,MBox_Unlock_2,700114,70011410
미스터리박스_멜버잠금아이템,,20,0,MBox_Unlock_3,700114,70011411
미스터리박스_민들레잠금아이템,,20,0,MBox_Unlock_4,700114,70011412
미스테리박스_최고급보뽑,,0,0,MBox_TrTicket_3,700121,70012100
미스테리박스_고급보뽑,,0,0,MBox_TrTicket_2,700121,70012101
미스테리박스_유물,,0,0,MBox_Artifact,700121,70012102
미스테리박스_재료_SS급,,0,0,MBox_Mt_SS,700121,70012103
미스테리박스_재료_S급,,0,0,MBox_Mt_S,700121,70012104
미스테리박스_재료_A급,,0,0,MBox_Mt_A,700121,70012105
미스테리박스_재료_B급,,800,0,MBox_Mt_B,700121,70012106
미스테리박스_재료_C급,,1020,0,MBox_Mt_C,700121,70012107
미스테리박스_코인,,1700,0,MBox_Coin,700121,70012108
미스테리박스_바다요정잠금아이템,,0,0,MBox_Unlock_Item,700121,70012109
미스테리박스_딸기쇼케잠금아이템,,290,0,MBox_Unlock_2,700121,70012110
미스터리박스_멜버잠금아이템,,290,0,MBox_Unlock_3,700121,70012111
미스터리박스_민들레잠금아이템,,300,0,MBox_Unlock_4,700121,70012112
미스테리박스_최고급보뽑,,0,0,MBox_TrTicket_3,700122,70012200
미스테리박스_고급보뽑,,45,0,MBox_TrTicket_2,700122,70012201
미스테리박스_유물,,0,0,MBox_Artifact,700122,70012202
미스테리박스_재료_SS급,,0,0,MBox_Mt_SS,700122,70012203
미스테리박스_재료_S급,,0,0,MBox_Mt_S,700122,70012204
미스테리박스_재료_A급,,440,0,MBox_Mt_A,700122,70012205
미스테리박스_재료_B급,,1400,0,MBox_Mt_B,700122,70012206
미스테리박스_재료_C급,,0,0,MBox_Mt_C,700122,70012207
미스테리박스_코인,,600,0,MBox_Coin,700122,70012208
미스테리박스_바다요정잠금아이템,,0,0,MBox_Unlock_Item,700122,70012209
미스테리박스_딸기쇼케잠금아이템,,200,0,MBox_Unlock_2,700122,70012210
미스터리박스_멜버잠금아이템,,200,0,MBox_Unlock_3,700122,70012211
미스터리박스_민들레잠금아이템,,200,0,MBox_Unlock_4,700122,70012212
미스테리박스_최고급보뽑,,0,0,MBox_TrTicket_3,700123,70012300
미스테리박스_고급보뽑,,45,0,MBox_TrTicket_2,700123,70012301
미스테리박스_유물,,750,0,MBox_Artifact,700123,70012302
미스테리박스_재료_SS급,,0,0,MBox_Mt_SS,700123,70012303
미스테리박스_재료_S급,,90,0,MBox_Mt_S,700123,70012304
미스테리박스_재료_A급,,595,0,MBox_Mt_A,700123,70012305
미스테리박스_재료_B급,,0,0,MBox_Mt_B,700123,70012306
미스테리박스_재료_C급,,0,0,MBox_Mt_C,700123,70012307
미스테리박스_코인,,0,0,MBox_Coin,700123,70012308
미스테리박스_바다요정잠금아이템,,0,0,MBox_Unlock_Item,700123,70012309
미스테리박스_딸기쇼케잠금아이템,,120,0,MBox_Unlock_2,700123,70012310
미스터리박스_멜버잠금아이템,,120,0,MBox_Unlock_3,700123,70012311
미스터리박스_민들레잠금아이템,,130,0,MBox_Unlock_4,700123,70012312
미스테리박스_최고급보뽑,,14,0,MBox_TrTicket_3,700124,70012400
미스테리박스_고급보뽑,,0,0,MBox_TrTicket_2,700124,70012401
미스테리박스_유물,,175,0,MBox_Artifact,700124,70012402
미스테리박스_재료_SS급,,46,0,MBox_Mt_SS,700124,70012403
미스테리박스_재료_S급,,110,0,MBox_Mt_S,700124,70012404
미스테리박스_재료_A급,,0,0,MBox_Mt_A,700124,70012405
미스테리박스_재료_B급,,0,0,MBox_Mt_B,700124,70012406
미스테리박스_재료_C급,,0,0,MBox_Mt_C,700124,70012407
미스테리박스_코인,,0,0,MBox_Coin,700124,70012408
미스테리박스_바다요정잠금아이템,,200,0,MBox_Unlock_Item,700124,70012409
미스테리박스_딸기쇼케잠금아이템,,40,0,MBox_Unlock_2,700124,70012410
미스터리박스_멜버잠금아이템,,40,0,MBox_Unlock_3,700124,70012411
미스터리박스_멜버잠금아이템,,40,0,MBox_Unlock_4,700124,70012412
미스테리박스_최고급보뽑,,0,0,MBox_TrTicket_3,700131,70013100
미스테리박스_고급보뽑,,0,0,MBox_TrTicket_2,700131,70013101
미스테리박스_유물,,0,0,MBox_Artifact,700131,70013102
미스테리박스_재료_SS급,,0,0,MBox_Mt_SS,700131,70013103
미스테리박스_재료_S급,,0,0,MBox_Mt_S,700131,70013104
미스테리박스_재료_A급,,0,0,MBox_Mt_A,700131,70013105
미스테리박스_재료_B급,,150,0,MBox_Mt_B,700131,70013106
미스테리박스_재료_C급,,760,0,MBox_Mt_C,700131,70013107
미스테리박스_코인,,1010,0,MBox_Coin,700131,70013108
미스테리박스_바다요정잠금아이템,,0,0,MBox_Unlock_Item,700131,70013109
미스테리박스_딸기쇼케잠금아이템,,160,0,MBox_Unlock_2,700131,70013110
미스터리박스_멜버잠금아이템,,160,0,MBox_Unlock_3,700131,70013111
미스터리박스_민들레잠금아이템,,160,0,MBox_Unlock_4,700131,70013112
미스테리박스_최고급보뽑,,0,0,MBox_TrTicket_3,700132,70013200
미스테리박스_고급보뽑,,45,0,MBox_TrTicket_2,700132,70013201
미스테리박스_유물,,0,0,MBox_Artifact,700132,70013202
미스테리박스_재료_SS급,,0,0,MBox_Mt_SS,700132,70013203
미스테리박스_재료_S급,,0,0,MBox_Mt_S,700132,70013204
미스테리박스_재료_A급,,580,0,MBox_Mt_A,700132,70013205
미스테리박스_재료_B급,,1575,0,MBox_Mt_B,700132,70013206
미스테리박스_재료_C급,,0,0,MBox_Mt_C,700132,70013207
미스테리박스_코인,,600,0,MBox_Coin,700132,70013208
미스테리박스_바다요정잠금아이템,,0,0,MBox_Unlock_Item,700132,70013209
미스테리박스_딸기쇼케잠금아이템,,225,0,MBox_Unlock_2,700132,70013210
미스터리박스_멜버잠금아이템,,225,0,MBox_Unlock_3,700132,70013211
미스터리박스_민들레잠금아이템,,230,0,MBox_Unlock_4,700132,70013212
미스테리박스_최고급보뽑,,0,0,MBox_TrTicket_3,700133,70013300
미스테리박스_고급보뽑,,45,0,MBox_TrTicket_2,700133,70013301
미스테리박스_유물,,885,0,MBox_Artifact,700133,70013302
미스테리박스_재료_SS급,,0,0,MBox_Mt_SS,700133,70013303
미스테리박스_재료_S급,,180,0,MBox_Mt_S,700133,70013304
미스테리박스_재료_A급,,1170,0,MBox_Mt_A,700133,70013305
미스테리박스_재료_B급,,0,0,MBox_Mt_B,700133,70013306
미스테리박스_재료_C급,,0,0,MBox_Mt_C,700133,70013307
미스테리박스_코인,,0,0,MBox_Coin,700133,70013308
미스테리박스_바다요정잠금아이템,,0,0,MBox_Unlock_Item,700133,70013309
미스테리박스_딸기쇼케잠금아이템,,190,0,MBox_Unlock_2,700133,70013310
미스터리박스_멜버잠금아이템,,190,0,MBox_Unlock_3,700133,70013311
미스터리박스_민들레잠금아이템,,190,0,MBox_Unlock_4,700133,70013312
미스테리박스_최고급보뽑,,18,0,MBox_TrTicket_3,700134,70013400
미스테리박스_고급보뽑,,0,0,MBox_TrTicket_2,700134,70013401
미스테리박스_유물,,128,0,MBox_Artifact,700134,70013402
미스테리박스_재료_SS급,,135,0,MBox_Mt_SS,700134,70013403
미스테리박스_재료_S급,,135,0,MBox_Mt_S,700134,70013404
미스테리박스_재료_A급,,0,0,MBox_Mt_A,700134,70013405
미스테리박스_재료_B급,,0,0,MBox_Mt_B,700134,70013406
미스테리박스_재료_C급,,0,0,MBox_Mt_C,700134,70013407
미스테리박스_코인,,0,0,MBox_Coin,700134,70013408
미스테리박스_바다요정잠금아이템,,600,0,MBox_Unlock_Item,700134,70013409
미스테리박스_딸기쇼케잠금아이템,,84,0,MBox_Unlock_2,700134,70013410
미스터리박스_멜버잠금아이템,,84,0,MBox_Unlock_3,700134,70013411
미스터리박스_민들레잠금아이템,,86,0,MBox_Unlock_4,700134,70013412
미스테리박스_최고급보뽑,,0,0,MBox_TrTicket_3,700211,70021100
미스테리박스_고급보뽑,,0,0,MBox_TrTicket_2,700211,70021101
미스테리박스_유물,,0,0,MBox_Artifact,700211,70021102
미스테리박스_재료_SS급,,0,0,MBox_Mt_SS,700211,70021103
미스테리박스_재료_S급,,0,0,MBox_Mt_S,700211,70021104
미스테리박스_재료_A급,,0,0,MBox_Mt_A,700211,70021105
미스테리박스_재료_B급,,700,0,MBox_Mt_B,700211,70021106
미스테리박스_재료_C급,,1680,0,MBox_Mt_C,700211,70021107
미스테리박스_코인,,2100,0,MBox_Coin,700211,70021108
미스테리박스_바다요정잠금아이템,,0,0,MBox_Unlock_Item,700211,70021109
미스테리박스_딸기쇼케잠금아이템,,370,0,MBox_Unlock_2,700211,70021110
미스터리박스_멜버잠금아이템,,370,0,MBox_Unlock_3,700211,70021111
미스터리박스_민들레잠금아이템,,380,0,MBox_Unlock_4,700211,70021112
미스테리박스_최고급보뽑,,0,0,MBox_TrTicket_3,700212,70021200
미스테리박스_고급보뽑,,45,0,MBox_TrTicket_2,700212,70021201
미스테리박스_유물,,0,0,MBox_Artifact,700212,70021202
미스테리박스_재료_SS급,,0,0,MBox_Mt_SS,700212,70021203
미스테리박스_재료_S급,,0,0,MBox_Mt_S,700212,70021204
미스테리박스_재료_A급,,360,0,MBox_Mt_A,700212,70021205
미스테리박스_재료_B급,,1030,0,MBox_Mt_B,700212,70021206
미스테리박스_재료_C급,,0,0,MBox_Mt_C,700212,70021207
미스테리박스_코인,,424,0,MBox_Coin,700212,70021208
미스테리박스_바다요정잠금아이템,,0,0,MBox_Unlock_Item,700212,70021209
미스테리박스_딸기쇼케잠금아이템,,155,0,MBox_Unlock_2,700212,70021210
미스터리박스_멜버잠금아이템,,155,0,MBox_Unlock_3,700212,70021211
미스터리박스_민들레잠금아이템,,156,0,MBox_Unlock_4,700212,70021212
미스테리박스_최고급보뽑,,0,0,MBox_TrTicket_3,700213,70021300
미스테리박스_고급보뽑,,45,0,MBox_TrTicket_2,700213,70021301
미스테리박스_유물,,735,0,MBox_Artifact,700213,70021302
미스테리박스_재료_SS급,,0,0,MBox_Mt_SS,700213,70021303
미스테리박스_재료_S급,,90,0,MBox_Mt_S,700213,70021304
미스테리박스_재료_A급,,450,0,MBox_Mt_A,700213,70021305
미스테리박스_재료_B급,,0,0,MBox_Mt_B,700213,70021306
미스테리박스_재료_C급,,0,0,MBox_Mt_C,700213,70021307
미스테리박스_코인,,0,0,MBox_Coin,700213,70021308
미스테리박스_바다요정잠금아이템,,0,0,MBox_Unlock_Item,700213,70021309
미스테리박스_딸기쇼케잠금아이템,,110,0,MBox_Unlock_2,700213,70021310
미스터리박스_멜버잠금아이템,,110,0,MBox_Unlock_3,700213,70021311
미스터리박스_민들레잠금아이템,,110,0,MBox_Unlock_4,700213,70021312
미스테리박스_최고급보뽑,,0,0,MBox_TrTicket_3,700214,70021400
미스테리박스_고급보뽑,,0,0,MBox_TrTicket_2,700214,70021401
미스테리박스_유물,,132,0,MBox_Artifact,700214,70021402
미스테리박스_재료_SS급,,24,0,MBox_Mt_SS,700214,70021403
미스테리박스_재료_S급,,102,0,MBox_Mt_S,700214,70021404
미스테리박스_재료_A급,,0,0,MBox_Mt_A,700214,70021405
미스테리박스_재료_B급,,0,0,MBox_Mt_B,700214,70021406
미스테리박스_재료_C급,,0,0,MBox_Mt_C,700214,70021407
미스테리박스_코인,,0,0,MBox_Coin,700214,70021408
미스테리박스_바다요정잠금아이템,,81,0,MBox_Unlock_Item,700214,70021409
미스테리박스_딸기쇼케잠금아이템,,28,0,MBox_Unlock_2,700214,70021410
미스터리박스_멜버잠금아이템,,28,0,MBox_Unlock_3,700214,70021411
미스터리박스_민들레잠금아이템,,30,0,MBox_Unlock_4,700214,70021412
미스테리박스_최고급보뽑,,0,0,MBox_TrTicket_3,700221,70022100
미스테리박스_고급보뽑,,0,0,MBox_TrTicket_2,700221,70022101
미스테리박스_유물,,0,0,MBox_Artifact,700221,70022102
미스테리박스_재료_SS급,,0,0,MBox_Mt_SS,700221,70022103
미스테리박스_재료_S급,,0,0,MBox_Mt_S,700221,70022104
미스테리박스_재료_A급,,0,0,MBox_Mt_A,700221,70022105
미스테리박스_재료_B급,,130,0,MBox_Mt_B,700221,70022106
미스테리박스_재료_C급,,680,0,MBox_Mt_C,700221,70022107
미스테리박스_코인,,710,0,MBox_Coin,700221,70022108
미스테리박스_바다요정잠금아이템,,0,0,MBox_Unlock_Item,700221,70022109
미스테리박스_딸기쇼케잠금아이템,,126,0,MBox_Unlock_2,700221,70022110
미스터리박스_멜버잠금아이템,,126,0,MBox_Unlock_3,700221,70022111
미스터리박스_민들레잠금아이템,,128,0,MBox_Unlock_4,700221,70022112
미스테리박스_최고급보뽑,,0,0,MBox_TrTicket_3,700222,70022200
미스테리박스_고급보뽑,,45,0,MBox_TrTicket_2,700222,70022201
미스테리박스_유물,,0,0,MBox_Artifact,700222,70022202
미스테리박스_재료_SS급,,0,0,MBox_Mt_SS,700222,70022203
미스테리박스_재료_S급,,0,0,MBox_Mt_S,700222,70022204
미스테리박스_재료_A급,,545,0,MBox_Mt_A,700222,70022205
미스테리박스_재료_B급,,1600,0,MBox_Mt_B,700222,70022206
미스테리박스_재료_C급,,0,0,MBox_Mt_C,700222,70022207
미스테리박스_코인,,530,0,MBox_Coin,700222,70022208
미스테리박스_바다요정잠금아이템,,0,0,MBox_Unlock_Item,700222,70022209
미스테리박스_딸기쇼케잠금아이템,,226,0,MBox_Unlock_2,700222,70022210
미스터리박스_멜버잠금아이템,,226,0,MBox_Unlock_3,700222,70022211
미스터리박스_민들레잠금아이템,,228,0,MBox_Unlock_4,700222,70022212
미스테리박스_최고급보뽑,,0,0,MBox_TrTicket_3,700223,70022300
미스테리박스_고급보뽑,,45,0,MBox_TrTicket_2,700223,70022301
미스테리박스_유물,,1205,0,MBox_Artifact,700223,70022302
미스테리박스_재료_SS급,,0,0,MBox_Mt_SS,700223,70022303
미스테리박스_재료_S급,,180,0,MBox_Mt_S,700223,70022304
미스테리박스_재료_A급,,1170,0,MBox_Mt_A,700223,70022305
미스테리박스_재료_B급,,0,0,MBox_Mt_B,700223,70022306
미스테리박스_재료_C급,,0,0,MBox_Mt_C,700223,70022307
미스테리박스_코인,,0,0,MBox_Coin,700223,70022308
미스테리박스_바다요정잠금아이템,,0,0,MBox_Unlock_Item,700223,70022309
미스테리박스_딸기쇼케잠금아이템,,216,0,MBox_Unlock_2,700223,70022310
미스터리박스_멜버잠금아이템,,216,0,MBox_Unlock_3,700223,70022311
미스터리박스_민들레잠금아이템,,218,0,MBox_Unlock_4,700223,70022312
미스테리박스_최고급보뽑,,23,0,MBox_TrTicket_3,700224,70022400
미스테리박스_고급보뽑,,0,0,MBox_TrTicket_2,700224,70022401
미스테리박스_유물,,347,0,MBox_Artifact,700224,70022402
미스테리박스_재료_SS급,,100,0,MBox_Mt_SS,700224,70022403
미스테리박스_재료_S급,,210,0,MBox_Mt_S,700224,70022404
미스테리박스_재료_A급,,0,0,MBox_Mt_A,700224,70022405
미스테리박스_재료_B급,,0,0,MBox_Mt_B,700224,70022406
미스테리박스_재료_C급,,0,0,MBox_Mt_C,700224,70022407
미스테리박스_코인,,0,0,MBox_Coin,700224,70022408
미스테리박스_바다요정잠금아이템,,480,0,MBox_Unlock_Item,700224,70022409
미스테리박스_딸기쇼케잠금아이템,,96,0,MBox_Unlock_2,700224,70022410
미스터리박스_멜버잠금아이템,,96,0,MBox_Unlock_3,700224,70022411
미스터리박스_민들레잠금아이템,,98,0,MBox_Unlock_4,700224,70022412
미스테리박스_최고급보뽑,,0,0,MBox_TrTicket_3,700231,70023100
미스테리박스_고급보뽑,,0,0,MBox_TrTicket_2,700231,70023101
미스테리박스_유물,,0,0,MBox_Artifact,700231,70023102
미스테리박스_재료_SS급,,0,0,MBox_Mt_SS,700231,70023103
미스테리박스_재료_S급,,0,0,MBox_Mt_S,700231,70023104
미스테리박스_재료_A급,,0,0,MBox_Mt_A,700231,70023105
미스테리박스_재료_B급,,80,0,MBox_Mt_B,700231,70023106
미스테리박스_재료_C급,,80,0,MBox_Mt_C,700231,70023107
미스테리박스_코인,,480,0,MBox_Coin,700231,70023108
