Cooltime,Sound_m4a,Sound_ogg,Sound_test,_key
0,rp_result_coin.m4a,rp_result_coin.ogg,rp_result_coin.m4a,RandomPet_Result_Coin
0,rp_result_s.m4a,rp_result_s.ogg,rp_result_s.m4a,RandomPet_Result_S
0,rt_loading.m4a,rt_loading.ogg,rt_loading.m4a,RandomTreasure_Loading
0,rt_move_box.m4a,rt_move_box.ogg,rt_move_box.m4a,RandomTreasure_MoveBox
0,rt_open_box.m4a,rt_open_box.ogg,rt_open_box.m4a,RandomTreasure_OpenBox
0,rp_result_a.m4a,rp_result_a.ogg,rp_result_a.m4a,RandomTreasure_Result_A
0,rp_result_coin.m4a,rp_result_coin.ogg,rp_result_coin.m4a,RandomTreasure_Result_BC
0,rp_result_s.m4a,rp_result_s.ogg,rp_result_s.m4a,RandomTreasure_Result_S
0.05,Ranger_ShotRifle.m4a,Ranger_ShotRifle.ogg,Ranger_ShotRifle.m4a,Ranger_ShotRifle
0.1,g_obs2.m4a,g_obs2.ogg,g_obs2.m4a,Ranger_StarCandyBomb
0,r_extrascore.m4a,r_extrascore.ogg,r_extrascore.m4a,Result_AdditionalScore
0,r_passed.m4a,r_passed.ogg,r_passed.m4a,Result_DefeatFriend
0,r_unlock.m4a,r_unlock.ogg,r_unlock.m4a,Result_LevelReward
0,r_unlock.m4a,r_unlock.ogg,r_unlock.m4a,Result_LevelUnlock
0,r_levelup.m4a,r_levelup.ogg,r_levelup.m4a,Result_LevelUp
0,r_medal.m4a,r_medal.ogg,r_medal.m4a,Result_Medal
0,r_score.m4a,r_score.ogg,r_score.m4a,Result_MyScore
0,r_newrecord.m4a,r_newrecord.ogg,r_newrecord.m4a,Result_NewRecord
0,r_page.m4a,r_page.ogg,r_page.m4a,Result_ScreenChange
0,r_unlock.m4a,r_unlock.ogg,r_unlock.m4a,Result_Tip
0.1,RockStar_Note_Spreads_Normal_01.m4a,RockStar_Note_Spreads_Normal_01.ogg,RockStar_Note_Spreads_Normal_01.m4a,RockStarMakeNoteJelly
0.1,RockStar_Note_Spreads_Perfect_01.m4a,RockStar_Note_Spreads_Perfect_01.ogg,RockStar_Note_Spreads_Perfect_01.m4a,RockStarMakeNoteJellyMaxSliding
0.1,RockStar_Note_Spreads_Perfect_02.m4a,RockStar_Note_Spreads_Perfect_02.ogg,RockStar_Note_Spreads_Perfect_02.m4a,RockStarMakeNoteJellyMaxSliding_1
0.1,RockStar_Note_Spreads_Perfect_03.m4a,RockStar_Note_Spreads_Perfect_03.ogg,RockStar_Note_Spreads_Perfect_03.m4a,RockStarMakeNoteJellyMaxSliding_2
0.1,RockStar_Note_Spreads_Normal_02.m4a,RockStar_Note_Spreads_Normal_02.ogg,RockStar_Note_Spreads_Normal_02.m4a,RockStarMakeNoteJelly_1
0.1,RockStar_Note_Spreads_Normal_03.m4a,RockStar_Note_Spreads_Normal_03.ogg,RockStar_Note_Spreads_Normal_03.m4a,RockStarMakeNoteJelly_2
0.1,Rockstar_Gauge_Full_Notify.m4a,Rockstar_Gauge_Full_Notify.ogg,Rockstar_Gauge_Full_Notify.m4a,RockStarMaxSliding
0,,,,RockStarSliding
0,r_medal.m4a,r_medal.ogg,r_medal.m4a,Shop_Pet_Result_Pop
0,s_random_boost.m4a,s_random_boost.ogg,s_random_boost.m4a,Shop_Random_Boost
0,s_buy_success.m4a,s_buy_success.ogg,s_buy_success.m4a,Shop_buy_Success
0,SnowSugar_Summon1Start.m4a,SnowSugar_Summon1Start.ogg,SnowSugar_Summon1Start.m4a,SnowSugar_Summon1Start
0,SnowSugar_Summon2End.m4a,SnowSugar_Summon2End.ogg,SnowSugar_Summon2End.m4a,SnowSugar_Summon2End
0,SnowSugar_Summon2Start.m4a,SnowSugar_Summon2Start.ogg,SnowSugar_Summon2Start.m4a,SnowSugar_Summon2Start
0.1,Soda_TransformEnd.m4a,Soda_TransformEnd.ogg,Soda_TransformEnd.m4a,Soda_TransformEnd
0.1,Soda_TransformFlight.m4a,Soda_TransformFlight.ogg,Soda_TransformFlight.m4a,Soda_TransformFlight
0.1,Soda_TransformStart.m4a,Soda_TransformStart.ogg,Soda_TransformStart.m4a,Soda_TransformStart
0.1,Soda_Wave_ObstacleBlowBack.m4a,Soda_Wave_ObstacleBlowBack.ogg,Soda_Wave_ObstacleBlowBack.m4a,Soda_Wave_ObstacleBlowBack
0,bgm_fever.m4a,bgm_fever.ogg,bgm_fever.m4a,SoundBgm_FeverModeBgm
0,bgm_fever2.m4a,bgm_fever2.ogg,bgm_fever2.m4a,SoundBgm_FeverModeBgm2
0,bgm_fever2_rockstar.m4a,bgm_fever2_rockstar.ogg,bgm_fever2_rockstar.m4a,SoundBgm_FeverModeBgm2_rockstar
0,bgm_fever3.m4a,bgm_fever3.ogg,bgm_fever3.m4a,SoundBgm_FeverModeBgm3
0,bgm_fever3_rockstar.m4a,bgm_fever3_rockstar.ogg,bgm_fever3_rockstar.m4a,SoundBgm_FeverModeBgm3_rockstar
0,bgm_fever_rockstar.m4a,bgm_fever_rockstar.ogg,bgm_fever_rockstar.m4a,SoundBgm_FeverModeBgm_rockstar
0,bgm_lobby.m4a,bgm_lobby.ogg,bgm_lobby.m4a,SoundBgm_LobbyBgm
0,bgm_lobby.m4a,bgm_lobby.ogg,bgm_lobby.m4a,SoundBgm_LobbyBgm2
0,bgm_main.m4a,bgm_main.ogg,bgm_main.m4a,SoundBgm_MainGameBgm
0,bgm_main2.m4a,bgm_main2.ogg,bgm_main2.m4a,SoundBgm_MainGameBgm2
0,bgm_main3.m4a,bgm_main3.ogg,bgm_main3.m4a,SoundBgm_MainGameBgm3
0,bgm_main_rockstar.m4a,bgm_main_rockstar.ogg,bgm_main_rockstar.m4a,SoundBgm_RockStarBgm
0,r_medal.m4a,r_medal.ogg,r_medal.m4a,SoundEff_ActivityGiftPang
0.1,SoundEff_AlchemistChangeMagic.m4a,SoundEff_AlchemistChangeMagic.ogg,SoundEff_AlchemistChangeMagic.m4a,SoundEff_AlchemistChangeMagic
5,SoundEff_AlchemistExplosion.m4a,SoundEff_AlchemistExplosion.ogg,SoundEff_AlchemistExplosion.m4a,SoundEff_AlchemistExplosion
5,SoundEff_AlchemistReady.m4a,SoundEff_AlchemistReady.ogg,SoundEff_AlchemistReady.m4a,SoundEff_AlchemistReady
5,SoundEff_AlchemistThrowing.m4a,SoundEff_AlchemistThrowing.ogg,SoundEff_AlchemistThrowing.m4a,SoundEff_AlchemistThrowing
0,Bard_Destruction.m4a,Bard_Destruction.ogg,Bard_Destruction.m4a,SoundEff_BardDestruction
0,Bard_Life.m4a,Bard_Life.ogg,Bard_Life.m4a,SoundEff_BardLife
0,Bard_Richness.m4a,Bard_Richness.ogg,Bard_Richness.m4a,SoundEff_BardRichness
0,g_combo.m4a,g_combo.ogg,g_combo.m4a,SoundEff_BonusCombo
0,Cherry_Bomb.m4a,Cherry_Bomb.ogg,Cherry_Bomb.m4a,SoundEff_CherryBomb
0,Cherry_Throwing_Mad.m4a,Cherry_Throwing_Mad.ogg,Cherry_Throwing_Mad.m4a,SoundEff_CherryBomb_Throwing_Mad
0,Cherry_Throwing_Normal.m4a,Cherry_Throwing_Normal.ogg,Cherry_Throwing_Normal.m4a,SoundEff_CherryBomb_Throwing_Normal
0.01,g_obs3.m4a,g_obs3.ogg,g_obs3.m4a,SoundEff_CrashWithBody
0.01,g_obs2.m4a,g_obs2.ogg,g_obs2.m4a,SoundEff_CrashWithPower
0.01,g_obs1.m4a,g_obs1.ogg,g_obs1.m4a,SoundEff_CrashWithShield
0,r_newrecord.m4a,r_newrecord.ogg,r_newrecord.m4a,SoundEff_DailyBonus
0,i_feverin.m4a,i_feverin.ogg,i_feverin.m4a,SoundEff_FeverMode_Start
0,g_end.m4a,g_end.ogg,g_end.m4a,SoundEff_GameEnd
0,g_start.m4a,g_start.ogg,g_start.m4a,SoundEff_GameStart
0.01,g_alphabet.m4a,g_alphabet.ogg,g_alphabet.m4a,SoundEff_GetAlphabetJelly
0.01,g_alphabet.m4a,g_alphabet.ogg,g_alphabet.m4a,SoundEff_GetBearJelly
0.01,g_BigBearJelly.m4a,g_BigBearJelly.ogg,g_BigBearJelly.m4a,SoundEff_GetBigBearJelly
0.01,g_BigCoinJelly.m4a,g_BigCoinJelly.ogg,g_BigCoinJelly.m4a,SoundEff_GetBigCoinJelly
0.01,g_coin.m4a,g_coin.ogg,g_coin.m4a,SoundEff_GetCoinJelly
0.01,g_gold.m4a,g_gold.ogg,g_glod.m4a,SoundEff_GetGoldJelly
0.01,g_GoldenBellJelly.m4a,g_GoldenBellJelly.ogg,g_GoldenBellJelly.m4a,SoundEff_GetGoldenBellJelly
0.01,g_ijelly.m4a,g_ijelly.ogg,g_ijelly.m4a,SoundEff_GetItemJelly
0.01,g_jelly.m4a,g_jelly.ogg,g_jelly.m4a,SoundEff_GetJelly
0.01,g_SoulJelly.m4a,g_SoulJelly.ogg,g_SoulJelly.m4a,SoundEff_GetSoulJelly
0,g_ghostmode_pass.m4a,g_ghostmode_pass.ogg,g_ghostmode_pass.m4a,SoundEff_GhostModeCrash
0,g_ghostmode_start.m4a,g_ghostmode_start.ogg,g_ghostmode_start.m4a,SoundEff_GhostMode_Start
0,i_invincible.m4a,i_invincible.ogg,i_invincible.m4a,SoundEff_HeadBlast_Start
0.1,g_obs2.m4a,g_obs2.ogg,g_obs2.m4a,SoundEff_JellychoExplosion
0,i_large_energy.m4a,i_large_energy.ogg,i_large_energy.m4a,SoundEff_Large_Energy
0.1,SoundEff_ObstacleHeart.m4a,SoundEff_ObstacleHeart.ogg,SoundEff_ObstacleHeart.m4a,SoundEff_ObstacleHeart
0.1,SoundEff_ObstacleSoda.m4a,SoundEff_ObstacleSoda.ogg,SoundEff_ObstacleSoda.m4a,SoundEff_ObstacleSoda
0.01,g_obs2.m4a,g_obs2.ogg,g_obs2.m4a,SoundEff_Pet_Bomb
0,g_obs2.m4a,g_obs2.ogg,g_obs2.m4a,SoundEff_Pet_Dragon_Crash
0,g_dragon_start.m4a,g_dragon_start.ogg,g_dragon_start.m4a,SoundEff_Pet_Dragon_Start
0,pet_rescue.wav,pet_rescue.wav,pet_rescue.wav,SoundEff_Pet_Rescue
0,Rescue_Blast_End.m4a,Rescue_Blast_End.ogg,Rescue_Blast_End.m4a,SoundEff_Pet_Rescue_Blast_End
0,Rescue_Blast_Ready.m4a,Rescue_Blast_Ready.ogg,Rescue_Blast_Ready.m4a,SoundEff_Pet_Rescue_Blast_Ready
0,Rescue_Blast_Start.m4a,Rescue_Blast_Start.ogg,Rescue_Blast_Start.m4a,SoundEff_Pet_Rescue_Blast_Start
1,SpotLight_Activated.m4a,SpotLight_Activated.ogg,SpotLight_Activated.m4a,SoundEff_Pet_Spotlight_Start
0,g_relay.m4a,g_relay.ogg,g_relay.m4a,SoundEff_RelayRunning_Start
0,r_unlock.m4a,r_unlock.ogg,r_unlock.m4a,SoundEff_Revive_EffectStart
0,r_levelup.m4a,r_levelup.ogg,r_levelup.m4a,SoundEff_Revive_ReviveStart
0,i_small_energy.m4a,i_small_energy.ogg,i_small_energy.m4a,SoundEff_Small_Energy
0.1,g_obs2.m4a,g_obs2.ogg,g_obs2.m4a,SoundEff_StarCandyExplosion
0,r_newrecord.m4a,r_newrecord.ogg,r_newrecord.m4a,SoundEff_TutorialPopup
0,ui_1.m4a,ui_1.ogg,ui_1.m4a,SoundEff_UIButton
0,ui_2.m4a,ui_2.ogg,ui_2.m4a,SoundEff_UIEquipmentButton
0,g_ijelly.m4a,g_ijelly.ogg,g_ijelly.m4a,SoundEff_item02_Start
0,i_invincible.m4a,i_invincible.ogg,i_invincible.m4a,SoundEff_item03_Loop
0,i_giant.m4a,i_giant.ogg,i_giant.m4a,SoundEff_item04_Start
0,i_magnet.m4a,i_magnet.ogg,i_magnet.m4a,SoundEff_item05_Loop
0,i_coin.m4a,i_coin.ogg,i_coin.m4a,SoundEff_item06_Start
0,i_jelly.m4a,i_jelly.ogg,i_jelly.m4a,SoundEff_item07_Start
0,SoundEff_ObstacleHeart.m4a,SoundEff_ObstacleHeart.ogg,SoundEff_ObstacleHeart.m4a,SoundEffect_MagicalGirlMagicExplosion
0,SoundEffect_MagicalGirlMagicShot.m4a,SoundEffect_MagicalGirlMagicShot.ogg,SoundEffect_MagicalGirlMagicShot.m4a,SoundEffect_MagicalGirlMagicShot
1,SuperDevil_ChangeStart.m4a,SuperDevil_ChangeStart.ogg,SuperDevil_ChangeStart.m4a,SuperDevil_ChangeStart
1,SuperDevil_FlightEnd.m4a,SuperDevil_FlightEnd.ogg,SuperDevil_FlightEnd.m4a,SuperDevil_FlightEnd
1,SuperDevil_FlightStart.m4a,SuperDevil_FlightStart.ogg,SuperDevil_FlightStart.m4a,SuperDevil_FlightStart
1,SuperHero_ChangeStart.m4a,SuperHero_ChangeStart.ogg,SuperHero_ChangeStart.m4a,SuperHero_ChangeStart
