break_qty,gen_qty,powder_group,tag,_key
1161,99999999,TR2X_A+,2,248
1167,99999999,TR2X_A+,3,249
1330,99999999,TR_E2,9,25
1179,99999999,TR2X_A+,4,250
1194,99999999,TR2X_A+,5,251
1212,99999999,TR2X_A+,6,252
1233,99999999,TR2X_A+,7,253
1266,99999999,TR2X_A+,8,254
1401,99999999,TR2X_A+,9,255
1551,99999999,TR2X_A+,10,256
2055,99999999,TR2X_A++,1,257
2061,99999999,TR2X_A++,2,258
2067,99999999,TR2X_A++,3,259
2130,99999999,TR_E2,10,26
2079,99999999,TR2X_A++,4,260
2094,99999999,TR2X_A++,5,261
2112,99999999,TR2X_A++,6,262
2133,99999999,TR2X_A++,7,263
2166,99999999,TR2X_A++,8,264
2301,99999999,TR2X_A++,9,265
2451,99999999,TR2X_A++,10,266
3630,99999999,TR2X_S,1,267
3639,99999999,TR2X_S,2,268
3654,99999999,TR2X_S,3,269
340,99999999,TR_E3,1,27
3672,99999999,TR2X_S,4,270
3708,99999999,TR2X_S,5,271
3747,99999999,TR2X_S,6,272
3786,99999999,TR2X_S,7,273
3969,99999999,TR2X_S,8,274
4170,99999999,TR2X_S,9,275
4392,99999999,TR2X_S,10,276
3930,99999999,TR2X_S+,1,277
3939,99999999,TR2X_S+,2,278
3954,99999999,TR2X_S+,3,279
420,99999999,TR_E3,2,28
3972,99999999,TR2X_S+,4,280
4008,99999999,TR2X_S+,5,281
4047,99999999,TR2X_S+,6,282
4086,99999999,TR2X_S+,7,283
4269,99999999,TR2X_S+,8,284
4470,99999999,TR2X_S+,9,285
4692,99999999,TR2X_S+,10,286
5730,99999999,TR2X_S++,1,287
5739,99999999,TR2X_S++,2,288
5754,99999999,TR2X_S++,3,289
500,99999999,TR_E3,3,29
5772,99999999,TR2X_S++,4,290
5808,99999999,TR2X_S++,5,291
5847,99999999,TR2X_S++,6,292
5886,99999999,TR2X_S++,7,293
6069,99999999,TR2X_S++,8,294
6270,99999999,TR2X_S++,9,295
6492,99999999,TR2X_S++,10,296
8430,99999999,TR2X_SS,1,297
8439,99999999,TR2X_SS,2,298
8454,99999999,TR2X_SS,3,299
50,800,MT_A,1,3
610,99999999,TR_E3,4,30
8472,99999999,TR2X_SS,4,300
8508,99999999,TR2X_SS,5,301
8547,99999999,TR2X_SS,6,302
8586,99999999,TR2X_SS,7,303
8769,99999999,TR2X_SS,8,304
8970,99999999,TR2X_SS,9,305
9192,99999999,TR2X_SS,10,306
790,99999999,TR_E3,5,31
1030,99999999,TR_E3,6,32
1320,99999999,TR_E3,7,33
1740,99999999,TR_E3,8,34
2410,99999999,TR_E3,9,35
3840,99999999,TR_E3,10,36
3,99999999,TR_C,1,37
4,99999999,TR_C,2,38
5,99999999,TR_C,3,39
150,2400,MT_AX,1,4
6,99999999,TR_C,4,40
8,99999999,TR_C,5,41
9,99999999,TR_C,6,42
12,99999999,TR_C,7,43
13,99999999,TR_C,8,44
17,99999999,TR_C,9,45
21,99999999,TR_C,10,46
15,99999999,TR_B,1,47
16,99999999,TR_B,2,48
18,99999999,TR_B,3,49
120,4000,MT_S,1,5
20,99999999,TR_B,4,50
24,99999999,TR_B,5,51
28,99999999,TR_B,6,52
33,99999999,TR_B,7,53
41,99999999,TR_B,8,54
49,99999999,TR_B,9,55
58,99999999,TR_B,10,56
80,99999999,TR_A,1,57
82,99999999,TR_A,2,58
84,99999999,TR_A,3,59
800,8000,MT_SS,1,6
88,99999999,TR_A,4,60
93,99999999,TR_A,5,61
99,99999999,TR_A,6,62
106,99999999,TR_A,7,63
117,99999999,TR_A,8,64
162,99999999,TR_A,9,65
212,99999999,TR_A,10,66
160,99999999,TR_S,1,67
163,99999999,TR_S,2,68
168,99999999,TR_S,3,69
3,99999999,TR_E,1,7
174,99999999,TR_S,4,70
186,99999999,TR_S,5,71
199,99999999,TR_S,6,72
212,99999999,TR_S,7,73
273,99999999,TR_S,8,74
340,99999999,TR_S,9,75
414,99999999,TR_S,10,76
58,99999999,TR2_E,1,77
59,99999999,TR2_E,2,78
60,99999999,TR2_E,3,79
4,99999999,TR_E,2,8
61,99999999,TR2_E,4,80
63,99999999,TR2_E,5,81
64,99999999,TR2_E,6,82
67,99999999,TR2_E,7,83
68,99999999,TR2_E,8,84
72,99999999,TR2_E,9,85
76,99999999,TR2_E,10,86
58,99999999,TR2_C,1,87
59,99999999,TR2_C,2,88
60,99999999,TR2_C,3,89
5,99999999,TR_E,3,9
61,99999999,TR2_C,4,90
63,99999999,TR2_C,5,91
64,99999999,TR2_C,6,92
67,99999999,TR2_C,7,93
68,99999999,TR2_C,8,94
72,99999999,TR2_C,9,95
76,99999999,TR2_C,10,96
118,99999999,TR2_C+,1,97
119,99999999,TR2_C+,2,98
120,99999999,TR2_C+,3,99
