BasicEnergy,Gender,Id_1,Id_10,Id_2,Id_3,Id_4,Id_5,Id_6,Id_7,Id_8,Id_9,OwnedPriority,PurchaseType,ResourceKeyString,SecondaryResourceKeyString,SubKey_1,SubKey_10,SubKey_2,SubKey_3,SubKey_4,SubKey_5,SubKey_6,SubKey_7,SubKey_8,SubKey_9,UnlockId,Value_1,Value_10,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7,Value_8,Value_9,_key
150,0,1004,,1005,,,,,,,,0,0,ch04,,,,,,,,,,,,0,1170,,1070,,,,,,,,100405
160,0,1004,,1005,,,,,,,,0,0,ch04,,,,,,,,,,,,0,1180,,1080,,,,,,,,100406
160,0,1004,,1005,,,,,,,,0,0,ch04,,,,,,,,,,,,0,1190,,1090,,,,,,,,100407
160,0,1004,,1005,,,,,,,,0,0,ch04,,,,,,,,,,,,0,1200,,1100,,,,,,,,100408
100,0,1013,,,,,,,,,,0,0,ch05,,,,,,,,,,,,50,150,,,,,,,,,,100501
105,0,1013,,,,,,,,,,0,0,ch05,,,,,,,,,,,,0,170,,,,,,,,,,100502
110,0,1013,,,,,,,,,,0,0,ch05,,,,,,,,,,,,0,190,,,,,,,,,,100503
115,0,1013,,,,,,,,,,0,0,ch05,,,,,,,,,,,,0,210,,,,,,,,,,100504
120,0,1013,,,,,,,,,,0,0,ch05,,,,,,,,,,,,0,230,,,,,,,,,,100505
125,0,1013,,,,,,,,,,0,0,ch05,,,,,,,,,,,,0,250,,,,,,,,,,100506
130,0,1013,,,,,,,,,,0,0,ch05,,,,,,,,,,,,0,300,,,,,,,,,,100507
135,0,1013,,,,,,,,,,0,0,ch05,,,,,,,,,,,,0,350,,,,,,,,,,100508
100,0,1004,,,,,,,,,,0,0,ch06,,,,,,,,,,,,7,1050,,,,,,,,,,100601
105,0,1004,,,,,,,,,,0,0,ch06,,,,,,,,,,,,0,1080,,,,,,,,,,100602
110,0,1004,,,,,,,,,,0,0,ch06,,,,,,,,,,,,0,1110,,,,,,,,,,100603
115,0,1004,,,,,,,,,,0,0,ch06,,,,,,,,,,,,0,1140,,,,,,,,,,100604
120,0,1004,,,,,,,,,,0,0,ch06,,,,,,,,,,,,0,1170,,,,,,,,,,100605
125,0,1004,,,,,,,,,,0,0,ch06,,,,,,,,,,,,0,1200,,,,,,,,,,100606
130,0,1004,,,,,,,,,,0,0,ch06,,,,,,,,,,,,0,1220,,,,,,,,,,100607
135,0,1004,,,,,,,,,,0,0,ch06,,,,,,,,,,,,0,1250,,,,,,,,,,100608
150,0,1021,,,,,,,,,,0,0,ch07,,,,,,,,,,,,11,1,,,,,,,,,,100701
152,0,1021,,,,,,,,,,0,0,ch07,,,,,,,,,,,,0,2,,,,,,,,,,100702
154,0,1021,,,,,,,,,,0,0,ch07,,,,,,,,,,,,0,3,,,,,,,,,,100703
156,0,1021,,,,,,,,,,0,0,ch07,,,,,,,,,,,,0,4,,,,,,,,,,100704
158,0,1021,,,,,,,,,,0,0,ch07,,,,,,,,,,,,0,5,,,,,,,,,,100705
160,0,1021,,,,,,,,,,0,0,ch07,,,,,,,,,,,,0,6,,,,,,,,,,100706
160,0,1021,,,,,,,,,,0,0,ch07,,,,,,,,,,,,0,7,,,,,,,,,,100707
160,0,1021,,,,,,,,,,0,0,ch07,,,,,,,,,,,,0,8,,,,,,,,,,100708
130,0,1025,,,,,,,,,,0,0,ch08,,,,,,,,,,,,58,700,,,,,,,,,,100801
134,0,1025,,,,,,,,,,0,0,ch08,,,,,,,,,,,,0,670,,,,,,,,,,100802
138,0,1025,,,,,,,,,,0,0,ch08,,,,,,,,,,,,0,640,,,,,,,,,,100803
142,0,1025,,,,,,,,,,0,0,ch08,,,,,,,,,,,,0,610,,,,,,,,,,100804
146,0,1025,,,,,,,,,,0,0,ch08,,,,,,,,,,,,0,580,,,,,,,,,,100805
150,0,1025,,,,,,,,,,0,0,ch08,,,,,,,,,,,,0,550,,,,,,,,,,100806
150,0,1025,,,,,,,,,,0,0,ch08,,,,,,,,,,,,0,530,,,,,,,,,,100807
150,0,1025,,,,,,,,,,0,0,ch08,,,,,,,,,,,,0,500,,,,,,,,,,100808
130,0,1035,,1053,1343,,,,,,,0,0,ch09,,,,,,,,,,,,55,1200,,1200,1,,,,,,,100901
134,0,1035,,1053,1343,,,,,,,0,0,ch09,,,,,,,,,,,,0,1230,,1230,1,,,,,,,100902
138,0,1035,,1053,1343,,,,,,,0,0,ch09,,,,,,,,,,,,0,1260,,1260,1,,,,,,,100903
142,0,1035,,1053,1343,,,,,,,0,0,ch09,,,,,,,,,,,,0,1290,,1290,1,,,,,,,100904
146,0,1035,,1053,1343,,,,,,,0,0,ch09,,,,,,,,,,,,0,1320,,1320,1,,,,,,,100905
150,0,1035,,1053,1343,,,,,,,0,0,ch09,,,,,,,,,,,,0,1350,,1350,1,,,,,,,100906
150,0,1035,,1053,1343,,,,,,,0,0,ch09,,,,,,,,,,,,0,1380,,1380,1,,,,,,,100907
150,0,1035,,1053,1343,,,,,,,0,0,ch09,,,,,,,,,,,,0,1400,,1400,1,,,,,,,100908
130,0,1026,,,,,,,,,,0,0,ch10,,,,,,,,,,,,28,1200,,,,,,,,,,101001
134,0,1026,,,,,,,,,,0,0,ch10,,,,,,,,,,,,0,1210,,,,,,,,,,101002
138,0,1026,,,,,,,,,,0,0,ch10,,,,,,,,,,,,0,1220,,,,,,,,,,101003
142,0,1026,,,,,,,,,,0,0,ch10,,,,,,,,,,,,0,1230,,,,,,,,,,101004
146,0,1026,,,,,,,,,,0,0,ch10,,,,,,,,,,,,0,1240,,,,,,,,,,101005
150,0,1026,,,,,,,,,,0,0,ch10,,,,,,,,,,,,0,1250,,,,,,,,,,101006
150,0,1026,,,,,,,,,,0,0,ch10,,,,,,,,,,,,0,1270,,,,,,,,,,101007
150,0,1026,,,,,,,,,,0,0,ch10,,,,,,,,,,,,0,1290,,,,,,,,,,101008
0,0,1022,,,,,,,,,,0,0,upgrade01_01,,,,,,,,,,,,0,23,,,,,,,,,,10101
0,0,1022,,,,,,,,,,0,0,upgrade01_02,,,,,,,,,,,,0,28,,,,,,,,,,10102
0,0,1022,,,,,,,,,,0,0,upgrade01_03,,,,,,,,,,,,0,33,,,,,,,,,,10103
0,0,1022,,,,,,,,,,0,0,upgrade01_04,,,,,,,,,,,,0,38,,,,,,,,,,10104
0,0,1022,,,,,,,,,,0,0,upgrade01_05,,,,,,,,,,,,0,43,,,,,,,,,,10105
0,0,1022,,,,,,,,,,0,0,upgrade01_06,,,,,,,,,,,,0,48,,,,,,,,,,10106
0,0,1022,,,,,,,,,,0,0,upgrade01_07,,,,,,,,,,,,0,53,,,,,,,,,,10107
0,0,1022,,,,,,,,,,0,0,upgrade01_08,,,,,,,,,,,,0,58,,,,,,,,,,10108
0,0,1022,,,,,,,,,,0,0,upgrade01_09,,,,,,,,,,,,0,63,,,,,,,,,,10109
0,0,1022,,,,,,,,,,0,0,upgrade01_10,,,,,,,,,,,,0,68,,,,,,,,,,10110
130,0,1039,,,,,,,,,,0,0,ch11,,,,,,,,,,,,9,1150,,,,,,,,,,101101
134,0,1039,,,,,,,,,,0,0,ch11,,,,,,,,,,,,0,1180,,,,,,,,,,101102
138,0,1039,,,,,,,,,,0,0,ch11,,,,,,,,,,,,0,1210,,,,,,,,,,101103
142,0,1039,,,,,,,,,,0,0,ch11,,,,,,,,,,,,0,1240,,,,,,,,,,101104
146,0,1039,,,,,,,,,,0,0,ch11,,,,,,,,,,,,0,1270,,,,,,,,,,101105
150,0,1039,,,,,,,,,,0,0,ch11,,,,,,,,,,,,0,1300,,,,,,,,,,101106
150,0,1039,,,,,,,,,,0,0,ch11,,,,,,,,,,,,0,1320,,,,,,,,,,101107
150,0,1039,,,,,,,,,,0,0,ch11,,,,,,,,,,,,0,1350,,,,,,,,,,101108
0,0,1022,,,,,,,,,,0,0,upgrade01_11,,,,,,,,,,,,0,73,,,,,,,,,,10111
0,0,1022,,,,,,,,,,0,0,upgrade01_12,,,,,,,,,,,,0,78,,,,,,,,,,10112
0,0,1022,,,,,,,,,,0,0,upgrade01_13,,,,,,,,,,,,0,83,,,,,,,,,,10113
0,0,1022,,,,,,,,,,0,0,upgrade01_14,,,,,,,,,,,,0,88,,,,,,,,,,10114
0,0,1022,,,,,,,,,,0,0,upgrade01_15,,,,,,,,,,,,0,93,,,,,,,,,,10115
0,0,1022,,,,,,,,,,0,0,upgrade01_16,,,,,,,,,,,,0,98,,,,,,,,,,10116
0,0,1022,,,,,,,,,,0,0,upgrade01_17,,,,,,,,,,,,0,103,,,,,,,,,,10117
0,0,1022,,,,,,,,,,0,0,upgrade01_18,,,,,,,,,,,,0,108,,,,,,,,,,10118
0,0,1022,,,,,,,,,,0,0,upgrade01_19,,,,,,,,,,,,0,113,,,,,,,,,,10119
0,0,1022,,,,,,,,,,0,0,upgrade01_20,,,,,,,,,,,,0,118,,,,,,,,,,10120
140,0,1028,,,,,,,,,,0,0,ch12,,,,,,,,,,,,31,72,,,,,,,,,,101201
144,0,1028,,,,,,,,,,0,0,ch12,,,,,,,,,,,,0,78,,,,,,,,,,101202
148,0,1028,,,,,,,,,,0,0,ch12,,,,,,,,,,,,0,84,,,,,,,,,,101203
152,0,1028,,,,,,,,,,0,0,ch12,,,,,,,,,,,,0,90,,,,,,,,,,101204
156,0,1028,,,,,,,,,,0,0,ch12,,,,,,,,,,,,0,96,,,,,,,,,,101205
160,0,1028,,,,,,,,,,0,0,ch12,,,,,,,,,,,,0,120,,,,,,,,,,101206
160,0,1028,,,,,,,,,,0,0,ch12,,,,,,,,,,,,0,125,,,,,,,,,,101207
160,0,1028,,,,,,,,,,0,0,ch12,,,,,,,,,,,,0,130,,,,,,,,,,101208
0,0,1022,,,,,,,,,,0,0,upgrade01_21,,,,,,,,,,,,0,123,,,,,,,,,,10121
0,0,1022,,,,,,,,,,0,0,upgrade01_22,,,,,,,,,,,,0,128,,,,,,,,,,10122
0,0,1022,,,,,,,,,,0,0,upgrade01_23,,,,,,,,,,,,0,133,,,,,,,,,,10123
0,0,1022,,,,,,,,,,0,0,upgrade01_24,,,,,,,,,,,,0,138,,,,,,,,,,10124
0,0,1022,,,,,,,,,,0,0,upgrade01_25,,,,,,,,,,,,0,143,,,,,,,,,,10125
0,0,1022,,,,,,,,,,0,0,upgrade01_26,,,,,,,,,,,,0,148,,,,,,,,,,10126
0,0,1022,,,,,,,,,,0,0,upgrade01_27,,,,,,,,,,,,0,153,,,,,,,,,,10127
0,0,1022,,,,,,,,,,0,0,upgrade01_28,,,,,,,,,,,,0,158,,,,,,,,,,10128
0,0,1022,,,,,,,,,,0,0,upgrade01_29,,,,,,,,,,,,0,163,,,,,,,,,,10129
0,0,1022,,,,,,,,,,0,0,upgrade01_30,,,,,,,,,,,,0,168,,,,,,,,,,10130
130,0,1034,,1049,,,,,,,,0,0,ch13,,,,,,,,,,,,19,30,,1,,,,,,,,101301
134,0,1034,,1049,,,,,,,,0,0,ch13,,,,,,,,,,,,0,25,,2,,,,,,,,101302
138,0,1034,,1049,,,,,,,,0,0,ch13,,,,,,,,,,,,0,22,,3,,,,,,,,101303
142,0,1034,,1049,,,,,,,,0,0,ch13,,,,,,,,,,,,0,20,,4,,,,,,,,101304
146,0,1034,,1049,,,,,,,,0,0,ch13,,,,,,,,,,,,0,20,,5,,,,,,,,101305
150,0,1034,,1049,,,,,,,,0,0,ch13,,,,,,,,,,,,0,20,,6,,,,,,,,101306
150,0,1034,,1049,,,,,,,,0,0,ch13,,,,,,,,,,,,0,18,,7,,,,,,,,101307
150,0,1034,,1049,,,,,,,,0,0,ch13,,,,,,,,,,,,0,17,,8,,,,,,,,101308
0,0,1022,,,,,,,,,,0,0,upgrade01_31,,,,,,,,,,,,0,173,,,,,,,,,,10131
0,0,1022,,,,,,,,,,0,0,upgrade01_32,,,,,,,,,,,,0,176,,,,,,,,,,10132
0,0,1022,,,,,,,,,,0,0,upgrade01_33,,,,,,,,,,,,0,179,,,,,,,,,,10133
0,0,1022,,,,,,,,,,0,0,upgrade01_34,,,,,,,,,,,,0,182,,,,,,,,,,10134
0,0,1022,,,,,,,,,,0,0,upgrade01_35,,,,,,,,,,,,0,185,,,,,,,,,,10135
0,0,1022,,,,,,,,,,0,0,upgrade01_36,,,,,,,,,,,,0,188,,,,,,,,,,10136
0,0,1022,,,,,,,,,,0,0,upgrade01_37,,,,,,,,,,,,0,191,,,,,,,,,,10137
0,0,1022,,,,,,,,,,0,0,upgrade01_38,,,,,,,,,,,,0,194,,,,,,,,,,10138
0,0,1022,,,,,,,,,,0,0,upgrade01_39,,,,,,,,,,,,0,197,,,,,,,,,,10139
0,0,1022,,,,,,,,,,0,0,upgrade01_40,,,,,,,,,,,,0,200,,,,,,,,,,10140
100,0,1024,,,,,,,,,,0,0,ch14,,,,,,,,,,,,27,900,,,,,,,,,,101401
105,0,1024,,,,,,,,,,0,0,ch14,,,,,,,,,,,,0,890,,,,,,,,,,101402
110,0,1024,,,,,,,,,,0,0,ch14,,,,,,,,,,,,0,880,,,,,,,,,,101403
115,0,1024,,,,,,,,,,0,0,ch14,,,,,,,,,,,,0,870,,,,,,,,,,101404
120,0,1024,,,,,,,,,,0,0,ch14,,,,,,,,,,,,0,860,,,,,,,,,,101405
125,0,1024,,,,,,,,,,0,0,ch14,,,,,,,,,,,,0,850,,,,,,,,,,101406
130,0,1024,,,,,,,,,,0,0,ch14,,,,,,,,,,,,0,840,,,,,,,,,,101407
135,0,1024,,,,,,,,,,0,0,ch14,,,,,,,,,,,,0,830,,,,,,,,,,101408
0,0,1022,,,,,,,,,,0,0,upgrade01_41,,,,,,,,,,,,0,203,,,,,,,,,,10141
0,0,1022,,,,,,,,,,0,0,upgrade01_42,,,,,,,,,,,,0,206,,,,,,,,,,10142
0,0,1022,,,,,,,,,,0,0,upgrade01_43,,,,,,,,,,,,0,209,,,,,,,,,,10143
0,0,1022,,,,,,,,,,0,0,upgrade01_44,,,,,,,,,,,,0,212,,,,,,,,,,10144
0,0,1022,,,,,,,,,,0,0,upgrade01_45,,,,,,,,,,,,0,215,,,,,,,,,,10145
0,0,1022,,,,,,,,,,0,0,upgrade01_46,,,,,,,,,,,,0,218,,,,,,,,,,10146
0,0,1022,,,,,,,,,,0,0,upgrade01_47,,,,,,,,,,,,0,221,,,,,,,,,,10147
0,0,1022,,,,,,,,,,0,0,upgrade01_48,,,,,,,,,,,,0,224,,,,,,,,,,10148
0,0,1022,,,,,,,,,,0,0,upgrade01_49,,,,,,,,,,,,0,227,,,,,,,,,,10149
0,0,1022,,,,,,,,,,0,0,upgrade01_50,,,,,,,,,,,,0,230,,,,,,,,,,10150
130,0,1036,,,,,,,,,,0,0,ch15,,,,,,,,,,,,10,500,,,,,,,,,,101501
134,0,1036,,,,,,,,,,0,0,ch15,,,,,,,,,,,,0,540,,,,,,,,,,101502
138,0,1036,,,,,,,,,,0,0,ch15,,,,,,,,,,,,0,580,,,,,,,,,,101503
142,0,1036,,,,,,,,,,0,0,ch15,,,,,,,,,,,,0,620,,,,,,,,,,101504
146,0,1036,,,,,,,,,,0,0,ch15,,,,,,,,,,,,0,660,,,,,,,,,,101505
150,0,1036,,,,,,,,,,0,0,ch15,,,,,,,,,,,,0,700,,,,,,,,,,101506
150,0,1036,,,,,,,,,,0,0,ch15,,,,,,,,,,,,0,720,,,,,,,,,,101507
150,0,1036,,,,,,,,,,0,0,ch15,,,,,,,,,,,,0,750,,,,,,,,,,101508
0,0,1022,,,,,,,,,,0,0,upgrade01_51,,,,,,,,,,,,0,233,,,,,,,,,,10151
0,0,1022,,,,,,,,,,0,0,upgrade01_52,,,,,,,,,,,,0,236,,,,,,,,,,10152
0,0,1022,,,,,,,,,,0,0,upgrade01_53,,,,,,,,,,,,0,239,,,,,,,,,,10153
0,0,1022,,,,,,,,,,0,0,upgrade01_54,,,,,,,,,,,,0,242,,,,,,,,,,10154
0,0,1022,,,,,,,,,,0,0,upgrade01_55,,,,,,,,,,,,0,245,,,,,,,,,,10155
0,0,1022,,,,,,,,,,0,0,upgrade01_56,,,,,,,,,,,,0,248,,,,,,,,,,10156
0,0,1022,,,,,,,,,,0,0,upgrade01_57,,,,,,,,,,,,0,251,,,,,,,,,,10157
0,0,1022,,,,,,,,,,0,0,upgrade01_58,,,,,,,,,,,,0,254,,,,,,,,,,10158
0,0,1022,,,,,,,,,,0,0,upgrade01_59,,,,,,,,,,,,0,257,,,,,,,,,,10159
0,0,1022,,,,,,,,,,0,0,upgrade01_60,,,,,,,,,,,,0,260,,,,,,,,,,10160
140,0,1052,,,,,,,,,,0,0,ch16,,,,,,,,,,,,24,90,,,,,,,,,,101601
144,0,1052,,,,,,,,,,0,0,ch16,,,,,,,,,,,,0,100,,,,,,,,,,101602
148,0,1052,,,,,,,,,,0,0,ch16,,,,,,,,,,,,0,110,,,,,,,,,,101603
152,0,1052,,,,,,,,,,0,0,ch16,,,,,,,,,,,,0,120,,,,,,,,,,101604
156,0,1052,,,,,,,,,,0,0,ch16,,,,,,,,,,,,0,130,,,,,,,,,,101605
160,0,1052,,,,,,,,,,0,0,ch16,,,,,,,,,,,,0,140,,,,,,,,,,101606
160,0,1052,,,,,,,,,,0,0,ch16,,,,,,,,,,,,0,150,,,,,,,,,,101607
160,0,1052,,,,,,,,,,0,0,ch16,,,,,,,,,,,,0,160,,,,,,,,,,101608
140,0,1055,,1056,,,,,,,,0,0,ch18,,,,,,,,,,,,34,6000,,500,,,,,,,,101801
144,0,1055,,1056,,,,,,,,0,0,ch18,,,,,,,,,,,,0,6000,,500,,,,,,,,101802
148,0,1055,,1056,,,,,,,,0,0,ch18,,,,,,,,,,,,0,6000,,500,,,,,,,,101803
152,0,1055,,1056,,,,,,,,0,0,ch18,,,,,,,,,,,,0,6000,,500,,,,,,,,101804
156,0,1055,,1056,,,,,,,,0,0,ch18,,,,,,,,,,,,0,6000,,500,,,,,,,,101805
160,0,1055,,1056,,,,,,,,0,0,ch18,,,,,,,,,,,,0,6000,,500,,,,,,,,101806
160,0,1055,,1056,,,,,,,,0,0,ch18,,,,,,,,,,,,0,6000,,500,,,,,,,,101807
160,0,1055,,1056,,,,,,,,0,0,ch18,,,,,,,,,,,,0,6000,,500,,,,,,,,101808
140,0,1057,,1058,1218,,,,,,,0,0,ch19,,,,,,,,,,,,23,22400,,5000,700,,,,,,,101901
144,0,1057,,1058,1218,,,,,,,0,0,ch19,,,,,,,,,,,,0,21400,,5000,700,,,,,,,101902
148,0,1057,,1058,1218,,,,,,,0,0,ch19,,,,,,,,,,,,0,20400,,5000,700,,,,,,,101903
152,0,1057,,1058,1218,,,,,,,0,0,ch19,,,,,,,,,,,,0,19400,,5000,700,,,,,,,101904
156,0,1057,,1058,1218,,,,,,,0,0,ch19,,,,,,,,,,,,0,18400,,5000,700,,,,,,,101905
160,0,1057,,1058,1218,,,,,,,0,0,ch19,,,,,,,,,,,,0,17400,,5000,700,,,,,,,101906
160,0,1057,,1058,1218,,,,,,,0,0,ch19,,,,,,,,,,,,0,16400,,5000,700,,,,,,,101907
160,0,1057,,1058,1218,,,,,,,0,0,ch19,,,,,,,,,,,,0,15400,,5000,700,,,,,,,101908
140,0,1078,,1079,1075,,,,,,,0,0,ch20,,,,,5001,,,,,,,64,32,,3000,20,,,,,,,102001
144,0,1078,,1079,1075,,,,,,,0,0,ch20,,,,,5001,,,,,,,0,30,,3300,21,,,,,,,102002
148,0,1078,,1079,1075,,,,,,,0,0,ch20,,,,,5001,,,,,,,0,28,,3600,22,,,,,,,102003
152,0,1078,,1079,1075,,,,,,,0,0,ch20,,,,,5001,,,,,,,0,26,,3900,23,,,,,,,102004
156,0,1078,,1079,1075,,,,,,,0,0,ch20,,,,,5001,,,,,,,0,24,,4200,24,,,,,,,102005
160,0,1078,,1079,1075,,,,,,,0,0,ch20,,,,,5001,,,,,,,0,22,,4500,26,,,,,,,102006
160,0,1078,,1079,1075,,,,,,,0,0,ch20,,,,,5001,,,,,,,0,20,,4800,28,,,,,,,102007
160,0,1078,,1079,1075,,,,,,,0,0,ch20,,,,,5001,,,,,,,0,18,,5500,30,,,,,,,102008
0,0,1027,,1048,,,,,,,,0,0,upgrade02_01,,,,,,,,,,,,0,1,,385.55999999999995,,,,,,,,10201
0,0,1027,,1048,,,,,,,,0,0,upgrade02_02,,,,,,,,,,,,0,2,,397.8,,,,,,,,10202
0,0,1027,,1048,,,,,,,,0,0,upgrade02_03,,,,,,,,,,,,0,3,,412.07999999999993,,,,,,,,10203
0,0,1027,,1048,,,,,,,,0,0,upgrade02_04,,,,,,,,,,,,0,4,,424.32,,,,,,,,10204
0,0,1027,,1048,,,,,,,,0,0,upgrade02_05,,,,,,,,,,,,0,5,,438.59999999999997,,,,,,,,10205
0,0,1027,,1048,,,,,,,,0,0,upgrade02_06,,,,,,,,,,,,0,6,,450.84,,,,,,,,10206
0,0,1027,,1048,,,,,,,,0,0,upgrade02_07,,,,,,,,,,,,0,7,,465.11999999999995,,,,,,,,10207
0,0,1027,,1048,,,,,,,,0,0,upgrade02_08,,,,,,,,,,,,0,8,,477.36,,,,,,,,10208
0,0,1027,,1048,,,,,,,,0,0,upgrade02_09,,,,,,,,,,,,0,9,,491.64,,,,,,,,10209
0,0,1027,,1048,,,,,,,,0,0,upgrade02_10,,,,,,,,,,,,0,10,,503.87999999999994,,,,,,,,10210
140,0,1074,,1075,,,,,,,,0,0,ch21,,,,5002,,,,,,,,63,180,,6000,,,,,,,,102101
144,0,1074,,1075,,,,,,,,0,0,ch21,,,,5002,,,,,,,,0,190,,6500,,,,,,,,102102
148,0,1074,,1075,,,,,,,,0,0,ch21,,,,5002,,,,,,,,0,200,,7000,,,,,,,,102103
152,0,1074,,1075,,,,,,,,0,0,ch21,,,,5002,,,,,,,,0,210,,7500,,,,,,,,102104
156,0,1074,,1075,,,,,,,,0,0,ch21,,,,5002,,,,,,,,0,220,,8000,,,,,,,,102105
160,0,1074,,1075,,,,,,,,0,0,ch21,,,,5002,,,,,,,,0,230,,8500,,,,,,,,102106
160,0,1074,,1075,,,,,,,,0,0,ch21,,,,5002,,,,,,,,0,240,,9000,,,,,,,,102107
160,0,1074,,1075,,,,,,,,0,0,ch21,,,,5002,,,,,,,,0,250,,8000,,,,,,,,102108
0,0,1027,,1048,,,,,,,,0,0,upgrade02_11,,,,,,,,,,,,0,11,,516.11999999999989,,,,,,,,10211
0,0,1027,,1048,,,,,,,,0,0,upgrade02_12,,,,,,,,,,,,0,12,,526.31999999999994,,,,,,,,10212
0,0,1027,,1048,,,,,,,,0,0,upgrade02_13,,,,,,,,,,,,0,13,,536.52,,,,,,,,10213
0,0,1027,,1048,,,,,,,,0,0,upgrade02_14,,,,,,,,,,,,0,14,,546.71999999999991,,,,,,,,10214
0,0,1027,,1048,,,,,,,,0,0,upgrade02_15,,,,,,,,,,,,0,15,,556.91999999999996,,,,,,,,10215
0,0,1027,,1048,,,,,,,,0,0,upgrade02_16,,,,,,,,,,,,0,16,,569.16,,,,,,,,10216
0,0,1027,,1048,,,,,,,,0,0,upgrade02_17,,,,,,,,,,,,0,17,,579.36,,,,,,,,10217
0,0,1027,,1048,,,,,,,,0,0,upgrade02_18,,,,,,,,,,,,0,18,,589.56000000000006,,,,,,,,10218
0,0,1027,,1048,,,,,,,,0,0,upgrade02_19,,,,,,,,,,,,0,19,,599.76,,,,,,,,10219
0,0,1027,,1048,,,,,,,,0,0,upgrade02_20,,,,,,,,,,,,0,20,,609.96,,,,,,,,10220
160,0,1021,,1083,1052,1096,,,,,,0,0,ch22,,,,,,0,,,,,,65,1,,1,120,2700,,,,,,102201
163,0,1021,,1083,1052,1096,,,,,,0,0,ch22,,,,,,0,,,,,,0,2,,1,124,2700,,,,,,102202
166,0,1021,,1083,1052,1096,,,,,,0,0,ch22,,,,,,0,,,,,,0,3,,1,128,2700,,,,,,102203
169,0,1021,,1083,1052,1096,,,,,,0,0,ch22,,,,,,0,,,,,,0,4,,1,132,2700,,,,,,102204
172,0,1021,,1083,1052,1096,,,,,,0,0,ch22,,,,,,0,,,,,,0,5,,1,136,2700,,,,,,102205
175,0,1021,,1083,1052,1096,,,,,,0,0,ch22,,,,,,0,,,,,,0,6,,1,140,2700,,,,,,102206
