Grade,Name,Percentage,PercentageBonus,Rarity,_key
S,No.3 Glossy Pink Lipstick,0.29,,Epic,31
S,Unearthed Wild Ginseng,0.38,,Epic,32
S,Wild Corn Cob,0.17,,Epic,33
S,Temptation No.9 Perfume,0.34,,Epic,34
S,Rocky Hot Dog,0.41,,Epic,35
S,Frozen Cracker,0.53,,Epic,36
S,Caramel Choco Energy Bar,0.47,,Epic,37
S,Ultra Power Rainbow Ginseng,0.4,,Epic,38
S,Flaming Camping Lantern,0.29,,Epic,39
S,Springtime Picnic Mat,0.5,,Epic,4
S,Sour Music Jelly,0.5,,Epic,40
S,Chilled Moon Rock,0.5,,Epic,41
S,Rare Crystal Clam,0.08,,Epic,42
S,Big Crystal Ore,0.08,,Epic,43
S,Mining Dynamite,0.45,,Epic,44
S,Ancient Magic Flower Pot,0.48,,Epic,45
S,Evil Spirit Matchbox,0.29,,Epic,46
S,Powdered Snow Cake,0.29,,Epic,47
S,Bouncy Rainbow Rice Cake,0.48,,Epic,48
S,Ultimate Racing Firecracker Set,0.37,,Epic,49
S,Springtime Lunchbox,0.5,,Epic,5
S,Pretty Flower Shoe,0.43,,Epic,50
S,Honey-dipped Garaeddeok,0.5,,Epic,51
S,Peppy Pet Yakgwa,0.45,,Epic,52
S,Magnetobuff Energy Drink,0.53,,Epic,53
S,Sweet Revival Donut,0.55,,Epic,54
S,Limited Edition Star Jelly Pendant,0.5,,Epic,55
S,Magnetic Rainbow Drink,0.55,,Epic,56
S,Queen Bee's Royal Jelly,0.5,,Epic,57
S,Hand-made Fresh Veggy Juice,0.5,,Epic,58
S,Pick-me-up Wasabi Lip Balm,0.38,,Epic,59
S,Sparkling Memories Crystal Camera,0.04,,Epic,6
S,Yellow Bear Jelly Roll Cake,0.46,,Epic,60
S,Cookie Energy Drink,0.5,,Epic,61
S,Simply Satisfying Rice Ball,0.46,,Epic,62
S,Fly High Jelly Balloons,0.46,,Epic,63
S,Chocolate Cover Workbook,0.46,,Epic,64
S,Glazed Wonder Donut,0.53,,Epic,65
S,Golden Wreath,0.5,,Epic,66
S,Choccy Matryoshka,0.43,,Epic,67
S,Demagnetizing Helmet,0.34,,Epic,68
S,Crystal Jewelry Box,0.08,,Epic,69
S,First Grader's Backpack,0.49,,Epic,7
S,Little Toy Ambulance,0.54,,Epic,70
S,Red Hot Chili Drink,0.57,,Epic,71
S,Boatman's Dagger,0.5,,Epic,72
S,Ever Hungry Elephant Bank,0.48,,Epic,73
S,Soda Ice Pop,0.51,,Epic,74
S,Creamy Monster Muffin,0.59,,Epic,75
S,Vita Vita Drink,0.54,,Epic,76
S,Hot Café Latte,0.56,,Epic,77
S,Spankin' New Saddle,0.53,,Epic,78
S,Spotted Cow High Protein Milk,0.53,,Epic,79
S,Four-color Choco Pen Set,0.49,,Epic,8
S,Sweet Twisted Donut,0.53,,Epic,80
S,Translucent Crystal Alarm Clock,0.08,,Epic,81
S,Exalted Star Brooch,0.5,,Epic,82
S,Pink Bear Jelly Party Hat,0.5,,Epic,83
S,Candy Roller Skates,0.52,,Epic,84
S,Fluffy Kiwi Bread,0.51,,Epic,85
S,Delicious Peanut Butter Sandwich,0.47,,Epic,86
S,Golden Energy Drink,0.54,,Epic,87
S,Giant Crystal Ring,0.11,,Epic,88
S,Flaming Red Jellyco,0.52,,Epic,89
S,Kids Smart Tablet,0.49,,Epic,9
S,Sweet Night Sky Crepe,0.52,,Epic,90
S,Crescent Moon Cocktail,0.52,,Epic,91
S,Tip of the Iceberg Popsicle,0.52,,Epic,92
S,Prosperous Earth Bracelet,0.5,,Epic,93
S,Fire Guardian Ring,0.5,,Epic,94
S,Swift Wind Earring,0.5,,Epic,95
S,Restorative Water Pendant,0.5,,Epic,96
S,Exhilarating AAA Battery Baton,0.48,,Epic,97
S,Flavorful Butter Croissant,0.5,,Epic,98
S,Mini Gumball Missile,0.5,,Epic,99
