Tag_1,Tag_2,Type_1,Type_2,Value_1,Value_2,_key
value,,int,,200,,RequestLoadingETShowDelay
value,,int,,2,,RescuedByUsingGemCountMax
value,,int,,1,,ReviveOnlyMagic_EffectedByRecoveryRate
value,,int,,1,,RockStarBgm
State,,int,,0,,RunAppCheckWhenEnterLobbyOff
value,,int,,1,,RunningAppCheckOff
value,,int,,1,,SaveMiniGameSwitch
value,,int,,3,,SelectPathEarlyOffHeadBlastDistance
value,,int,,85,,SelectPathHeight
Count,,int,,20,,SendFriendPassPushCount
startTime,endTime,int,int,21,23,SendFriendPassPushTimePeriod
State,,int,,0,,SendGooglePlayCrystalGiftOn
State,,int,,1,,SendGooglePlayCrystalGiftOnNew
String,,string,,99999.0.0,,ShowMyBestScoreVersion
value,,int,,1,,ShowProperJelly
value,,int,,1,,ShowRelayIcon
value,,int,,5,,SlideJellyMaxPerLine
value,,int,,22,,SlideMaxAngle
value,,int,,-10,,SlideMinAngle
value,,int,,0,,SnowmanEventOff
value,,int,,,,SpotlightMagnet
value,,int,,1,,TooManyCoinCheckOff
String,,string,,2014-08-19 00:30:00,,TreasureEventEndDate
String,,string,,2014-07-25 00:00:01,,TreasureEventStartDate
value,,int,,4000,,TreasureSlotLimit
value,,float,,400,,UnRipeJellyInitDistance
value,,float,,0.5,,UnRipeJellyMovingDuration
value,,int,,1,,UnRipeMaxBonusTime
value,,int,,1,,UnRipeMinBonusTime
value,,int,,30,,UnRipeNumberOfBonusTime
value,,int,,0,,UnripeAppleBalloonDistance
value,,int,,150,,UnripeAppleBalloonMaxHeight
value,,int,,-40,,UnripeAppleBalloonMinHeight
value,,float,,15,,UnripeAppleJellyXMargin
value,,int,,150,,UnripeAppleJellyYVariation
value,,int,,4,,UnripeAppleMaxNumberOfJelly
value,,int,,3,,UnripeAppleMinNumberOfJelly
value,,int,,1,,UnripeAppleUseEmptyWaterDrop
value,,int,,1,,UseLifeRecoveryRealNumber
value,,int,,30,,VariousChallengeUiFadeOutTime
value,,int,,100,,VariousChallengeUiOpacityCompleteMin
value,,int,,200,,VariousChallengeUiOpacityMax
value,,int,,100,,VariousChallengeUiOpacityMin
value,,int,,1,,WeeklyRankEndDuringGameRecoverActivePoint
value,,int,,1,,WorldSpeedRateWhenGiantBugFix
value,,int,,109201,,adsCookieId2
value,,int,,0,,checkInGameEnumOff
State,,int,,1,,checkInGameOff
State,,int,,1,,installAppCheckOff
OffsetX,OffsetY,float,float,-11,-11,jelly_ColBoxOffset
String,,string,,4,,protocolAcceptableEncryptionVersion
value,,int,,4,,protocolEncryptionVersion_after_v11_6
value,,int,,1,,treasureShopContinueousBuy
value,,int,,1,,useKeyLog
