action,comment,condition,episode_seq,finish,ice_tower_mission_order,ice_tower_stage,increment,is_reward_mail,operator,quest_category,quest_status,quest_type,resouce_key_string,reward_qty,reward_seq,reward_type,start,_key
NONE,"[풍족한 쿠키마을]
보물 60개 보유",questIsFinished(1007),0,60,,,countStuffsWithType('T'),,SET,0,1,NORMAL,accrue,1000,,C,0,1008
AFTER_PLAY,"[장애물 파괴자]
장애물 5000개 파괴하기",questIsRewarded(100809),1,5000,,,#destroyObstacle,,MAX,0,1,NORMAL,1play,1,,G,0,100800
AFTER_PLAY,"[장애물 파괴자]
장애물 100개 파괴하기",,1,100,,,#destroyObstacle,,MAX,0,1,NORMAL,1play,500,,C,0,100801
AFTER_PLAY,"[장애물 파괴자]
장애물 200개 파괴하기",questIsRewarded(100801),1,200,,,#destroyObstacle,,MAX,0,1,NORMAL,1play,2,213,S,0,100802
AFTER_PLAY,"[장애물 파괴자]
장애물 400개 파괴하기",questIsRewarded(100802),1,400,,,#destroyObstacle,,MAX,0,1,NORMAL,1play,1500,,C,0,100803
AFTER_PLAY,"[장애물 파괴자]
장애물 700개 파괴하기",questIsRewarded(100803),1,700,,,#destroyObstacle,,MAX,0,1,NORMAL,1play,3000,,C,0,100804
AFTER_PLAY,"[장애물 파괴자]
장애물 1000개 파괴하기",questIsRewarded(100804),1,1000,,,#destroyObstacle,,MAX,0,1,NORMAL,1play,2500,,C,0,100805
AFTER_PLAY,"[장애물 파괴자]
장애물 1500개 파괴하기",questIsRewarded(100805),1,1500,,,#destroyObstacle,,MAX,0,1,NORMAL,1play,3,213,S,0,100806
AFTER_PLAY,"[장애물 파괴자]
장애물 2000개 파괴하기",questIsRewarded(100806),1,2000,,,#destroyObstacle,,MAX,0,1,NORMAL,1play,3500,,C,0,100807
AFTER_PLAY,"[장애물 파괴자]
장애물 3000개 파괴하기",questIsRewarded(100807),1,3000,,,#destroyObstacle,,MAX,0,1,NORMAL,1play,1,215,S,0,100808
AFTER_PLAY,"[장애물 파괴자]
장애물 4000개 파괴하기",questIsRewarded(100808),1,4000,,,#destroyObstacle,,MAX,0,1,NORMAL,1play,4500,,C,0,100809
NONE,"[풍족한 쿠키마을]
보물 80개 보유",questIsFinished(1008),0,80,,,countStuffsWithType('T'),,SET,0,1,NORMAL,accrue,1000,,C,0,1009
AFTER_PLAY,"[존재감 제로]
장애물 5000개 통과하기",questIsRewarded(100909),1,5000,,,#passThroughObstacle,,MAX,0,1,NORMAL,1play,1,,G,0,100900
AFTER_PLAY,"[존재감 제로]
장애물 100개 통과하기",,1,100,,,#passThroughObstacle,,MAX,0,1,NORMAL,1play,500,,C,0,100901
AFTER_PLAY,"[존재감 제로]
장애물 200개 통과하기",questIsRewarded(100901),1,200,,,#passThroughObstacle,,MAX,0,1,NORMAL,1play,1000,,C,0,100902
AFTER_PLAY,"[존재감 제로]
장애물 400개 통과하기",questIsRewarded(100902),1,400,,,#passThroughObstacle,,MAX,0,1,NORMAL,1play,2,213,S,0,100903
AFTER_PLAY,"[존재감 제로]
장애물 700개 통과하기",questIsRewarded(100903),1,700,,,#passThroughObstacle,,MAX,0,1,NORMAL,1play,3000,,C,0,100904
AFTER_PLAY,"[존재감 제로]
장애물 1000개 통과하기",questIsRewarded(100904),1,1000,,,#passThroughObstacle,,MAX,0,1,NORMAL,1play,2500,,C,0,100905
AFTER_PLAY,"[존재감 제로]
장애물 1500개 통과하기",questIsRewarded(100905),1,1500,,,#passThroughObstacle,,MAX,0,1,NORMAL,1play,3000,,C,0,100906
AFTER_PLAY,"[존재감 제로]
장애물 2000개 통과하기",questIsRewarded(100906),1,2000,,,#passThroughObstacle,,MAX,0,1,NORMAL,1play,1,215,S,0,100907
AFTER_PLAY,"[존재감 제로]
장애물 3000개 통과하기",questIsRewarded(100907),1,3000,,,#passThroughObstacle,,MAX,0,1,NORMAL,1play,4000,,C,0,100908
AFTER_PLAY,"[존재감 제로]
장애물 4000개 통과하기",questIsRewarded(100908),1,4000,,,#passThroughObstacle,,MAX,0,1,NORMAL,1play,4500,,C,0,100909
FRIEND_INFO,"[함께하면 더 즐거워]
친구 수 50명",,0,50,,,#friendCount,,SET,0,1,NORMAL,accrue,1,,G,0,101
AFTER_PLAY,"[아프니까 쿠키다]
장애물에 60번 부딪히기",questIsRewarded(101009),1,60,,,#collision,,MAX,0,1,NORMAL,1play,1,,G,0,101000
AFTER_PLAY,"[아프니까 쿠키다]
장애물에 2번 부딪히기",,1,2,,,#collision,,MAX,0,1,NORMAL,1play,500,,C,0,101001
AFTER_PLAY,"[아프니까 쿠키다]
장애물에 4번 부딪히기",questIsRewarded(101001),1,4,,,#collision,,MAX,0,1,NORMAL,1play,1000,,C,0,101002
AFTER_PLAY,"[아프니까 쿠키다]
장애물에 7번 부딪히기",questIsRewarded(101002),1,7,,,#collision,,MAX,0,1,NORMAL,1play,1500,,C,0,101003
AFTER_PLAY,"[아프니까 쿠키다]
장애물에 10번 부딪히기",questIsRewarded(101003),1,10,,,#collision,,MAX,0,1,NORMAL,1play,3000,,C,0,101004
AFTER_PLAY,"[아프니까 쿠키다]
장애물에 15번 부딪히기",questIsRewarded(101004),1,15,,,#collision,,MAX,0,1,NORMAL,1play,2500,,C,0,101005
AFTER_PLAY,"[아프니까 쿠키다]
장애물에 20번 부딪히기",questIsRewarded(101005),1,20,,,#collision,,MAX,0,1,NORMAL,1play,3,213,S,0,101006
AFTER_PLAY,"[아프니까 쿠키다]
장애물에 30번 부딪히기",questIsRewarded(101006),1,30,,,#collision,,MAX,0,1,NORMAL,1play,3500,,C,0,101007
AFTER_PLAY,"[아프니까 쿠키다]
장애물에 40번 부딪히기",questIsRewarded(101007),1,40,,,#collision,,MAX,0,1,NORMAL,1play,4000,,C,0,101008
AFTER_PLAY,"[아프니까 쿠키다]
장애물에 50번 부딪히기",questIsRewarded(101008),1,50,,,#collision,,MAX,0,1,NORMAL,1play,1,215,S,0,101009
AFTER_PLAY,"[번지왕]
구멍에 50번 빠지기",questIsRewarded(101109),1,50,,,#fallToHole,,MAX,0,1,NORMAL,1play,1,,G,0,101100
AFTER_PLAY,"[번지왕]
구멍에 3번 빠지기",,1,3,,,#fallToHole,,MAX,0,1,NORMAL,1play,500,,C,0,101101
AFTER_PLAY,"[번지왕]
구멍에 6번 빠지기",questIsRewarded(101101),1,6,,,#fallToHole,,MAX,0,1,NORMAL,1play,1000,,C,0,101102
AFTER_PLAY,"[번지왕]
구멍에 10번 빠지기",questIsRewarded(101102),1,10,,,#fallToHole,,MAX,0,1,NORMAL,1play,1500,,C,0,101103
AFTER_PLAY,"[번지왕]
구멍에 15번 빠지기",questIsRewarded(101103),1,15,,,#fallToHole,,MAX,0,1,NORMAL,1play,3000,,C,0,101104
AFTER_PLAY,"[번지왕]
구멍에 20번 빠지기",questIsRewarded(101104),1,20,,,#fallToHole,,MAX,0,1,NORMAL,1play,3,213,S,0,101105
AFTER_PLAY,"[번지왕]
구멍에 25번 빠지기",questIsRewarded(101105),1,25,,,#fallToHole,,MAX,0,1,NORMAL,1play,3000,,C,0,101106
AFTER_PLAY,"[번지왕]
구멍에 30번 빠지기",questIsRewarded(101106),1,30,,,#fallToHole,,MAX,0,1,NORMAL,1play,1,215,S,0,101107
AFTER_PLAY,"[번지왕]
구멍에 35번 빠지기",questIsRewarded(101107),1,35,,,#fallToHole,,MAX,0,1,NORMAL,1play,4000,,C,0,101108
AFTER_PLAY,"[번지왕]
구멍에 40번 빠지기",questIsRewarded(101108),1,40,,,#fallToHole,,MAX,0,1,NORMAL,1play,4500,,C,0,101109
AFTER_PLAY,"[오르락내리락]
보너스타임에 50번 가기",questIsRewarded(101209),1,50,,,#enterBonusTime,,MAX,0,1,NORMAL,1play,1,,G,0,101200
AFTER_PLAY,"[오르락내리락]
보너스타임에 3번 가기",,1,3,,,#enterBonusTime,,MAX,0,1,NORMAL,1play,500,,C,0,101201
AFTER_PLAY,"[오르락내리락]
보너스타임에 6번 가기",questIsRewarded(101201),1,6,,,#enterBonusTime,,MAX,0,1,NORMAL,1play,1000,,C,0,101202
AFTER_PLAY,"[오르락내리락]
보너스타임에 10번 가기",questIsRewarded(101202),1,10,,,#enterBonusTime,,MAX,0,1,NORMAL,1play,2,213,S,0,101203
AFTER_PLAY,"[오르락내리락]
보너스타임에 15번 가기",questIsRewarded(101203),1,15,,,#enterBonusTime,,MAX,0,1,NORMAL,1play,3000,,C,0,101204
AFTER_PLAY,"[오르락내리락]
보너스타임에 20번 가기",questIsRewarded(101204),1,20,,,#enterBonusTime,,MAX,0,1,NORMAL,1play,2500,,C,0,101205
AFTER_PLAY,"[오르락내리락]
보너스타임에 25번 가기",questIsRewarded(101205),1,25,,,#enterBonusTime,,MAX,0,1,NORMAL,1play,3000,,C,0,101206
AFTER_PLAY,"[오르락내리락]
보너스타임에 30번 가기",questIsRewarded(101206),1,30,,,#enterBonusTime,,MAX,0,1,NORMAL,1play,3500,,C,0,101207
AFTER_PLAY,"[오르락내리락]
보너스타임에 35번 가기",questIsRewarded(101207),1,35,,,#enterBonusTime,,MAX,0,1,NORMAL,1play,1,215,S,0,101208
AFTER_PLAY,"[오르락내리락]
보너스타임에 40번 가기",questIsRewarded(101208),1,40,,,#enterBonusTime,,MAX,0,1,NORMAL,1play,4500,,C,0,101209
AFTER_PLAY,"[하늘에서 하늘하늘]
보너스타임에 500초 동안 있기",questIsRewarded(101309),1,500,,,#bonusTimePlayTime,,MAX,0,1,NORMAL,1play,1,,G,0,101300
AFTER_PLAY,"[하늘에서 하늘하늘]
보너스타임에 25초 동안 있기",,1,25,,,#bonusTimePlayTime,,MAX,0,1,NORMAL,1play,500,,C,0,101301
AFTER_PLAY,"[하늘에서 하늘하늘]
보너스타임에 50초 동안 있기",questIsRewarded(101301),1,50,,,#bonusTimePlayTime,,MAX,0,1,NORMAL,1play,1000,,C,0,101302
AFTER_PLAY,"[하늘에서 하늘하늘]
보너스타임에 100초 동안 있기",questIsRewarded(101302),1,100,,,#bonusTimePlayTime,,MAX,0,1,NORMAL,1play,1500,,C,0,101303
AFTER_PLAY,"[하늘에서 하늘하늘]
보너스타임에 150초 동안 있기",questIsRewarded(101303),1,150,,,#bonusTimePlayTime,,MAX,0,1,NORMAL,1play,3000,,C,0,101304
AFTER_PLAY,"[하늘에서 하늘하늘]
보너스타임에 200초 동안 있기",questIsRewarded(101304),1,200,,,#bonusTimePlayTime,,MAX,0,1,NORMAL,1play,2500,,C,0,101305
AFTER_PLAY,"[하늘에서 하늘하늘]
보너스타임에 250초 동안 있기",questIsRewarded(101305),1,250,,,#bonusTimePlayTime,,MAX,0,1,NORMAL,1play,3,213,S,0,101306
AFTER_PLAY,"[하늘에서 하늘하늘]
보너스타임에 300초 동안 있기",questIsRewarded(101306),1,300,,,#bonusTimePlayTime,,MAX,0,1,NORMAL,1play,3500,,C,0,101307
AFTER_PLAY,"[하늘에서 하늘하늘]
보너스타임에 350초 동안 있기",questIsRewarded(101307),1,350,,,#bonusTimePlayTime,,MAX,0,1,NORMAL,1play,4000,,C,0,101308
AFTER_PLAY,"[하늘에서 하늘하늘]
보너스타임에 400초 동안 있기",questIsRewarded(101308),1,400,,,#bonusTimePlayTime,,MAX,0,1,NORMAL,1play,1,215,S,0,101309
AFTER_PLAY,"[포기를 모르는 쿠키]
1000초 동안 달리기",questIsRewarded(101409),1,1000,,,#playTime,,MAX,0,1,NORMAL,1play,1,,G,0,101400
AFTER_PLAY,"[포기를 모르는 쿠키]
30초 동안 달리기",,1,30,,,#playTime,,MAX,0,1,NORMAL,1play,500,,C,0,101401
AFTER_PLAY,"[포기를 모르는 쿠키]
60초 동안 달리기",questIsRewarded(101401),1,60,,,#playTime,,MAX,0,1,NORMAL,1play,1000,,C,0,101402
AFTER_PLAY,"[포기를 모르는 쿠키]
100초 동안 달리기",questIsRewarded(101402),1,100,,,#playTime,,MAX,0,1,NORMAL,1play,1500,,C,0,101403
AFTER_PLAY,"[포기를 모르는 쿠키]
200초 동안 달리기",questIsRewarded(101403),1,200,,,#playTime,,MAX,0,1,NORMAL,1play,3000,,C,0,101404
AFTER_PLAY,"[포기를 모르는 쿠키]
300초 동안 달리기",questIsRewarded(101404),1,300,,,#playTime,,MAX,0,1,NORMAL,1play,3,213,S,0,101405
AFTER_PLAY,"[포기를 모르는 쿠키]
400초 동안 달리기",questIsRewarded(101405),1,400,,,#playTime,,MAX,0,1,NORMAL,1play,3000,,C,0,101406
AFTER_PLAY,"[포기를 모르는 쿠키]
500초 동안 달리기",questIsRewarded(101406),1,500,,,#playTime,,MAX,0,1,NORMAL,1play,3500,,C,0,101407
AFTER_PLAY,"[포기를 모르는 쿠키]
600초 동안 달리기",questIsRewarded(101407),1,600,,,#playTime,,MAX,0,1,NORMAL,1play,4000,,C,0,101408
AFTER_PLAY,"[포기를 모르는 쿠키]
800초 동안 달리기",questIsRewarded(101408),1,800,,,#playTime,,MAX,0,1,NORMAL,1play,1,215,S,0,101409
AFTER_PLAY,"[많이 먹고 힘내!]
거대생명물약 10개 먹기",questIsRewarded(101505),1,10,,,#largeEnergyJelly,,MAX,0,1,NORMAL,1play,1,,G,0,101500
AFTER_PLAY,"[많이 먹고 힘내!]
거대생명물약 5개 먹기",,1,5,,,#largeEnergyJelly,,MAX,0,1,NORMAL,1play,3000,,C,0,101501
AFTER_PLAY,"[많이 먹고 힘내!]
거대생명물약 6개 먹기",questIsRewarded(101501),1,6,,,#largeEnergyJelly,,MAX,0,1,NORMAL,1play,3000,,C,0,101502
