group_seq,magic_group,powder_group,shard_group,upgrade_group,_key
1309700,mS,TR_S,MS_00,S,288
1309800,mS,TR_S,MS_00,S,289
1103000,mS,TR_S,MS_00,S,29
1309900,mS,TR_S,MS_00,S,290
1310000,mS,TR_S,MS_00,S,291
1310100,mS,TR_S,MS_00,S,292
1310200,mS,TR_S,MS_00,S,293
1310300,mS,TR_S,MS_00,S,294
1310400,mS,TR_S,MS_00,S,295
1310500,mS,TR_S,MS_00,S,296
1310600,mS,TR_S,MS_00,S,297
1310700,mS,TR_S,MS_00,S,298
1310800,mS,TR_S,MS_00,S,299
1100300,mC,TR_C,MS_00,C,3
1103100,mS,TR_S,MS_00,S,30
1310900,mS,TR_S,MS_00,S,300
1311000,mS,TR_S,MS_00,S,301
1311100,mS,TR_S,MS_00,S,302
1311200,mS,TR_S,MS_00,S,303
1311300,mS,TR_S,MS_00,S,304
1311400,mS,TR_S,MS_00,S,305
1311500,mS,TR_S,MS_00,S,306
1311600,mS,TR_S,MS_00,S,307
1311700,mS,TR_S,MS_00,S,308
1311800,mS,TR_S,MS_00,S,309
1103200,mS,TR_S,MS_00,S,31
1311900,mS,TR_S,MS_00,S,310
1312000,mS,TR_S,MS_00,S,311
1312100,mS,TR_S,MS_00,S,312
1312200,mS,TR_S,MS_00,S,313
1312300,mS,TR_S,MS_00,S,314
1312400,mS,TR_S,MS_00,S,315
1312500,mS,TR_S,MS_00,S,316
1312600,mS,TR_S,MS_00,S,317
1312700,mS,TR_S,MS_00,S,318
1312800,mS,TR_S,MS_00,S,319
1103300,mS,TR_S,MS_00,S,32
1312900,mS,TR_S,MS_00,S,320
1313000,mS,TR_S,MS_00,S,321
1313100,mS,TR_S,MS_00,S,322
1313200,mS,TR_S,MS_00,S,323
1313300,mS,TR_S,MS_00,S,324
1313400,mS,TR_S,MS_00,S,325
1313500,mS,TR_S,MS_00,S,326
1313600,mS,TR_S,MS_00,S,327
1313700,mS,TR_S,MS_00,S,328
1313800,mS,TR_S,MS_00,S,329
1103400,mS,TR_S,MS_00,S,33
1313900,mS,TR_S,MS_00,S,330
1314000,mS,TR_S,MS_00,S,331
1314100,mS,TR_S,MS_00,S,332
1314200,mS,TR_S,MS_00,S,333
1314300,mS,TR_S,MS_00,S,334
1314400,mS,TR_S,MS_00,S,335
1314500,mS,TR_S,MS_00,S,336
1314600,mS,TR_S,MS_00,S,337
1314700,mS,TR_S,MS_00,S,338
1314800,mS,TR_S,MS_00,S,339
1103500,mS,TR_S,MS_00,S,34
1314900,mS,TR_S,MS_00,S,340
1315000,mS,TR_S,MS_00,S,341
1315100,mS,TR_S,MS_00,S,342
1315200,mS,TR_S,MS_00,S,343
1315300,mS,TR_S,MS_00,S,344
1315400,mS,TR_S,MS_00,S,345
1315500,mS,TR_S,MS_00,S,346
1315600,mS,TR_S,MS_00,S,347
1315700,mS,TR_S,MS_00,S,348
1315800,mS,TR_S,MS_00,S,349
1103600,mS,TR_S,MS_00,S,35
1315900,mS,TR_S,MS_00,S,350
1316000,mS,TR_S,MS_00,S,351
1316100,mS,TR_S,MS_00,S,352
1316200,mS,TR_S,MS_00,S,353
1316300,mS,TR_S,MS_00,S,354
1316400,mS,TR_S,MS_00,S,355
1316500,mS,TR_S,MS_00,S,356
1500100,mA,TR_A,MS_00,A,357
1500300,mA,TR_A,MS_00,A,358
1500400,mS,TR_S,MS_00,S,359
1103700,mS,TR_S,MS_00,S,36
1500500,mS,TR_S,MS_00,S,360
1500600,mA,TR_A,MS_00,A,361
1500700,mS,TR_S,MS_00,S,362
1500800,mA,TR_A,MS_00,A,363
1500900,mA,TR_A,MS_00,A,364
1501000,mA,TR_E,MS_00,E,365
1501100,mA,TR_A,MS_00,A,366
1501200,mS,TR_S,MS_00,S,367
1501300,mS,TR_S,MS_00,S,368
1501400,mA,TR_A,MS_00,A,369
1103800,mS,TR_S,MS_00,S,37
1501500,mA,TR_E,MS_00,E,370
1501600,mS,TR_S,MS_00,S,371
1501700,mS,TR_S,MS_00,S,372
1501800,mS,TR_S,MS_00,S,373
1501900,mS,TR_S,MS_00,S,374
1502000,mS,TR_S,MS_00,S,375
1502100,mS,TR_S,MS_00,S,376
1502200,mS,TR_S,MS_00,S,377
1502300,mS,TR_S,MS_00,S,378
1502400,mS,TR_S,MS_00,S,379
1103900,mS,TR_S,MS_00,S,38
1502500,mS,TR_S,MS_00,S,380
1502600,mS,TR_S,MS_00,S,381
1502700,mS,TR_S,MS_00,S,382
1502800,mS,TR_S,MS_00,S,383
1502900,mS,TR_S,MS_00,S,384
1503000,mS,TR_S,MS_00,S,385
1503100,mS,TR_S,MS_00,S,386
1503200,mS,TR_S,MS_00,S,387
1503300,mS,TR_S,MS_00,S,388
1503400,mS,TR_S,MS_00,S,389
1104000,mS,TR_S,MS_00,S,39
1503500,mS,TR_S,MS_00,S,390
1503600,mS,TR_S,MS_00,S,391
1503700,mS,TR_S,MS_00,S,392
1503800,mS,TR_S,MS_00,S,393
1503900,mS,TR_S,MS_00,S,394
1504000,mA,TR_E,MS_00,E,395
1504100,mA,TR_A,MS_00,A,396
1504200,mA,TR_A,MS_00,A,397
1504300,mS,TR_S,MS_00,S,398
1504400,mS,TR_S,MS_00,S,399
1100400,mA,TR_A,MS_00,A,4
1104100,mS,TR_S,MS_00,S,40
1504500,mS,TR_S,MS_00,S,400
1504600,mS,TR_S,MS_00,S,401
1504700,mA,TR_A,MS_00,A,402
1504800,mA,TR_A,MS_00,A,403
1504900,mS,TR_S,MS_00,S,404
1505000,mS,TR_S,MS_00,S,405
1505100,mS,TR_S,MS_00,S,406
1505200,mS,TR_S,MS_00,S,407
1505300,mS,TR_S,MS_00,S,408
1505400,mS,TR_S,MS_00,S,409
1104200,mS,TR_S,MS_00,S,41
1505500,mA,TR_A,MS_00,A,410
1505600,mS,TR_S,MS_00,S,411
1505700,mA,TR_A,MS_00,A,412
1505800,mS,TR_S,MS_00,S,413
1505900,mA,TR_A,MS_00,A,414
1506000,mA,TR_E2,MS_00,E2,415
1506100,mA,TR_E2,MS_00,E2,416
1506200,mS,TR_S,MS_00,S,417
1506300,mS,TR_S,MS_00,S,418
1506400,mS,TR_S,MS_00,S,419
1104300,mS,TR_S,MS_00,S,42
1506500,mS,TR_S,MS_00,S,420
1506600,mA,TR_A,MS_00,A,421
1506700,mA,TR_A,MS_00,A,422
1506800,mA,TR_A,MS_00,A,423
1506900,mS,TR_S,MS_00,S,424
1507000,mA,TR_A,MS_00,A,425
1507100,mA,TR_A,MS_00,A,426
1507200,mA,TR_A,MS_00,A,427
1507300,mS,TR_S,MS_00,S,428
1507400,mA,TR_A,MS_00,A,429
1104400,mS,TR_S,MS_00,S,43
1507500,mS,TR_S,MS_00,S,430
1507600,mS,TR_S,MS_00,S,431
1507700,mS,TR_S,MS_00,S,432
1507800,mS,TR_S,MS_00,S,433
1507900,mA,TR_A,MS_00,A,434
1508000,mS,TR_S,MS_00,S,435
1508100,mS,TR_S,MS_00,S,436
1508200,mS,TR_S,MS_00,S,437
1508300,mS,TR_S,MS_00,S,438
1508400,mS,TR_S,MS_00,S,439
1104500,mS,TR_S,MS_00,S,44
1508500,mS,TR_S,MS_00,S,440
1508600,mS,TR_S,MS_00,S,441
1508700,mS,TR_S,MS_00,S,442
1508800,mA,TR_A,MS_00,A,443
1508900,mA,TR_A,MS_00,A,444
1509000,mA,TR_A,MS_00,A,445
1509100,mS,TR_S,MS_00,S,446
1509200,mS,TR_S,MS_00,S,447
1509300,mS,TR_S,MS_00,S,448
1509400,mS,TR_S,MS_00,S,449
1104600,mS,TR_S,MS_00,S,45
1509500,mS,TR_S,MS_00,S,450
1509600,mS,TR_S,MS_00,S,451
1509700,mS,TR_S,MS_00,S,452
1509800,mA,TR_A,MS_00,A,453
1509900,mA,TR_E3,MS_00,E2,454
1510000,mA,TR_E3,MS_00,E2,455
1510100,mA,TR_E3,MS_00,E2,456
1510200,mA,TR_E3,MS_00,E2,457
1510300,mA,TR_E3,MS_00,E2,458
1510400,mA,TR_A,MS_00,A,459
1104700,mS,TR_S,MS_00,S,46
1510500,mS,TR_S,MS_00,S,460
1510600,mS,TR_S,MS_00,S,461
1510700,mS,TR_S,MS_00,S,462
1510800,mS,TR_S,MS_00,S,463
1510900,mS,TR_S,MS_00,S,464
1511000,mS,TR_S,MS_00,S,465
1511100,mS,TR_S,MS_00,S,466
1511200,mS,TR_S,MS_00,S,467
1511300,mS,TR_S,MS_00,S,468
1511400,mS,TR_S,MS_00,S,469
1104800,mS,TR_S,MS_00,S,47
1511500,mS,TR_S,MS_00,S,470
1511600,mS,TR_S,MS_00,S,471
1511700,mS,TR_S,MS_00,S,472
1511800,mS,TR_S,MS_00,S,473
1511900,mS,TR_S,MS_00,S,474
1512000,mS,TR_S,MS_00,S,475
1512100,mS,TR_S,MS_00,S,476
1512200,mS,TR_S,MS_00,S,477
1512300,mS,TR_S,MS_00,S,478
1512400,mS,TR_S,MS_00,S,479
1104900,mS,TR_S,MS_00,S,48
1512500,mS,TR_S,MS_00,S,480
1512600,mS,TR_S,MS_00,S,481
1512700,mS,TR_S,MS_00,S,482
1512800,mS,TR_S,MS_00,S,483
1512900,mS,TR_S,MS_00,S,484
1513000,mS,TR_S,MS_00,S,485
1513100,mS,TR_S,MS_00,S,486
1513200,mS,TR_S,MS_00,S,487
1513300,mS,TR_S,MS_00,S,488
1513400,mS,TR_S,MS_00,S,489
1105000,mS,TR_S,MS_00,S,49
1513500,mS,TR_S,MS_00,S,490
1513600,mS,TR_S,MS_00,S,491
1513700,mS,TR_S,MS_00,S,492
1513800,mS,TR_S,MS_00,S,493
1513900,mS,TR_S,MS_00,S,494
1514000,mS,TR_S,MS_00,S,495
1514100,mA,TR_A,MS_00,A,496
1514200,mS,TR_S,MS_00,S,497
1514300,mA,TR_A,MS_00,A,498
1514400,mS,TR_S,MS_00,S,499
1100500,mB,TR_B,MS_00,B,5
1105100,mS,TR_S,MS_00,S,50
1514500,mS,TR_S,MS_00,S,500
1514600,mA,TR_A,MS_00,A,501
1514700,mA,TR_A,MS_00,A,502
1514800,mS,TR_S,MS_00,S,503
1514900,mS,TR_S,MS_00,S,504
1515000,mS,TR_S,MS_00,S,505
1515100,mA,TR_A,MS_00,A,506
1515200,mS,TR_S,MS_00,S,507
1515300,mA,TR_A,MS_00,A,508
1515400,mS,TR_S,MS_00,S,509
1105200,mS,TR_S,MS_00,S,51
1515500,mS,TR_S,MS_00,S,510
1515600,mS,TR_S,MS_00,S,511
1515700,mS,TR_S,MS_00,S,512
1515800,mS,TR_S,MS_00,S,513
1515900,mS,TR_S,MS_00,S,514
1516000,mS,TR_S,MS_00,S,515
1516100,mS,TR_S,MS_00,S,516
1516200,mS,TR_S,MS_00,S,517
1516300,mS,TR_S,MS_00,S,518
1516400,mS,TR_S,MS_00,S,519
1105300,mS,TR_S,MS_00,S,52
1516500,mS,TR_S,MS_00,S,520
1516600,mA,TR_A,MS_00,A,521
1516700,mS,TR_S,MS_00,S,522
1516800,mS,TR_S,MS_00,S,523
1516900,mS,TR_S,MS_00,S,524
1517000,mS,TR_S,MS_00,S,525
1517100,mS,TR_S,MS_00,S,526
1517200,mS,TR_S,MS_00,S,527
1517300,mS,TR_S,MS_00,S,528
1517400,mS,TR_S,MS_00,S,529
1105400,mS,TR_S,MS_00,S,53
1517500,mA,TR_A,MS_00,A,530
1517600,mA,TR_E3,MS_00,E2,531
1517700,mA,TR_E3,MS_00,E2,532
1517800,mA,TR_A,MS_00,A,533
1517900,mS,TR_S,MS_00,S,534
1518000,mS,TR_S,MS_00,S,535
1518100,mS,TR_S,MS_00,S,536
1518200,mS,TR_S,MS_00,S,537
1518300,mS,TR_S,MS_00,S,538
1518400,mA,TR_E3,MS_00,E2,539
1105500,mS,TR_S,MS_00,S,54
1518500,mA,TR_E3,MS_00,E2,540
1518600,mA,TR_A,MS_00,A,541
1518700,mA,TR_A,MS_00,A,542
1518800,mA,TR_A,MS_00,A,543
1518900,mA,TR_A,MS_00,A,544
1519000,mS,TR_S,MS_00,S,545
1519100,mA,TR_A,MS_00,A,546
1519200,mA,TR_A,MS_00,A,547
1519300,mA,TR_A,MS_00,A,548
1519400,mS,TR_S,MS_00,S,549
1105600,mS,TR_S,MS_00,S,55
1519500,mS,TR_S,MS_00,S,550
1519600,mS,TR_S,MS_00,S,551
1519700,mS,TR_S,MS_00,S,552
1519800,mS,TR_S,MS_00,S,553
1519900,mS,TR_S,MS_00,S,554
1520000,mA,TR_A,MS_00,A,555
1520100,mS,TR_S,MS_00,S,556
1520200,mS,TR_S,MS_00,S,557
1520300,mS,TR_S,MS_00,S,558
1520400,mS,TR_S,MS_00,S,559
1105700,mS,TR_S,MS_00,S,56
1520500,mS,TR_S,MS_00,S,560
1520600,mA,TR_A,MS_00,A,561
1520700,mS,TR_S,MS_00,S,562
1520800,mA,TR_A,MS_00,A,563
1520900,mS,TR_S,MS_00,S,564
1521000,mS,TR_S,MS_00,S,565
1521100,mA,TR_E3,MS_00,E2,566
1521200,mA,TR_E3,MS_00,E2,567
1521300,mS,TR_S,MS_00,S,568
1521400,mS,TR_S,MS_00,S,569
1105800,mS,TR_S,MS_00,S,57
