group_seq,magic_group,upgrade_group,_key
1304800,A,A,1380
1304800,A,A,1381
1304800,A,A,1382
1304800,A,A,1383
1304800,A,A,1384
1304800,A,A,1385
1304800,A,A,1386
1304900,A,A,1387
1304900,A,A,1388
1304900,A,A,1389
1101300,A,A,139
1304900,A,A,1390
1304900,A,A,1391
1304900,A,A,1392
1304900,A,A,1393
1304900,A,A,1394
1304900,A,A,1395
1304900,A,A,1396
1304900,A,A,1397
1305000,A,A,1398
1305000,A,A,1399
1100200,B,B,14
1101300,A,A,140
1305000,A,A,1400
1305000,A,A,1401
1305000,A,A,1402
1305000,A,A,1403
1305000,A,A,1404
1305000,A,A,1405
1305000,A,A,1406
1305000,A,A,1407
1305000,A,A,1408
1305100,S,S,1409
1101300,A,A,141
1305100,S,S,1410
1305100,S,S,1411
1305100,S,S,1412
1305100,S,S,1413
1305100,S,S,1414
1305100,S,S,1415
1305100,S,S,1416
1305100,S,S,1417
1305100,S,S,1418
1305100,S,S,1419
1101300,A,A,142
1305200,S,S,1420
1305200,S,S,1421
1305200,S,S,1422
1305200,S,S,1423
1305200,S,S,1424
1305200,S,S,1425
1305200,S,S,1426
1305200,S,S,1427
1305200,S,S,1428
1305200,S,S,1429
1101300,A,A,143
1305200,S,S,1430
1305300,S,S,1431
1305300,S,S,1432
1305300,S,S,1433
1305300,S,S,1434
1305300,S,S,1435
1305300,S,S,1436
1305300,S,S,1437
1305300,S,S,1438
1305300,S,S,1439
1101400,B,B,144
1305300,S,S,1440
1305300,S,S,1441
1305400,S,S,1442
1305400,S,S,1443
1305400,S,S,1444
1305400,S,S,1445
1305400,S,S,1446
1305400,S,S,1447
1305400,S,S,1448
1305400,S,S,1449
1101400,B,B,145
1305400,S,S,1450
1305400,S,S,1451
1305400,S,S,1452
1305500,S,S,1453
1305500,S,S,1454
1305500,S,S,1455
1305500,S,S,1456
1305500,S,S,1457
1305500,S,S,1458
1305500,S,S,1459
1101400,B,B,146
1305500,S,S,1460
1305500,S,S,1461
1305500,S,S,1462
1305500,S,S,1463
1305600,S,S,1464
1305600,S,S,1465
1305600,S,S,1466
1305600,S,S,1467
1305600,S,S,1468
1305600,S,S,1469
1101400,B,B,147
1305600,S,S,1470
1305600,S,S,1471
1305600,S,S,1472
1305600,S,S,1473
1305600,S,S,1474
1305700,S,S,1475
1305700,S,S,1476
1305700,S,S,1477
1305700,S,S,1478
1305700,S,S,1479
1101400,B,B,148
1305700,S,S,1480
1305700,S,S,1481
1305700,S,S,1482
1305700,S,S,1483
1305700,S,S,1484
1305700,S,S,1485
1305800,S,S,1486
1305800,S,S,1487
1305800,S,S,1488
1305800,S,S,1489
1101400,B,B,149
1305800,S,S,1490
1305800,S,S,1491
1305800,S,S,1492
1305800,S,S,1493
1305800,S,S,1494
1305800,S,S,1495
1305800,S,S,1496
1305900,S,S,1497
1305900,S,S,1498
1305900,S,S,1499
1100200,B,B,15
1101400,B,B,150
1305900,S,S,1500
1305900,S,S,1501
1305900,S,S,1502
1305900,S,S,1503
1305900,S,S,1504
1305900,S,S,1505
1305900,S,S,1506
1305900,S,S,1507
1306000,S,S,1508
1306000,S,S,1509
1101400,B,B,151
1306000,S,S,1510
1306000,S,S,1511
1306000,S,S,1512
1306000,S,S,1513
1306000,S,S,1514
1306000,S,S,1515
1306000,S,S,1516
1306000,S,S,1517
1306000,S,S,1518
1306100,S,S,1519
1101400,B,B,152
1306100,S,S,1520
1306100,S,S,1521
1306100,S,S,1522
1306100,S,S,1523
1306100,S,S,1524
1306100,S,S,1525
1306100,S,S,1526
1306100,S,S,1527
1306100,S,S,1528
1306100,S,S,1529
1101400,B,B,153
1306200,S,S,1530
1306200,S,S,1531
1306200,S,S,1532
1306200,S,S,1533
1306200,S,S,1534
1306200,S,S,1535
1306200,S,S,1536
1306200,S,S,1537
1306200,S,S,1538
1306200,S,S,1539
1101400,B,B,154
1306200,S,S,1540
1306300,S,S,1541
1306300,S,S,1542
1306300,S,S,1543
1306300,S,S,1544
1306300,S,S,1545
1306300,S,S,1546
1306300,S,S,1547
1306300,S,S,1548
1306300,S,S,1549
1101500,A,A,155
1306300,S,S,1550
1306300,S,S,1551
1306400,S,S,1552
1306400,S,S,1553
1306400,S,S,1554
1306400,S,S,1555
1306400,S,S,1556
1306400,S,S,1557
1306400,S,S,1558
1306400,S,S,1559
1101500,A,A,156
1306400,S,S,1560
1306400,S,S,1561
1306400,S,S,1562
1306500,S,S,1563
1306500,S,S,1564
1306500,S,S,1565
1306500,S,S,1566
1306500,S,S,1567
1306500,S,S,1568
1306500,S,S,1569
1101500,A,A,157
1306500,S,S,1570
1306500,S,S,1571
1306500,S,S,1572
1306500,S,S,1573
1306600,S,S,1574
1306600,S,S,1575
1306600,S,S,1576
1306600,S,S,1577
1306600,S,S,1578
1306600,S,S,1579
1101500,A,A,158
1306600,S,S,1580
1306600,S,S,1581
1306600,S,S,1582
1306600,S,S,1583
1306600,S,S,1584
1306700,S,S,1585
1306700,S,S,1586
1306700,S,S,1587
1306700,S,S,1588
1306700,S,S,1589
1101500,A,A,159
1306700,S,S,1590
1306700,S,S,1591
1306700,S,S,1592
1306700,S,S,1593
1306700,S,S,1594
1306700,S,S,1595
1306800,S,S,1596
1306800,S,S,1597
1306800,S,S,1598
1306800,S,S,1599
1100200,B,B,16
1101500,A,A,160
1306800,S,S,1600
1306800,S,S,1601
1306800,S,S,1602
1306800,S,S,1603
1306800,S,S,1604
1306800,S,S,1605
1306800,S,S,1606
1306900,S,S,1607
1306900,S,S,1608
1306900,S,S,1609
1101500,A,A,161
1306900,S,S,1610
1306900,S,S,1611
1306900,S,S,1612
1306900,S,S,1613
1306900,S,S,1614
1306900,S,S,1615
1306900,S,S,1616
1306900,S,S,1617
1307000,S,S,1618
1307000,S,S,1619
1101500,A,A,162
1307000,S,S,1620
1307000,S,S,1621
1307000,S,S,1622
1307000,S,S,1623
1307000,S,S,1624
1307000,S,S,1625
1307000,S,S,1626
1307000,S,S,1627
1307000,S,S,1628
1307100,S,S,1629
1101500,A,A,163
1307100,S,S,1630
1307100,S,S,1631
1307100,S,S,1632
1307100,S,S,1633
1307100,S,S,1634
1307100,S,S,1635
1307100,S,S,1636
1307100,S,S,1637
1307100,S,S,1638
1307100,S,S,1639
1101500,A,A,164
1307200,S,S,1640
1307200,S,S,1641
1307200,S,S,1642
1307200,S,S,1643
1307200,S,S,1644
1307200,S,S,1645
1307200,S,S,1646
1307200,S,S,1647
1307200,S,S,1648
1307200,S,S,1649
1101500,A,A,165
1307200,S,S,1650
1307300,S,S,1651
1307300,S,S,1652
1307300,S,S,1653
1307300,S,S,1654
1307300,S,S,1655
1307300,S,S,1656
1307300,S,S,1657
1307300,S,S,1658
1307300,S,S,1659
1101600,S,S,166
1307300,S,S,1660
1307300,S,S,1661
1307400,S,S,1662
1307400,S,S,1663
1307400,S,S,1664
1307400,S,S,1665
1307400,S,S,1666
1307400,S,S,1667
1307400,S,S,1668
1307400,S,S,1669
1101600,S,S,167
1307400,S,S,1670
1307400,S,S,1671
1307400,S,S,1672
1307500,S,S,1673
1307500,S,S,1674
1307500,S,S,1675
1307500,S,S,1676
1307500,S,S,1677
1307500,S,S,1678
1307500,S,S,1679
1101600,S,S,168
1307500,S,S,1680
1307500,S,S,1681
1307500,S,S,1682
1307500,S,S,1683
1307600,S,S,1684
1307600,S,S,1685
1307600,S,S,1686
1307600,S,S,1687
1307600,S,S,1688
1307600,S,S,1689
1101600,S,S,169
1307600,S,S,1690
1307600,S,S,1691
1307600,S,S,1692
1307600,S,S,1693
1307600,S,S,1694
1307700,S,S,1695
1307700,S,S,1696
1307700,S,S,1697
1307700,S,S,1698
1307700,S,S,1699
1100200,B,B,17
1101600,S,S,170
1307700,S,S,1700
1307700,S,S,1701
1307700,S,S,1702
1307700,S,S,1703
1307700,S,S,1704
1307700,S,S,1705
1307800,S,S,1706
1307800,S,S,1707
1307800,S,S,1708
1307800,S,S,1709
1101600,S,S,171
1307800,S,S,1710
1307800,S,S,1711
1307800,S,S,1712
1307800,S,S,1713
1307800,S,S,1714
1307800,S,S,1715
1307800,S,S,1716
1307900,S,S,1717
1307900,S,S,1718
1307900,S,S,1719
1101600,S,S,172
1307900,S,S,1720
1307900,S,S,1721
1307900,S,S,1722
1307900,S,S,1723
1307900,S,S,1724
1307900,S,S,1725
1307900,S,S,1726
1307900,S,S,1727
1308000,S,S,1728
1308000,S,S,1729
1101600,S,S,173
1308000,S,S,1730
1308000,S,S,1731
1308000,S,S,1732
1308000,S,S,1733
1308000,S,S,1734
1308000,S,S,1735
1308000,S,S,1736
1308000,S,S,1737
1308000,S,S,1738
1308100,S,S,1739
1101600,S,S,174
1308100,S,S,1740
1308100,S,S,1741
1308100,S,S,1742
1308100,S,S,1743
1308100,S,S,1744
1308100,S,S,1745
1308100,S,S,1746
1308100,S,S,1747
1308100,S,S,1748
1308100,S,S,1749
1101600,S,S,175
1308200,S,S,1750
1308200,S,S,1751
1308200,S,S,1752
1308200,S,S,1753
1308200,S,S,1754
1308200,S,S,1755
1308200,S,S,1756
1308200,S,S,1757
1308200,S,S,1758
1308200,S,S,1759
1101600,S,S,176
1308200,S,S,1760
1308300,S,S,1761
1308300,S,S,1762
1308300,S,S,1763
1308300,S,S,1764
1308300,S,S,1765
1308300,S,S,1766
1308300,S,S,1767
1308300,S,S,1768
1308300,S,S,1769
1101700,A,A,177
1308300,S,S,1770
1308300,S,S,1771
1308400,S,S,1772
1308400,S,S,1773
1308400,S,S,1774
1308400,S,S,1775
1308400,S,S,1776
1308400,S,S,1777
1308400,S,S,1778
1308400,S,S,1779
1101700,A,A,178
1308400,S,S,1780
1308400,S,S,1781
1308400,S,S,1782
1308500,S,S,1783
1308500,S,S,1784
1308500,S,S,1785
1308500,S,S,1786
1308500,S,S,1787
1308500,S,S,1788
1308500,S,S,1789
1101700,A,A,179
1308500,S,S,1790
1308500,S,S,1791
1308500,S,S,1792
1308500,S,S,1793
1308600,A,A,1794
1308600,A,A,1795
1308600,A,A,1796
1308600,A,A,1797
1308600,A,A,1798
1308600,A,A,1799
1100200,B,B,18
1101700,A,A,180
1308600,A,A,1800
1308600,A,A,1801
1308600,A,A,1802
1308600,A,A,1803
1308600,A,A,1804
1308700,A,A,1805
1308700,A,A,1806
1308700,A,A,1807
1308700,A,A,1808
1308700,A,A,1809
1101700,A,A,181
1308700,A,A,1810
1308700,A,A,1811
1308700,A,A,1812
1308700,A,A,1813
1308700,A,A,1814
1308700,A,A,1815
1308800,A,A,1816
1308800,A,A,1817
1308800,A,A,1818
1308800,A,A,1819
1101700,A,A,182
1308800,A,A,1820
1308800,A,A,1821
1308800,A,A,1822
1308800,A,A,1823
1308800,A,A,1824
1308800,A,A,1825
1308800,A,A,1826
1308900,A,A,1827
1308900,A,A,1828
1308900,A,A,1829
1101700,A,A,183
1308900,A,A,1830
1308900,A,A,1831
1308900,A,A,1832
1308900,A,A,1833
1308900,A,A,1834
1308900,A,A,1835
1308900,A,A,1836
1308900,A,A,1837
1309000,A,A,1838
1309000,A,A,1839
1101700,A,A,184
1309000,A,A,1840
1309000,A,A,1841
1309000,A,A,1842
1309000,A,A,1843
1309000,A,A,1844
1309000,A,A,1845
1309000,A,A,1846
1309000,A,A,1847
1309000,A,A,1848
1500100,A,A,1849
1101700,A,A,185
1500100,A,A,1850
1500100,A,A,1851
1500100,A,A,1852
1500100,A,A,1853
1500100,A,A,1854
1500100,A,A,1855
1500100,A,A,1856
1500100,A,A,1857
1500100,A,A,1858
1500100,A,A,1859
1101700,A,A,186
1500200,A,A,1860
1500200,A,A,1861
1500200,A,A,1862
1500200,A,A,1863
1500200,A,A,1864
1500200,A,A,1865
1500200,A,A,1866
1500200,A,A,1867
1500200,A,A,1868
1500200,A,A,1869
1101700,A,A,187
1500200,A,A,1870
1500300,A,A,1871
1500300,A,A,1872
1500300,A,A,1873
1500300,A,A,1874
1500300,A,A,1875
1500300,A,A,1876
1500300,A,A,1877
1500300,A,A,1878
1500300,A,A,1879
1101800,S,S,188
1500300,A,A,1880
1500300,A,A,1881
1500400,S,S,1882
1500400,S,S,1883
1500400,S,S,1884
1500400,S,S,1885
1500400,S,S,1886
1500400,S,S,1887
1500400,S,S,1888
1500400,S,S,1889
1101800,S,S,189
1500400,S,S,1890
1500400,S,S,1891
1500400,S,S,1892
1500500,S,S,1893
1500500,S,S,1894
1500500,S,S,1895
1500500,S,S,1896
1500500,S,S,1897
1500500,S,S,1898
1500500,S,S,1899
1100200,B,B,19
1101800,S,S,190
1500500,S,S,1900
1500500,S,S,1901
1500500,S,S,1902
1500500,S,S,1903
1500600,A,A,1904
1500600,A,A,1905
1500600,A,A,1906
1500600,A,A,1907
1500600,A,A,1908
1500600,A,A,1909
1101800,S,S,191
1500600,A,A,1910
1500600,A,A,1911
1500600,A,A,1912
1500600,A,A,1913
1500600,A,A,1914
1500700,S,S,1915
1500700,S,S,1916
1500700,S,S,1917
1500700,S,S,1918
1500700,S,S,1919
1101800,S,S,192
1500700,S,S,1920
1500700,S,S,1921
1500700,S,S,1922
1500700,S,S,1923
1500700,S,S,1924
1500700,S,S,1925
1500800,A,A,1926
1500800,A,A,1927
1500800,A,A,1928
1500800,A,A,1929
1101800,S,S,193
1500800,A,A,1930
1500800,A,A,1931
1500800,A,A,1932
1500800,A,A,1933
1500800,A,A,1934
1500800,A,A,1935
1500800,A,A,1936
1500900,A,A,1937
1500900,A,A,1938
1500900,A,A,1939
1101800,S,S,194
1500900,A,A,1940
1500900,A,A,1941
1500900,A,A,1942
1500900,A,A,1943
1500900,A,A,1944
1500900,A,A,1945
1500900,A,A,1946
1500900,A,A,1947
1501000,A,A,1948
1501000,A,A,1949
1101800,S,S,195
1501000,A,A,1950
1501000,A,A,1951
1501000,A,A,1952
1501000,A,A,1953
1501000,A,A,1954
1501000,A,A,1955
1501000,A,A,1956
1501000,A,A,1957
1501000,A,A,1958
1501100,A,A,1959
1101800,S,S,196
1501100,A,A,1960
1501100,A,A,1961
1501100,A,A,1962
1501100,A,A,1963
1501100,A,A,1964
1501100,A,A,1965
1501100,A,A,1966
1501100,A,A,1967
1501100,A,A,1968
1501100,A,A,1969
1101800,S,S,197
1501200,S,S,1970
1501200,S,S,1971
1501200,S,S,1972
1501200,S,S,1973
1501200,S,S,1974
1501200,S,S,1975
1501200,S,S,1976
1501200,S,S,1977
1501200,S,S,1978
1501200,S,S,1979
1101800,S,S,198
1501200,S,S,1980
1501300,S,S,1981
1501300,S,S,1982
1501300,S,S,1983
1501300,S,S,1984
1501300,S,S,1985
1501300,S,S,1986
1501300,S,S,1987
1501300,S,S,1988
1501300,S,S,1989
1101900,S,S,199
1501300,S,S,1990
1501300,S,S,1991
1501400,A,A,1992
1501400,A,A,1993
1501400,A,A,1994
1501400,A,A,1995
1501400,A,A,1996
1501400,A,A,1997
1501400,A,A,1998
1501400,A,A,1999
1100100,C,C,2
1100200,B,B,20
1101900,S,S,200
1501400,A,A,2000
1501400,A,A,2001
1501400,A,A,2002
1101900,S,S,201
1101900,S,S,202
1101900,S,S,203
1101900,S,S,204
1101900,S,S,205
1101900,S,S,206
1101900,S,S,207
1101900,S,S,208
1101900,S,S,209
1100200,B,B,21
1102000,S,S,210
1102000,S,S,211
1102000,S,S,212
1102000,S,S,213
1102000,S,S,214
1102000,S,S,215
1102000,S,S,216
1102000,S,S,217
1102000,S,S,218
1102000,S,S,219
1100200,B,B,22
1102000,S,S,220
1102100,S,S,221
1102100,S,S,222
1102100,S,S,223
1102100,S,S,224
1102100,S,S,225
1102100,S,S,226
1102100,S,S,227
1102100,S,S,228
1102100,S,S,229
1100300,C,C,23
1102100,S,S,230
1102100,S,S,231
1102200,S,S,232
1102200,S,S,233
1102200,S,S,234
1102200,S,S,235
1102200,S,S,236
1102200,S,S,237
1102200,S,S,238
1102200,S,S,239
1100300,C,C,24
1102200,S,S,240
1102200,S,S,241
1102200,S,S,242
1102300,S,S,243
1102300,S,S,244
1102300,S,S,245
1102300,S,S,246
1102300,S,S,247
1102300,S,S,248
1102300,S,S,249
1100300,C,C,25
1102300,S,S,250
1102300,S,S,251
1102300,S,S,252
1102300,S,S,253
1102400,S,S,254
1102400,S,S,255
1102400,S,S,256
1102400,S,S,257
1102400,S,S,258
1102400,S,S,259
1100300,C,C,26
1102400,S,S,260
1102400,S,S,261
1102400,S,S,262
1102400,S,S,263
1102400,S,S,264
1102500,S,S,265
1102500,S,S,266
1102500,S,S,267
1102500,S,S,268
1102500,S,S,269
1100300,C,C,27
1102500,S,S,270
1102500,S,S,271
1102500,S,S,272
1102500,S,S,273
1102500,S,S,274
1102500,S,S,275
1102600,S,S,276
1102600,S,S,277
1102600,S,S,278
1102600,S,S,279
1100300,C,C,28
1102600,S,S,280
1102600,S,S,281
1102600,S,S,282
1102600,S,S,283
1102600,S,S,284
1102600,S,S,285
1102600,S,S,286
1102700,S,S,287
1102700,S,S,288
1102700,S,S,289
1100300,C,C,29
1102700,S,S,290
1102700,S,S,291
1102700,S,S,292
1102700,S,S,293
1102700,S,S,294
1102700,S,S,295
1102700,S,S,296
1102700,S,S,297
1102800,S,S,298
1102800,S,S,299
1100100,C,C,3
1100300,C,C,30
1102800,S,S,300
1102800,S,S,301
1102800,S,S,302
1102800,S,S,303
1102800,S,S,304
1102800,S,S,305
1102800,S,S,306
1102800,S,S,307
1102800,S,S,308
1102900,S,S,309
1100300,C,C,31
1102900,S,S,310
1102900,S,S,311
1102900,S,S,312
1102900,S,S,313
1102900,S,S,314
1102900,S,S,315
1102900,S,S,316
1102900,S,S,317
1102900,S,S,318
1102900,S,S,319
1100300,C,C,32
1103000,S,S,320
1103000,S,S,321
1103000,S,S,322
1103000,S,S,323
1103000,S,S,324
1103000,S,S,325
1103000,S,S,326
1103000,S,S,327
1103000,S,S,328
1103000,S,S,329
1100300,C,C,33
1103000,S,S,330
1103100,S,S,331
1103100,S,S,332
1103100,S,S,333
1103100,S,S,334
1103100,S,S,335
1103100,S,S,336
1103100,S,S,337
1103100,S,S,338
1103100,S,S,339
1100400,A,A,34
1103100,S,S,340
1103100,S,S,341
1103200,S,S,342
1103200,S,S,343
1103200,S,S,344
1103200,S,S,345
1103200,S,S,346
1103200,S,S,347
1103200,S,S,348
1103200,S,S,349
1100400,A,A,35
1103200,S,S,350
1103200,S,S,351
1103200,S,S,352
1103300,S,S,353
1103300,S,S,354
1103300,S,S,355
1103300,S,S,356
1103300,S,S,357
1103300,S,S,358
1103300,S,S,359
1100400,A,A,36
1103300,S,S,360
1103300,S,S,361
