Chance,EpisodeId,HideName,IncludedByNext,ScenarioSet,Stage,Theme,health_modifier_ms,health_modifier_value,platform_1,platform_10,platform_100,platform_101,platform_102,platform_11,platform_12,platform_13,platform_14,platform_15,platform_16,platform_17,platform_18,platform_19,platform_2,platform_20,platform_21,platform_22,platform_23,platform_24,platform_25,platform_26,platform_27,platform_28,platform_29,platform_3,platform_30,platform_31,platform_32,platform_33,platform_34,platform_35,platform_36,platform_37,platform_38,platform_39,platform_4,platform_40,platform_41,platform_42,platform_43,platform_44,platform_45,platform_46,platform_47,platform_48,platform_49,platform_5,platform_50,platform_51,platform_52,platform_53,platform_54,platform_55,platform_56,platform_57,platform_58,platform_59,platform_6,platform_60,platform_61,platform_62,platform_63,platform_64,platform_65,platform_66,platform_67,platform_68,platform_69,platform_7,platform_70,platform_71,platform_72,platform_73,platform_74,platform_75,platform_76,platform_77,platform_78,platform_79,platform_8,platform_80,platform_81,platform_82,platform_83,platform_84,platform_85,platform_86,platform_87,platform_88,platform_89,platform_9,platform_90,platform_91,platform_92,platform_93,platform_94,platform_95,platform_96,platform_97,platform_98,platform_99,speed,_key
1,503,0,,2,2,106,1000,5,1,208,,,,209,210,211,212,213,214,215,216,217,200,218,3,4,5,6,,,,,,201,,,,,,,,,,,202,,,,,,,,,,,203,,,,,,,,,,,204,,,,,,,,,,,205,,,,,,,,,,,206,,,,,,,,,,,207,,,,,,,,,,,870,epS03_tm02_1
1,503,0,,2,2,107,1000,5,1,258,,,,259,260,261,262,263,264,265,266,267,250,268,3,4,5,6,,,,,,251,,,,,,,,,,,252,,,,,,,,,,,253,,,,,,,,,,,254,,,,,,,,,,,255,,,,,,,,,,,256,,,,,,,,,,,257,,,,,,,,,,,870,epS03_tm02_2
1,503,0,,3,3,105,1000,5,1,308,,,,309,310,311,312,313,314,315,316,317,300,318,319,320,321,3,4,5,6,,,301,,,,,,,,,,,302,,,,,,,,,,,303,,,,,,,,,,,304,,,,,,,,,,,305,,,,,,,,,,,306,,,,,,,,,,,307,,,,,,,,,,,1000,epS03_tm03_1
1,503,0,,3,3,205,1000,5,1,358,,,,359,360,361,362,363,364,365,366,367,350,368,369,370,371,372,3,4,5,6,,351,,,,,,,,,,,352,,,,,,,,,,,353,,,,,,,,,,,354,,,,,,,,,,,355,,,,,,,,,,,356,,,,,,,,,,,357,,,,,,,,,,,1000,epS03_tm03_2
1,503,0,,4,4,50302,1000,5,1,408,,,,409,410,411,412,413,414,415,416,417,400,418,419,420,421,3,4,5,6,,,401,,,,,,,,,,,402,,,,,,,,,,,403,,,,,,,,,,,404,,,,,,,,,,,405,,,,,,,,,,,406,,,,,,,,,,,407,,,,,,,,,,,1050,epS03_tm04_1
1,503,0,,4,4,502,1000,5,1,458,,,,459,460,461,462,463,464,465,466,467,450,468,469,470,471,3,4,5,6,,,451,,,,,,,,,,,452,,,,,,,,,,,453,,,,,,,,,,,454,,,,,,,,,,,455,,,,,,,,,,,456,,,,,,,,,,,457,,,,,,,,,,,1050,epS03_tm04_2
1,503,0,,5,5,109,1000,5,1,508,,,,509,510,511,512,513,514,515,516,517,500,518,519,520,521,522,523,524,525,3,4,501,5,6,,,,,,,,,502,,,,,,,,,,,503,,,,,,,,,,,504,,,,,,,,,,,505,,,,,,,,,,,506,,,,,,,,,,,507,,,,,,,,,,,1100,epS03_tm05_1
1,503,0,,5,5,204,1000,5,1,558,,,,559,560,561,562,563,564,565,566,567,550,568,569,570,571,572,573,574,575,3,4,551,5,6,,,,,,,,,552,,,,,,,,,,,553,,,,,,,,,,,554,,,,,,,,,,,555,,,,,,,,,,,556,,,,,,,,,,,557,,,,,,,,,,,1100,epS03_tm05_2
1,503,0,,6,6,50301,1000,5,1,608,,,,609,610,611,612,613,614,615,616,617,600,618,619,620,621,622,623,624,625,626,627,601,628,629,630,631,632,633,634,635,3,4,602,5,6,,,,,,,,,603,,,,,,,,,,,604,,,,,,,,,,,605,,,,,,,,,,,606,,,,,,,,,,,607,,,,,,,,,,,1150,epS03_tm06_1
1,503,0,,6,6,305,1000,5,1,658,,,,659,660,661,662,663,664,665,666,667,650,668,669,670,671,672,673,674,675,676,677,651,678,679,680,681,682,683,684,685,3,4,652,5,6,,,,,,,,,653,,,,,,,,,,,654,,,,,,,,,,,655,,,,,,,,,,,656,,,,,,,,,,,657,,,,,,,,,,,1150,epS03_tm06_2
1,503,0,,7,7,202,1000,5,1,708,,,,709,710,711,712,713,714,715,716,717,700,718,719,720,721,722,723,724,725,726,727,701,728,729,730,731,732,733,734,735,736,737,702,738,739,740,741,742,743,744,745,746,747,703,748,749,3,4,5,6,,,,,704,,,,,,,,,,,705,,,,,,,,,,,706,,,,,,,,,,,707,,,,,,,,,,,1200,epS03_tm07_1
1,503,0,,7,7,111,1000,5,1,758,,,,759,760,761,762,763,764,765,766,767,750,768,769,770,771,772,773,774,775,776,777,751,778,779,780,781,782,783,784,785,786,787,752,788,789,790,791,792,793,794,795,796,797,753,798,799,3,4,5,6,,,,,754,,,,,,,,,,,755,,,,,,,,,,,756,,,,,,,,,,,757,,,,,,,,,,,1200,epS03_tm07_2
1,503,0,,8,8,50303,1000,5,1,808,898,899,900,809,810,811,812,813,814,815,816,817,800,818,819,820,821,822,823,824,825,826,827,801,828,829,830,831,832,833,834,835,836,837,802,838,839,840,841,842,843,844,845,846,847,803,848,849,850,851,852,853,854,855,856,857,804,858,859,860,861,862,863,864,865,866,867,805,868,869,870,871,872,873,874,875,876,877,806,878,879,880,881,882,883,884,885,886,887,807,888,889,890,891,892,893,894,895,896,897,1300,epS03_tm08_1
1,503,0,,8,8,50304,1000,5,1,1008,1098,1099,1100,1009,1010,1011,1012,1013,1014,1015,1016,1017,1000,1018,1019,1020,1021,1022,1023,1024,1025,1026,1027,1001,1028,1029,1030,1031,1032,1033,1034,1035,1036,1037,1002,1038,1039,1040,1041,1042,1043,1044,1045,1046,1047,1003,1048,1049,1050,1051,1052,1053,1054,1055,1056,1057,1004,1058,1059,1060,1061,1062,1063,1064,1065,1066,1067,1005,1068,1069,1070,1071,1072,1073,1074,1075,1076,1077,1006,1078,1079,1080,1081,1082,1083,1084,1085,1086,1087,1007,1088,1089,1090,1091,1092,1093,1094,1095,1096,1097,1300,epS03_tm08_2
