ConditionId_1,ConditionId_2,ConditionId_3,Parameter_1,Parameter_2,Parameter_3,Relation_1,Relation_2,Relation_3,RequiredAmount_1,RequiredAmount_2,RequiredAmount_3,_key
7,7,0,0,0,0,2,2,0,104700,205400,0,11010
7,7,0,0,0,0,2,2,0,104800,205900,0,11020
7,7,0,0,0,0,2,2,0,105000,206000,0,11030
5,0,0,0,0,0,2,0,0,207900,0,0,111
7,7,0,0,0,0,2,2,0,105100,206100,0,11160
7,7,0,0,0,0,2,2,0,105200,206300,0,11170
7,7,0,0,0,0,2,2,0,105300,206400,0,11190
5,0,0,0,0,0,2,0,0,208000,0,0,112
7,7,0,0,0,0,2,2,0,105400,206600,0,11200
7,7,0,0,0,0,2,2,0,105500,206700,0,11210
7,7,0,0,0,0,2,2,0,105600,206900,0,11220
7,7,0,0,0,0,2,2,0,105700,207000,0,11230
7,7,0,0,0,0,2,2,0,105800,207100,0,11240
7,7,0,0,0,0,2,2,0,106000,207300,0,11260
7,7,0,0,0,0,2,2,0,105900,207200,0,11270
7,7,0,0,0,0,2,2,0,106100,207400,0,11290
5,0,0,0,0,0,2,0,0,106700,0,0,113
7,7,0,0,0,0,2,2,0,106200,207500,0,11300
7,7,0,0,0,0,2,2,0,106300,207600,0,11310
7,7,0,0,0,0,2,2,0,106400,207700,0,11320
7,7,0,0,0,0,2,2,0,106600,207800,0,11330
7,7,0,0,0,0,2,2,0,106700,207900,0,11340
7,7,0,0,0,0,2,2,0,106800,208000,0,11350
7,7,0,0,0,0,2,2,0,106900,208100,0,11360
7,7,0,0,0,0,2,2,0,107100,208200,0,11370
7,7,0,0,0,0,2,2,0,106500,206800,0,11380
7,7,0,0,0,0,2,2,0,107200,208300,0,11390
9,0,0,0,0,0,1,0,0,58,0,0,114
7,7,0,0,0,0,2,2,0,103700,202900,0,11400
7,7,0,0,0,0,2,2,0,104600,206500,0,11410
7,7,0,0,0,0,2,2,0,103300,204600,0,11420
7,7,0,0,0,0,2,2,0,102500,206000,0,11430
7,7,0,0,0,0,2,2,0,102800,203500,0,11440
7,7,0,0,0,0,2,2,0,107200,204400,0,11450
7,7,0,0,0,0,2,2,0,106800,204300,0,11460
7,7,0,0,0,0,2,2,0,104900,206000,0,11470
7,7,0,0,0,0,2,2,0,107000,204200,0,11480
7,7,0,0,0,0,2,2,0,107300,208400,0,11490
29,0,0,500002,0,0,1,0,0,400,0,0,115
7,7,0,0,0,0,2,2,0,107400,208500,0,11500
7,7,0,0,0,0,2,2,0,107400,203500,0,11510
7,7,0,0,0,0,2,2,0,107500,208700,0,11520
7,7,0,0,0,0,2,2,0,107700,208900,0,11530
7,7,0,0,0,0,2,2,0,107800,209000,0,11540
7,7,0,0,0,0,2,2,0,107800,209100,0,11550
7,7,0,0,0,0,2,2,0,107900,209000,0,11560
7,7,0,0,0,0,2,2,0,107900,209100,0,11570
7,7,0,0,0,0,2,2,0,108000,209200,0,11580
7,7,0,0,0,0,2,2,0,104000,205300,0,11590
18,0,0,0,0,0,1,0,0,45,0,0,116
7,7,0,0,0,0,2,2,0,108100,209300,0,11600
7,7,0,0,0,0,2,2,0,108200,209400,0,11610
7,7,0,0,0,0,2,2,0,108300,209500,0,11620
7,7,0,0,0,0,2,2,0,108400,209600,0,11630
7,7,0,0,0,0,2,2,0,108500,209700,0,11640
7,7,0,0,0,0,2,2,0,103700,209700,0,11650
7,7,0,0,0,0,2,2,0,104600,209700,0,11660
7,7,0,0,0,0,2,2,0,106800,209700,0,11670
7,7,0,0,0,0,2,2,0,108600,209800,0,11680
7,7,0,0,0,0,2,2,0,108800,209900,0,11690
22,0,0,0,0,0,1,0,0,35,0,0,117
7,7,0,0,0,0,2,2,0,108900,210000,0,11700
7,7,0,0,0,0,2,2,0,109000,210100,0,11710
7,7,0,0,0,0,2,2,0,109100,210200,0,11720
7,7,0,0,0,0,2,2,0,109200,210300,0,11730
7,7,0,0,0,0,2,2,0,109300,210400,0,11740
28,0,0,500003,0,0,1,0,0,400,0,0,118
9,0,0,0,0,0,1,0,0,67,0,0,119
2,0,0,0,0,0,1,0,0,3,0,0,12
15,0,0,0,0,0,1,0,0,70,0,0,120
5,0,0,0,0,0,2,0,0,209100,0,0,121
22,0,0,0,0,0,1,0,0,40,0,0,122
28,0,0,500004,0,0,1,0,0,20,0,0,123
5,0,0,0,0,0,2,0,0,209400,0,0,124
22,0,0,0,0,0,1,0,0,50,0,0,125
18,0,0,0,0,0,1,0,0,55,0,0,126
28,0,0,500005,0,0,1,0,0,20,0,0,127
9,0,0,0,0,0,1,0,0,75,0,0,128
5,0,0,0,0,0,2,0,0,209900,0,0,129
2,0,0,0,0,0,1,0,0,9,0,0,13
5,5,0,0,0,0,2,2,0,107500,103300,0,130
29,0,0,500006,0,0,1,0,0,400,0,0,131
22,0,0,0,0,0,1,0,0,60,0,0,132
28,0,0,500007,0,0,1,0,0,20,0,0,133
5,0,0,0,0,0,2,0,0,210400,0,0,134
2,0,0,0,0,0,1,0,0,19,0,0,14
2,0,0,0,0,0,1,0,0,29,0,0,15
2,0,0,0,0,0,1,0,0,34,0,0,16
2,0,0,0,0,0,1,0,0,39,0,0,17
2,0,0,0,0,0,1,0,0,45,0,0,18
2,0,0,0,0,0,1,0,0,49,0,0,19
1,0,0,0,0,0,1,0,0,1000,0,0,2
2,0,0,0,0,0,1,0,0,59,0,0,20
2,0,0,0,0,0,1,0,0,74,0,0,21
2,0,0,0,0,0,1,0,0,119,0,0,22
2,0,0,0,0,0,1,0,0,149,0,0,23
2,0,0,0,0,0,1,0,0,99,0,0,24
4,0,0,0,0,0,1,0,0,2,0,0,25
4,0,0,0,0,0,1,0,0,5,0,0,26
4,0,0,0,0,0,1,0,0,8,0,0,27
4,0,0,0,0,0,1,0,0,15,0,0,28
4,0,0,0,0,0,1,0,0,20,0,0,29
1,0,0,0,0,0,1,0,0,5000,0,0,3
4,0,0,0,0,0,1,0,0,25,0,0,30
4,0,0,0,0,0,1,0,0,30,0,0,31
4,0,0,0,0,0,1,0,0,35,0,0,32
4,0,0,0,0,0,1,0,0,40,0,0,33
4,0,0,0,0,0,1,0,0,45,0,0,34
4,0,0,0,0,0,1,0,0,50,0,0,35
5,0,0,0,0,0,2,0,0,100700,0,0,36
5,0,0,0,0,0,2,0,0,100700,0,0,37
5,0,0,0,0,0,2,0,0,100700,0,0,38
5,0,0,0,0,0,2,0,0,100700,0,0,39
1,0,0,0,0,0,1,0,0,30000,0,0,4
5,0,0,0,0,0,2,0,0,100700,0,0,40
6,0,0,0,0,0,2,0,0,201306,0,0,41
6,0,0,0,0,0,2,0,0,201306,0,0,42
6,0,0,0,0,0,2,0,0,201306,0,0,43
6,0,0,0,0,0,2,0,0,201306,0,0,44
6,0,0,0,0,0,2,0,0,201306,0,0,45
9,0,0,0,0,0,1,0,0,3,0,0,46
9,0,0,0,0,0,1,0,0,5,0,0,47
9,0,0,0,0,0,1,0,0,15,0,0,48
10,0,0,0,0,0,1,0,0,3,0,0,49
1,0,0,0,0,0,1,0,0,30000,0,0,5
10,0,0,0,0,0,1,0,0,5,0,0,50
10,0,0,0,0,0,1,0,0,10,0,0,51
10,0,0,0,0,0,1,0,0,15,0,0,52
10,0,0,0,0,0,1,0,0,20,0,0,53
11,0,0,0,0,0,1,0,0,10,0,0,54
11,0,0,0,0,0,1,0,0,15,0,0,55
11,0,0,0,0,0,1,0,0,20,0,0,56
12,0,0,0,0,0,1,0,0,10,0,0,57
12,0,0,0,0,0,1,0,0,15,0,0,58
12,0,0,0,0,0,1,0,0,20,0,0,59
1,0,0,0,0,0,1,0,0,50000,0,0,6
13,0,0,0,0,0,1,0,0,10,0,0,60
13,0,0,0,0,0,1,0,0,15,0,0,61
13,0,0,0,0,0,1,0,0,20,0,0,62
15,0,0,0,0,0,1,0,0,10,0,0,63
16,0,0,0,0,0,1,0,0,12,0,0,64
2,0,0,0,0,0,1,0,0,119,0,0,65
4,0,0,0,0,0,1,0,0,55,0,0,66
16,0,0,0,0,0,1,0,0,16,0,0,67
17,0,0,0,0,0,1,0,0,20,0,0,68
18,0,0,0,0,0,1,0,0,5,0,0,69
1,0,0,0,0,0,1,0,0,180000,0,0,7
18,0,0,0,0,0,1,0,0,8,0,0,70
4,0,0,0,0,0,1,0,0,57,0,0,71
19,0,0,0,0,0,1,0,0,12,0,0,72
2,0,0,0,0,0,1,0,0,159,0,0,73
15,0,0,0,0,0,1,0,0,20,0,0,74
9,0,0,0,0,0,1,0,0,10,0,0,75
10,0,0,0,0,0,1,0,0,12,0,0,76
4,0,0,0,0,0,1,0,0,60,0,0,77
18,0,0,0,0,0,1,0,0,11,0,0,78
19,0,0,0,0,0,1,0,0,17,0,0,79
1,0,0,0,0,0,1,0,0,100000,0,0,8
11,0,0,0,0,0,1,0,0,50,0,0,80
10,0,0,0,0,0,1,0,0,24,0,0,81
15,0,0,0,0,0,1,0,0,25,0,0,82
2,0,0,0,0,0,1,0,0,199,0,0,83
18,0,0,0,0,0,1,0,0,16,0,0,84
19,0,0,0,0,0,1,0,0,25,0,0,85
16,0,0,0,0,0,1,0,0,25,0,0,86
20,0,0,0,0,0,1,0,0,5,0,0,87
9,0,0,0,0,0,1,0,0,40,0,0,88
19,0,0,0,0,0,1,0,0,30,0,0,89
1,0,0,0,0,0,1,0,0,300000,0,0,9
2,0,0,0,0,0,1,0,0,124,0,0,90
22,0,0,0,0,0,1,0,0,10,0,0,91
4,0,0,0,0,0,1,0,0,70,0,0,92
22,0,0,0,0,0,1,0,0,20,0,0,93
10,0,0,0,0,0,1,0,0,50,0,0,94
15,0,0,0,0,0,1,0,0,42,0,0,95
19,0,0,0,0,0,1,0,0,60,0,0,96
4,0,0,0,0,0,1,0,0,74,0,0,97
9,0,0,0,0,0,1,0,0,51,0,0,98
4,0,0,0,0,0,1,0,0,75,0,0,99
