MysteryBoxAniName,MysteryBoxGrade,MysteryBoxOpenSoundName,ResKeyString,_key
bc_mysterybox2,C,MysteryBoxOpen_Normal,myBox_c,750121
bc_mysterybox1,B,MysteryBoxOpen_Normal,myBox_b,750122
bc_mysterybox0,A,MysteryBoxOpen_Good,myBox_a,750123
bc_mysterybox3,S,MysteryBoxOpen_Best,myBox_s,750124
bc_mysterybox2,C,MysteryBoxOpen_Normal,myBox_c,750131
bc_mysterybox1,B,MysteryBoxOpen_Normal,myBox_b,750132
bc_mysterybox0,A,MysteryBoxOpen_Good,myBox_a,750133
bc_mysterybox3,S,MysteryBoxOpen_Best,myBox_s,750134
bc_mysterybox2,C,MysteryBoxOpen_Normal,myBox_c,750211
bc_mysterybox1,B,MysteryBoxOpen_Normal,myBox_b,750212
bc_mysterybox0,A,MysteryBoxOpen_Good,myBox_a,750213
bc_mysterybox3,S,MysteryBoxOpen_Best,myBox_s,750214
bc_mysterybox2,C,MysteryBoxOpen_Normal,myBox_c,750221
bc_mysterybox1,B,MysteryBoxOpen_Normal,myBox_b,750222
bc_mysterybox0,A,MysteryBoxOpen_Good,myBox_a,750223
bc_mysterybox3,S,MysteryBoxOpen_Best,myBox_s,750224
bc_mysterybox2,C,MysteryBoxOpen_Normal,myBox_c,750231
bc_mysterybox1,B,MysteryBoxOpen_Normal,myBox_b,750232
bc_mysterybox0,A,MysteryBoxOpen_Good,myBox_a,750233
bc_mysterybox3,S,MysteryBoxOpen_Best,myBox_s,750234
bc_mysterybox2,C,MysteryBoxOpen_Normal,myBox_c,750311
bc_mysterybox1,B,MysteryBoxOpen_Normal,myBox_b,750312
bc_mysterybox0,A,MysteryBoxOpen_Good,myBox_a,750313
bc_mysterybox3,S,MysteryBoxOpen_Best,myBox_s,750314
bc_mysterybox2,C,MysteryBoxOpen_Normal,myBox_c,750321
bc_mysterybox1,B,MysteryBoxOpen_Normal,myBox_b,750322
bc_mysterybox0,A,MysteryBoxOpen_Good,myBox_a,750323
bc_mysterybox3,S,MysteryBoxOpen_Best,myBox_s,750324
bc_mysterybox2,C,MysteryBoxOpen_Normal,myBox_c,750331
bc_mysterybox1,B,MysteryBoxOpen_Normal,myBox_b,750332
bc_mysterybox0,A,MysteryBoxOpen_Good,myBox_a,750333
bc_mysterybox3,S,MysteryBoxOpen_Best,myBox_s,750334
